Value,zip_5,statisticcat_desc,state_fips_code,util_practice_desc,freq_desc,domaincat_desc,end_code,week_ending,year,county_name,load_time,source_desc,sector_desc,county_ansi,prodn_practice_desc,class_desc,domain_desc,unit_desc,congr_district_code,state_alpha,watershed_code,state_ansi,country_name,asd_code,reference_period_desc,commodity_desc,county_code,agg_level_desc,watershed_desc,group_desc,region_desc,location_desc,begin_code,short_desc,asd_desc,state_name,CV (%),country_code
85.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,LEELANAU,2012-01-01 00:00:00.000,SURVEY,CROPS,089,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,089,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, LEELANAU",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
96.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MANISTEE,2012-01-01 00:00:00.000,SURVEY,CROPS,101,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,101,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, MANISTEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
104.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MISSAUKEE,2012-01-01 00:00:00.000,SURVEY,CROPS,113,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,113,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, MISSAUKEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
88.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,WEXFORD,2012-01-01 00:00:00.000,SURVEY,CROPS,165,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,20,YEAR,CORN,165,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHWEST, WEXFORD",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,MICHIGAN,,9000
66.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ALCONA,2012-01-01 00:00:00.000,SURVEY,CROPS,001,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,001,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, ALCONA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
83,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ALPENA,2012-01-01 00:00:00.000,SURVEY,CROPS,007,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,007,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, ALPENA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
82,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CHEBOYGAN,2012-01-01 00:00:00.000,SURVEY,CROPS,031,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,031,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, CHEBOYGAN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
103.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,IOSCO,2012-01-01 00:00:00.000,SURVEY,CROPS,069,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,069,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, IOSCO",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
96.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MONTMORENCY,2012-01-01 00:00:00.000,SURVEY,CROPS,119,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,119,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, MONTMORENCY",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
90,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OGEMAW,2012-01-01 00:00:00.000,SURVEY,CROPS,129,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,129,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, OGEMAW",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
80,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OSCODA,2012-01-01 00:00:00.000,SURVEY,CROPS,135,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,135,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, OSCODA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
100,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OTSEGO,2012-01-01 00:00:00.000,SURVEY,CROPS,137,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,137,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, OTSEGO",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
88.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,PRESQUE ISLE,2012-01-01 00:00:00.000,SURVEY,CROPS,141,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,30,YEAR,CORN,141,COUNTY,,FIELD CROPS,,"MICHIGAN, NORTHEAST, PRESQUE ISLE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,MICHIGAN,,9000
87.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,LAKE,2012-01-01 00:00:00.000,SURVEY,CROPS,085,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,40,YEAR,CORN,085,COUNTY,,FIELD CROPS,,"MICHIGAN, WEST CENTRAL, LAKE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,MICHIGAN,,9000
103.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MASON,2012-01-01 00:00:00.000,SURVEY,CROPS,105,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,40,YEAR,CORN,105,COUNTY,,FIELD CROPS,,"MICHIGAN, WEST CENTRAL, MASON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,MICHIGAN,,9000
108.1,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MUSKEGON,2012-01-01 00:00:00.000,SURVEY,CROPS,121,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,40,YEAR,CORN,121,COUNTY,,FIELD CROPS,,"MICHIGAN, WEST CENTRAL, MUSKEGON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,MICHIGAN,,9000
113.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,NEWAYGO,2012-01-01 00:00:00.000,SURVEY,CROPS,123,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,40,YEAR,CORN,123,COUNTY,,FIELD CROPS,,"MICHIGAN, WEST CENTRAL, NEWAYGO",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,MICHIGAN,,9000
96.1,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OCEANA,2012-01-01 00:00:00.000,SURVEY,CROPS,127,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,40,YEAR,CORN,127,COUNTY,,FIELD CROPS,,"MICHIGAN, WEST CENTRAL, OCEANA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,MICHIGAN,,9000
95.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CLARE,2012-01-01 00:00:00.000,SURVEY,CROPS,035,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,035,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, CLARE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
89.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,GLADWIN,2012-01-01 00:00:00.000,SURVEY,CROPS,051,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,051,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, GLADWIN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
132.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,GRATIOT,2012-01-01 00:00:00.000,SURVEY,CROPS,057,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,057,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, GRATIOT",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
106.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ISABELLA,2012-01-01 00:00:00.000,SURVEY,CROPS,073,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,073,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, ISABELLA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
106.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MECOSTA,2012-01-01 00:00:00.000,SURVEY,CROPS,107,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,107,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, MECOSTA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
118.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MIDLAND,2012-01-01 00:00:00.000,SURVEY,CROPS,111,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,111,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, MIDLAND",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
113,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MONTCALM,2012-01-01 00:00:00.000,SURVEY,CROPS,117,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,117,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, MONTCALM",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
94,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OSCEOLA,2012-01-01 00:00:00.000,SURVEY,CROPS,133,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,50,YEAR,CORN,133,COUNTY,,FIELD CROPS,,"MICHIGAN, CENTRAL, OSCEOLA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,MICHIGAN,,9000
122.7,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ARENAC,2012-01-01 00:00:00.000,SURVEY,CROPS,011,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,011,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, ARENAC",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
135.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,BAY,2012-01-01 00:00:00.000,SURVEY,CROPS,017,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,017,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, BAY",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
123.8,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,HURON,2012-01-01 00:00:00.000,SURVEY,CROPS,063,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,063,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, HURON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
128.8,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,SAGINAW,2012-01-01 00:00:00.000,SURVEY,CROPS,145,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,145,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, SAGINAW",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
109,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,SANILAC,2012-01-01 00:00:00.000,SURVEY,CROPS,151,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,151,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, SANILAC",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
107,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,TUSCOLA,2012-01-01 00:00:00.000,SURVEY,CROPS,157,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,60,YEAR,CORN,157,COUNTY,,FIELD CROPS,,"MICHIGAN, EAST CENTRAL, TUSCOLA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,MICHIGAN,,9000
123.5,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ALLEGAN,2012-01-01 00:00:00.000,SURVEY,CROPS,005,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,005,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, ALLEGAN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
102.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,BERRIEN,2012-01-01 00:00:00.000,SURVEY,CROPS,021,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,021,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, BERRIEN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
104.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CASS,2012-01-01 00:00:00.000,SURVEY,CROPS,027,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,027,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, CASS",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
103.8,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,KALAMAZOO,2012-01-01 00:00:00.000,SURVEY,CROPS,077,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,077,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, KALAMAZOO",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
116.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,KENT,2012-01-01 00:00:00.000,SURVEY,CROPS,081,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,081,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, KENT",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
106,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OTTAWA,2012-01-01 00:00:00.000,SURVEY,CROPS,139,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,139,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, OTTAWA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
105,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,VAN BUREN,2012-01-01 00:00:00.000,SURVEY,CROPS,159,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,70,YEAR,CORN,159,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHWEST, VAN BUREN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,MICHIGAN,,9000
121.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,BARRY,2012-01-01 00:00:00.000,SURVEY,CROPS,015,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,015,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, BARRY",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
111.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,BRANCH,2012-01-01 00:00:00.000,SURVEY,CROPS,023,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,023,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, BRANCH",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
94.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CALHOUN,2012-01-01 00:00:00.000,SURVEY,CROPS,025,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,025,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, CALHOUN",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
117.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,CLINTON,2012-01-01 00:00:00.000,SURVEY,CROPS,037,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,037,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, CLINTON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
119.8,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,EATON,2012-01-01 00:00:00.000,SURVEY,CROPS,045,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,045,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, EATON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
89.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,HILLSDALE,2012-01-01 00:00:00.000,SURVEY,CROPS,059,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,059,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
