region_desc,congr_district_code,county_ansi,source_desc,watershed_desc,week_ending,short_desc,group_desc,state_fips_code,location_desc,Value,state_name,unit_desc,domaincat_desc,load_time,freq_desc,end_code,class_desc,CV (%),commodity_desc,country_code,state_ansi,state_alpha,agg_level_desc,reference_period_desc,statisticcat_desc,country_name,util_practice_desc,begin_code,asd_desc,sector_desc,asd_code,zip_5,year,watershed_code,domain_desc,county_name,county_code,prodn_practice_desc
,,113,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, MISSAUKEE",122,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,MISSAUKEE,113,ALL PRODUCTION PRACTICES
,,165,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHWEST, WEXFORD",83,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,2008,00000000,TOTAL,WEXFORD,165,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",94,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,007,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, ALPENA",109,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,ALPENA,007,ALL PRODUCTION PRACTICES
,,069,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, IOSCO",131,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,IOSCO,069,ALL PRODUCTION PRACTICES
,,119,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, MONTMORENCY",106,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,MONTMORENCY,119,ALL PRODUCTION PRACTICES
,,129,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, OGEMAW",139,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,OGEMAW,129,ALL PRODUCTION PRACTICES
,,141,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",104,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,2008,00000000,TOTAL,PRESQUE ISLE,141,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",91,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,2008,00000000,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,105,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, WEST CENTRAL, MASON",99,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,2008,00000000,TOTAL,MASON,105,ALL PRODUCTION PRACTICES
,,121,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",119,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,2008,00000000,TOTAL,MUSKEGON,121,ALL PRODUCTION PRACTICES
,,123,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",108,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,2008,00000000,TOTAL,NEWAYGO,123,ALL PRODUCTION PRACTICES
,,035,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, CLARE",109,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,CLARE,035,ALL PRODUCTION PRACTICES
,,051,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, GLADWIN",138,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,GLADWIN,051,ALL PRODUCTION PRACTICES
,,057,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, GRATIOT",138,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,GRATIOT,057,ALL PRODUCTION PRACTICES
,,073,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, ISABELLA",134,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,ISABELLA,073,ALL PRODUCTION PRACTICES
,,107,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, MECOSTA",108,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,MECOSTA,107,ALL PRODUCTION PRACTICES
,,111,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, MIDLAND",151,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,MIDLAND,111,ALL PRODUCTION PRACTICES
,,117,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, MONTCALM",126,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,MONTCALM,117,ALL PRODUCTION PRACTICES
,,133,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, CENTRAL, OSCEOLA",109,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,2008,00000000,TOTAL,OSCEOLA,133,ALL PRODUCTION PRACTICES
,,011,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, ARENAC",165,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,ARENAC,011,ALL PRODUCTION PRACTICES
,,017,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, BAY",163,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,BAY,017,ALL PRODUCTION PRACTICES
,,063,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, HURON",174,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,HURON,063,ALL PRODUCTION PRACTICES
,,145,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, SAGINAW",161,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,SAGINAW,145,ALL PRODUCTION PRACTICES
,,151,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, SANILAC",171,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,SANILAC,151,ALL PRODUCTION PRACTICES
,,157,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",174,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,2008,00000000,TOTAL,TUSCOLA,157,ALL PRODUCTION PRACTICES
,,005,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, ALLEGAN",147,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,ALLEGAN,005,ALL PRODUCTION PRACTICES
,,021,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, BERRIEN",148,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,BERRIEN,021,ALL PRODUCTION PRACTICES
,,027,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, CASS",148,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,CASS,027,ALL PRODUCTION PRACTICES
,,077,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, KALAMAZOO",120,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,KALAMAZOO,077,ALL PRODUCTION PRACTICES
,,081,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, KENT",134,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,KENT,081,ALL PRODUCTION PRACTICES
,,139,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, OTTAWA",117,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,OTTAWA,139,ALL PRODUCTION PRACTICES
,,159,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHWEST, VAN BUREN",142,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,2008,00000000,TOTAL,VAN BUREN,159,ALL PRODUCTION PRACTICES
,,015,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, BARRY",131,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,BARRY,015,ALL PRODUCTION PRACTICES
,,023,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, BRANCH",122,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,BRANCH,023,ALL PRODUCTION PRACTICES
,,025,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, CALHOUN",109,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,CALHOUN,025,ALL PRODUCTION PRACTICES
,,037,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, CLINTON",142,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,CLINTON,037,ALL PRODUCTION PRACTICES
,,045,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, EATON",129,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,EATON,045,ALL PRODUCTION PRACTICES
,,059,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",124,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,HILLSDALE,059,ALL PRODUCTION PRACTICES
,,065,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, INGHAM",129,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,INGHAM,065,ALL PRODUCTION PRACTICES
,,067,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, IONIA",148,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,IONIA,067,ALL PRODUCTION PRACTICES
,,075,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, JACKSON",111,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,JACKSON,075,ALL PRODUCTION PRACTICES
,,149,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",114,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,ST JOSEPH,149,ALL PRODUCTION PRACTICES
,,155,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",147,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,2008,00000000,TOTAL,SHIAWASSEE,155,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",124,MICHIGAN,BU / ACRE,NOT SPECIFIED,2015-06-03 15:08:31.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YEAR,YIELD,UNITED STATES,GRAIN,00,SOUTHEAST,CROPS,90,,2008,00000000,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
