reference_period_desc,unit_desc,agg_level_desc,week_ending,congr_district_code,domaincat_desc,freq_desc,commodity_desc,location_desc,region_desc,prodn_practice_desc,begin_code,zip_5,short_desc,asd_code,watershed_code,sector_desc,util_practice_desc,state_ansi,Value,group_desc,county_name,statisticcat_desc,state_fips_code,CV (%),source_desc,county_ansi,state_name,asd_desc,county_code,state_alpha,watershed_desc,country_name,country_code,year,domain_desc,end_code,class_desc,load_time
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, MARQUETTE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,MARQUETTE,YIELD,26,,SURVEY,103,MICHIGAN,UPPER PENINSULA,103,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, MENOMINEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,81,FIELD CROPS,MENOMINEE,YIELD,26,,SURVEY,109,MICHIGAN,UPPER PENINSULA,109,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, ONTONAGON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,80,FIELD CROPS,ONTONAGON,YIELD,26,,SURVEY,131,MICHIGAN,UPPER PENINSULA,131,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",10,00000000,CROPS,GRAIN,26,85,FIELD CROPS,SCHOOLCRAFT,YIELD,26,,SURVEY,153,MICHIGAN,UPPER PENINSULA,153,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, ANTRIM",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,85.5,FIELD CROPS,ANTRIM,YIELD,26,,SURVEY,009,MICHIGAN,NORTHWEST,009,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, BENZIE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,81.8,FIELD CROPS,BENZIE,YIELD,26,,SURVEY,019,MICHIGAN,NORTHWEST,019,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, CHARLEVOIX",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,86,FIELD CROPS,CHARLEVOIX,YIELD,26,,SURVEY,029,MICHIGAN,NORTHWEST,029,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, EMMET",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,84.4,FIELD CROPS,EMMET,YIELD,26,,SURVEY,047,MICHIGAN,NORTHWEST,047,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,81.6,FIELD CROPS,GRAND TRAVERSE,YIELD,26,,SURVEY,055,MICHIGAN,NORTHWEST,055,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, KALKASKA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,85,FIELD CROPS,KALKASKA,YIELD,26,,SURVEY,079,MICHIGAN,NORTHWEST,079,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, LEELANAU",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,84.8,FIELD CROPS,LEELANAU,YIELD,26,,SURVEY,089,MICHIGAN,NORTHWEST,089,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, MANISTEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,74.7,FIELD CROPS,MANISTEE,YIELD,26,,SURVEY,101,MICHIGAN,NORTHWEST,101,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, MISSAUKEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,77,FIELD CROPS,MISSAUKEE,YIELD,26,,SURVEY,113,MICHIGAN,NORTHWEST,113,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHWEST, WEXFORD",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,00000000,CROPS,GRAIN,26,78.5,FIELD CROPS,WEXFORD,YIELD,26,,SURVEY,165,MICHIGAN,NORTHWEST,165,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, ALCONA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,75,FIELD CROPS,ALCONA,YIELD,26,,SURVEY,001,MICHIGAN,NORTHEAST,001,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, ALPENA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,75,FIELD CROPS,ALPENA,YIELD,26,,SURVEY,007,MICHIGAN,NORTHEAST,007,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, CHEBOYGAN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,82.2,FIELD CROPS,CHEBOYGAN,YIELD,26,,SURVEY,031,MICHIGAN,NORTHEAST,031,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, IOSCO",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,86.1,FIELD CROPS,IOSCO,YIELD,26,,SURVEY,069,MICHIGAN,NORTHEAST,069,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, MONTMORENCY",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,76,FIELD CROPS,MONTMORENCY,YIELD,26,,SURVEY,119,MICHIGAN,NORTHEAST,119,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, OGEMAW",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,81.9,FIELD CROPS,OGEMAW,YIELD,26,,SURVEY,129,MICHIGAN,NORTHEAST,129,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, OSCODA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,80,FIELD CROPS,OSCODA,YIELD,26,,SURVEY,135,MICHIGAN,NORTHEAST,135,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, OTSEGO",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,86.7,FIELD CROPS,OTSEGO,YIELD,26,,SURVEY,137,MICHIGAN,NORTHEAST,137,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,80,FIELD CROPS,PRESQUE ISLE,YIELD,26,,SURVEY,141,MICHIGAN,NORTHEAST,141,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, NORTHEAST, ROSCOMMON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,00000000,CROPS,GRAIN,26,80,FIELD CROPS,ROSCOMMON,YIELD,26,,SURVEY,143,MICHIGAN,NORTHEAST,143,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, WEST CENTRAL, LAKE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,00000000,CROPS,GRAIN,26,80,FIELD CROPS,LAKE,YIELD,26,,SURVEY,085,MICHIGAN,WEST CENTRAL,085,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, WEST CENTRAL, MASON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,00000000,CROPS,GRAIN,26,86.8,FIELD CROPS,MASON,YIELD,26,,SURVEY,105,MICHIGAN,WEST CENTRAL,105,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, WEST CENTRAL, MUSKEGON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,00000000,CROPS,GRAIN,26,94.5,FIELD CROPS,MUSKEGON,YIELD,26,,SURVEY,121,MICHIGAN,WEST CENTRAL,121,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, WEST CENTRAL, NEWAYGO",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,00000000,CROPS,GRAIN,26,97,FIELD CROPS,NEWAYGO,YIELD,26,,SURVEY,123,MICHIGAN,WEST CENTRAL,123,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, WEST CENTRAL, OCEANA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,00000000,CROPS,GRAIN,26,94.5,FIELD CROPS,OCEANA,YIELD,26,,SURVEY,127,MICHIGAN,WEST CENTRAL,127,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, CLARE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,76.8,FIELD CROPS,CLARE,YIELD,26,,SURVEY,035,MICHIGAN,CENTRAL,035,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, GLADWIN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,80,FIELD CROPS,GLADWIN,YIELD,26,,SURVEY,051,MICHIGAN,CENTRAL,051,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, GRATIOT",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,110.7,FIELD CROPS,GRATIOT,YIELD,26,,SURVEY,057,MICHIGAN,CENTRAL,057,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, ISABELLA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,94.2,FIELD CROPS,ISABELLA,YIELD,26,,SURVEY,073,MICHIGAN,CENTRAL,073,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, MECOSTA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,90.2,FIELD CROPS,MECOSTA,YIELD,26,,SURVEY,107,MICHIGAN,CENTRAL,107,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, MIDLAND",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,110.5,FIELD CROPS,MIDLAND,YIELD,26,,SURVEY,111,MICHIGAN,CENTRAL,111,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, MONTCALM",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,97.2,FIELD CROPS,MONTCALM,YIELD,26,,SURVEY,117,MICHIGAN,CENTRAL,117,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, CENTRAL, OSCEOLA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00000000,CROPS,GRAIN,26,82.1,FIELD CROPS,OSCEOLA,YIELD,26,,SURVEY,133,MICHIGAN,CENTRAL,133,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, ARENAC",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,97.6,FIELD CROPS,ARENAC,YIELD,26,,SURVEY,011,MICHIGAN,EAST CENTRAL,011,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, BAY",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,103.3,FIELD CROPS,BAY,YIELD,26,,SURVEY,017,MICHIGAN,EAST CENTRAL,017,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, HURON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,108.5,FIELD CROPS,HURON,YIELD,26,,SURVEY,063,MICHIGAN,EAST CENTRAL,063,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, SAGINAW",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,106.5,FIELD CROPS,SAGINAW,YIELD,26,,SURVEY,145,MICHIGAN,EAST CENTRAL,145,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, SANILAC",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,116,FIELD CROPS,SANILAC,YIELD,26,,SURVEY,151,MICHIGAN,EAST CENTRAL,151,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, EAST CENTRAL, TUSCOLA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,00000000,CROPS,GRAIN,26,104.6,FIELD CROPS,TUSCOLA,YIELD,26,,SURVEY,157,MICHIGAN,EAST CENTRAL,157,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, ALLEGAN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,95.7,FIELD CROPS,ALLEGAN,YIELD,26,,SURVEY,005,MICHIGAN,SOUTHWEST,005,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, BERRIEN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,91.6,FIELD CROPS,BERRIEN,YIELD,26,,SURVEY,021,MICHIGAN,SOUTHWEST,021,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
