unit_desc,agg_level_desc,week_ending,reference_period_desc,location_desc,region_desc,congr_district_code,freq_desc,domaincat_desc,commodity_desc,begin_code,short_desc,zip_5,prodn_practice_desc,util_practice_desc,state_ansi,Value,group_desc,asd_code,watershed_code,sector_desc,CV (%),statisticcat_desc,county_name,state_fips_code,county_code,state_alpha,source_desc,county_ansi,state_name,asd_desc,country_name,watershed_desc,domain_desc,class_desc,end_code,load_time,country_code,year
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30,FIELD CROPS,10,00000000,CROPS,,YIELD,SCHOOLCRAFT,26,153,MI,SURVEY,153,MICHIGAN,UPPER PENINSULA,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, ANTRIM",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,36.2,FIELD CROPS,20,00000000,CROPS,,YIELD,ANTRIM,26,009,MI,SURVEY,009,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, BENZIE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,22.6,FIELD CROPS,20,00000000,CROPS,,YIELD,BENZIE,26,019,MI,SURVEY,019,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, CHARLEVOIX",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,40.3,FIELD CROPS,20,00000000,CROPS,,YIELD,CHARLEVOIX,26,029,MI,SURVEY,029,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, EMMET",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,31.2,FIELD CROPS,20,00000000,CROPS,,YIELD,EMMET,26,047,MI,SURVEY,047,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,31.1,FIELD CROPS,20,00000000,CROPS,,YIELD,GRAND TRAVERSE,26,055,MI,SURVEY,055,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, KALKASKA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,22.4,FIELD CROPS,20,00000000,CROPS,,YIELD,KALKASKA,26,079,MI,SURVEY,079,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, LEELANAU",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30.1,FIELD CROPS,20,00000000,CROPS,,YIELD,LEELANAU,26,089,MI,SURVEY,089,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, MANISTEE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,26.9,FIELD CROPS,20,00000000,CROPS,,YIELD,MANISTEE,26,101,MI,SURVEY,101,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, MISSAUKEE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30,FIELD CROPS,20,00000000,CROPS,,YIELD,MISSAUKEE,26,113,MI,SURVEY,113,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHWEST, WEXFORD",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,26.8,FIELD CROPS,20,00000000,CROPS,,YIELD,WEXFORD,26,165,MI,SURVEY,165,MICHIGAN,NORTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, ALCONA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,24.9,FIELD CROPS,30,00000000,CROPS,,YIELD,ALCONA,26,001,MI,SURVEY,001,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, ALPENA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,32.3,FIELD CROPS,30,00000000,CROPS,,YIELD,ALPENA,26,007,MI,SURVEY,007,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, CHEBOYGAN",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30.4,FIELD CROPS,30,00000000,CROPS,,YIELD,CHEBOYGAN,26,031,MI,SURVEY,031,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, CRAWFORD",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,35,FIELD CROPS,30,00000000,CROPS,,YIELD,CRAWFORD,26,039,MI,SURVEY,039,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, IOSCO",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,27.2,FIELD CROPS,30,00000000,CROPS,,YIELD,IOSCO,26,069,MI,SURVEY,069,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, MONTMORENCY",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,34.6,FIELD CROPS,30,00000000,CROPS,,YIELD,MONTMORENCY,26,119,MI,SURVEY,119,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, OGEMAW",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,34.2,FIELD CROPS,30,00000000,CROPS,,YIELD,OGEMAW,26,129,MI,SURVEY,129,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, OSCODA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,32.2,FIELD CROPS,30,00000000,CROPS,,YIELD,OSCODA,26,135,MI,SURVEY,135,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, OTSEGO",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,27,FIELD CROPS,30,00000000,CROPS,,YIELD,OTSEGO,26,137,MI,SURVEY,137,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,26.9,FIELD CROPS,30,00000000,CROPS,,YIELD,PRESQUE ISLE,26,141,MI,SURVEY,141,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, NORTHEAST, ROSCOMMON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,21,FIELD CROPS,30,00000000,CROPS,,YIELD,ROSCOMMON,26,143,MI,SURVEY,143,MICHIGAN,NORTHEAST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, WEST CENTRAL, LAKE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,28.7,FIELD CROPS,40,00000000,CROPS,,YIELD,LAKE,26,085,MI,SURVEY,085,MICHIGAN,WEST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, WEST CENTRAL, MASON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,32.3,FIELD CROPS,40,00000000,CROPS,,YIELD,MASON,26,105,MI,SURVEY,105,MICHIGAN,WEST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, WEST CENTRAL, MUSKEGON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,48.2,FIELD CROPS,40,00000000,CROPS,,YIELD,MUSKEGON,26,121,MI,SURVEY,121,MICHIGAN,WEST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, WEST CENTRAL, NEWAYGO",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,36.2,FIELD CROPS,40,00000000,CROPS,,YIELD,NEWAYGO,26,123,MI,SURVEY,123,MICHIGAN,WEST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, WEST CENTRAL, OCEANA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,43.7,FIELD CROPS,40,00000000,CROPS,,YIELD,OCEANA,26,127,MI,SURVEY,127,MICHIGAN,WEST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, CLARE",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,43.3,FIELD CROPS,50,00000000,CROPS,,YIELD,CLARE,26,035,MI,SURVEY,035,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, GLADWIN",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,38.8,FIELD CROPS,50,00000000,CROPS,,YIELD,GLADWIN,26,051,MI,SURVEY,051,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, GRATIOT",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,54.7,FIELD CROPS,50,00000000,CROPS,,YIELD,GRATIOT,26,057,MI,SURVEY,057,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, ISABELLA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,39.3,FIELD CROPS,50,00000000,CROPS,,YIELD,ISABELLA,26,073,MI,SURVEY,073,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, MECOSTA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,30.8,FIELD CROPS,50,00000000,CROPS,,YIELD,MECOSTA,26,107,MI,SURVEY,107,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, MIDLAND",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,43.7,FIELD CROPS,50,00000000,CROPS,,YIELD,MIDLAND,26,111,MI,SURVEY,111,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, MONTCALM",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,42.4,FIELD CROPS,50,00000000,CROPS,,YIELD,MONTCALM,26,117,MI,SURVEY,117,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, CENTRAL, OSCEOLA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,32.4,FIELD CROPS,50,00000000,CROPS,,YIELD,OSCEOLA,26,133,MI,SURVEY,133,MICHIGAN,CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, ARENAC",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,25.9,FIELD CROPS,60,00000000,CROPS,,YIELD,ARENAC,26,011,MI,SURVEY,011,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, BAY",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,50.9,FIELD CROPS,60,00000000,CROPS,,YIELD,BAY,26,017,MI,SURVEY,017,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, HURON",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,41.2,FIELD CROPS,60,00000000,CROPS,,YIELD,HURON,26,063,MI,SURVEY,063,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, SAGINAW",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,63.7,FIELD CROPS,60,00000000,CROPS,,YIELD,SAGINAW,26,145,MI,SURVEY,145,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, SANILAC",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,46.6,FIELD CROPS,60,00000000,CROPS,,YIELD,SANILAC,26,151,MI,SURVEY,151,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, EAST CENTRAL, TUSCOLA",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,45.5,FIELD CROPS,60,00000000,CROPS,,YIELD,TUSCOLA,26,157,MI,SURVEY,157,MICHIGAN,EAST CENTRAL,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, SOUTHWEST, ALLEGAN",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,47.7,FIELD CROPS,70,00000000,CROPS,,YIELD,ALLEGAN,26,005,MI,SURVEY,005,MICHIGAN,SOUTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, SOUTHWEST, BERRIEN",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,59.6,FIELD CROPS,70,00000000,CROPS,,YIELD,BERRIEN,26,021,MI,SURVEY,021,MICHIGAN,SOUTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, SOUTHWEST, CASS",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,69.4,FIELD CROPS,70,00000000,CROPS,,YIELD,CASS,26,027,MI,SURVEY,027,MICHIGAN,SOUTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
BU / ACRE,COUNTY,,YEAR,"MICHIGAN, SOUTHWEST, KALAMAZOO",,,ANNUAL,NOT SPECIFIED,CORN,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,ALL PRODUCTION PRACTICES,GRAIN,26,54.9,FIELD CROPS,70,00000000,CROPS,,YIELD,KALAMAZOO,26,077,MI,SURVEY,077,MICHIGAN,SOUTHWEST,UNITED STATES,,TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1958
