group_desc,agg_level_desc,county_name,CV (%),asd_code,statisticcat_desc,sector_desc,prodn_practice_desc,county_ansi,end_code,week_ending,Value,country_name,commodity_desc,state_alpha,class_desc,country_code,begin_code,load_time,watershed_desc,watershed_code,year,short_desc,freq_desc,zip_5,util_practice_desc,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,domaincat_desc,reference_period_desc,unit_desc,asd_desc,region_desc,congr_district_code
FIELD CROPS,COUNTY,GRAND TRAVERSE,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,055,00,,72.4,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,055,TOTAL,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,KALKASKA,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,079,00,,81.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,079,TOTAL,"MICHIGAN, NORTHWEST, KALKASKA",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,LEELANAU,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,089,00,,80.4,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,089,TOTAL,"MICHIGAN, NORTHWEST, LEELANAU",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,MANISTEE,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,101,00,,80.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,101,TOTAL,"MICHIGAN, NORTHWEST, MANISTEE",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,MISSAUKEE,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,113,00,,80.4,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,113,TOTAL,"MICHIGAN, NORTHWEST, MISSAUKEE",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,WEXFORD,,20,YIELD,CROPS,ALL PRODUCTION PRACTICES,165,00,,75.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,165,TOTAL,"MICHIGAN, NORTHWEST, WEXFORD",NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,
FIELD CROPS,COUNTY,ALCONA,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,001,00,,82.2,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,001,TOTAL,"MICHIGAN, NORTHEAST, ALCONA",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,ALPENA,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,007,00,,79.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,007,TOTAL,"MICHIGAN, NORTHEAST, ALPENA",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,CHEBOYGAN,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,031,00,,76.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,031,TOTAL,"MICHIGAN, NORTHEAST, CHEBOYGAN",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,IOSCO,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,069,00,,78,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,069,TOTAL,"MICHIGAN, NORTHEAST, IOSCO",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,MONTMORENCY,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,119,00,,77.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,119,TOTAL,"MICHIGAN, NORTHEAST, MONTMORENCY",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,OGEMAW,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,129,00,,81.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,129,TOTAL,"MICHIGAN, NORTHEAST, OGEMAW",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,OSCODA,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,135,00,,80.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,135,TOTAL,"MICHIGAN, NORTHEAST, OSCODA",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,OTSEGO,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,137,00,,74,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,137,TOTAL,"MICHIGAN, NORTHEAST, OTSEGO",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,PRESQUE ISLE,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,141,00,,74.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,141,TOTAL,"MICHIGAN, NORTHEAST, PRESQUE ISLE",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,ROSCOMMON,,30,YIELD,CROPS,ALL PRODUCTION PRACTICES,143,00,,80,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,143,TOTAL,"MICHIGAN, NORTHEAST, ROSCOMMON",NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,
FIELD CROPS,COUNTY,LAKE,,40,YIELD,CROPS,ALL PRODUCTION PRACTICES,085,00,,77.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,085,TOTAL,"MICHIGAN, WEST CENTRAL, LAKE",NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,
FIELD CROPS,COUNTY,MASON,,40,YIELD,CROPS,ALL PRODUCTION PRACTICES,105,00,,84.7,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,105,TOTAL,"MICHIGAN, WEST CENTRAL, MASON",NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,
FIELD CROPS,COUNTY,MUSKEGON,,40,YIELD,CROPS,ALL PRODUCTION PRACTICES,121,00,,91.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,121,TOTAL,"MICHIGAN, WEST CENTRAL, MUSKEGON",NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,
FIELD CROPS,COUNTY,NEWAYGO,,40,YIELD,CROPS,ALL PRODUCTION PRACTICES,123,00,,87.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,123,TOTAL,"MICHIGAN, WEST CENTRAL, NEWAYGO",NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,
FIELD CROPS,COUNTY,OCEANA,,40,YIELD,CROPS,ALL PRODUCTION PRACTICES,127,00,,77.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,127,TOTAL,"MICHIGAN, WEST CENTRAL, OCEANA",NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,
FIELD CROPS,COUNTY,CLARE,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,035,00,,74.5,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,035,TOTAL,"MICHIGAN, CENTRAL, CLARE",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,GLADWIN,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,051,00,,80.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,051,TOTAL,"MICHIGAN, CENTRAL, GLADWIN",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,GRATIOT,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,057,00,,88.4,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,057,TOTAL,"MICHIGAN, CENTRAL, GRATIOT",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,ISABELLA,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,073,00,,85.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,073,TOTAL,"MICHIGAN, CENTRAL, ISABELLA",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,MECOSTA,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,107,00,,79.1,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,107,TOTAL,"MICHIGAN, CENTRAL, MECOSTA",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,MIDLAND,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,111,00,,89.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,111,TOTAL,"MICHIGAN, CENTRAL, MIDLAND",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,MONTCALM,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,117,00,,81,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,117,TOTAL,"MICHIGAN, CENTRAL, MONTCALM",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,OSCEOLA,,50,YIELD,CROPS,ALL PRODUCTION PRACTICES,133,00,,75,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,133,TOTAL,"MICHIGAN, CENTRAL, OSCEOLA",NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,
FIELD CROPS,COUNTY,ARENAC,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,011,00,,96.3,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,011,TOTAL,"MICHIGAN, EAST CENTRAL, ARENAC",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,BAY,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,017,00,,106.2,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,017,TOTAL,"MICHIGAN, EAST CENTRAL, BAY",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,HURON,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,063,00,,102.3,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,063,TOTAL,"MICHIGAN, EAST CENTRAL, HURON",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,SAGINAW,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,145,00,,97.6,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,145,TOTAL,"MICHIGAN, EAST CENTRAL, SAGINAW",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,SANILAC,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,151,00,,108.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,151,TOTAL,"MICHIGAN, EAST CENTRAL, SANILAC",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,TUSCOLA,,60,YIELD,CROPS,ALL PRODUCTION PRACTICES,157,00,,111.1,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,157,TOTAL,"MICHIGAN, EAST CENTRAL, TUSCOLA",NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,
FIELD CROPS,COUNTY,ALLEGAN,,70,YIELD,CROPS,ALL PRODUCTION PRACTICES,005,00,,91.8,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,005,TOTAL,"MICHIGAN, SOUTHWEST, ALLEGAN",NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,
FIELD CROPS,COUNTY,BERRIEN,,70,YIELD,CROPS,ALL PRODUCTION PRACTICES,021,00,,66.7,UNITED STATES,CORN,MI,ALL CLASSES,9000,00,2012-01-01 00:00:00.000,,00000000,1983,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,GRAIN,26,SURVEY,26,MICHIGAN,021,TOTAL,"MICHIGAN, SOUTHWEST, BERRIEN",NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,
