county_name,source_desc,class_desc,reference_period_desc,state_fips_code,unit_desc,domaincat_desc,location_desc,prodn_practice_desc,end_code,group_desc,state_ansi,commodity_desc,state_alpha,country_name,county_code,watershed_code,watershed_desc,statisticcat_desc,state_name,county_ansi,country_code,agg_level_desc,week_ending,CV (%),load_time,util_practice_desc,asd_code,Value,congr_district_code,zip_5,begin_code,freq_desc,region_desc,domain_desc,short_desc,sector_desc,year,asd_desc
LEELANAU,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, LEELANAU",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,089,00000000,,YIELD,MICHIGAN,089,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,73.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
MANISTEE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, MANISTEE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,101,00000000,,YIELD,MICHIGAN,101,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,61.5,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
MISSAUKEE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, MISSAUKEE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,113,00000000,,YIELD,MICHIGAN,113,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,96.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
WEXFORD,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHWEST, WEXFORD",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,165,00000000,,YIELD,MICHIGAN,165,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,20,87.1,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHWEST
ALCONA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, ALCONA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,001,00000000,,YIELD,MICHIGAN,001,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,53.8,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
ALPENA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, ALPENA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,007,00000000,,YIELD,MICHIGAN,007,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,81.4,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
CHEBOYGAN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, CHEBOYGAN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,031,00000000,,YIELD,MICHIGAN,031,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,60,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
IOSCO,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, IOSCO",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,069,00000000,,YIELD,MICHIGAN,069,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,96.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
MONTMORENCY,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, MONTMORENCY",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,119,00000000,,YIELD,MICHIGAN,119,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,85,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
OGEMAW,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, OGEMAW",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,129,00000000,,YIELD,MICHIGAN,129,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,103.2,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
OSCODA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, OSCODA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,135,00000000,,YIELD,MICHIGAN,135,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,65,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
OTSEGO,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, OTSEGO",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,137,00000000,,YIELD,MICHIGAN,137,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,85.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
PRESQUE ISLE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, NORTHEAST, PRESQUE ISLE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,141,00000000,,YIELD,MICHIGAN,141,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,30,78,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,NORTHEAST
LAKE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, LAKE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,085,00000000,,YIELD,MICHIGAN,085,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,40,70,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,WEST CENTRAL
MASON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, MASON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,105,00000000,,YIELD,MICHIGAN,105,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,40,82.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,WEST CENTRAL
MUSKEGON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, MUSKEGON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,121,00000000,,YIELD,MICHIGAN,121,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,40,85,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,WEST CENTRAL
NEWAYGO,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, NEWAYGO",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,123,00000000,,YIELD,MICHIGAN,123,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,40,79.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,WEST CENTRAL
OCEANA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, OCEANA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,127,00000000,,YIELD,MICHIGAN,127,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,40,82.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,WEST CENTRAL
CLARE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, CLARE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,035,00000000,,YIELD,MICHIGAN,035,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,95,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
GLADWIN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, GLADWIN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,051,00000000,,YIELD,MICHIGAN,051,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,87.5,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
GRATIOT,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, GRATIOT",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,057,00000000,,YIELD,MICHIGAN,057,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,131.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
ISABELLA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, ISABELLA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,073,00000000,,YIELD,MICHIGAN,073,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,97.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
MECOSTA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, MECOSTA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,107,00000000,,YIELD,MICHIGAN,107,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,100,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
MIDLAND,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, MIDLAND",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,111,00000000,,YIELD,MICHIGAN,111,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,107.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
MONTCALM,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, MONTCALM",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,117,00000000,,YIELD,MICHIGAN,117,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,112.8,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
OSCEOLA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, CENTRAL, OSCEOLA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,133,00000000,,YIELD,MICHIGAN,133,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,50,90,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,CENTRAL
ARENAC,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, ARENAC",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,011,00000000,,YIELD,MICHIGAN,011,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,125,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
BAY,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, BAY",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,017,00000000,,YIELD,MICHIGAN,017,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,134.1,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
HURON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, HURON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,063,00000000,,YIELD,MICHIGAN,063,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,127.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
SAGINAW,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, SAGINAW",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,145,00000000,,YIELD,MICHIGAN,145,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,127.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
SANILAC,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, SANILAC",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,151,00000000,,YIELD,MICHIGAN,151,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,122.5,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
TUSCOLA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, TUSCOLA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,157,00000000,,YIELD,MICHIGAN,157,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,60,127.6,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,EAST CENTRAL
ALLEGAN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, ALLEGAN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,005,00000000,,YIELD,MICHIGAN,005,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,120.6,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
BERRIEN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, BERRIEN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,021,00000000,,YIELD,MICHIGAN,021,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,95.1,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
CASS,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, CASS",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,027,00000000,,YIELD,MICHIGAN,027,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,108.1,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
KALAMAZOO,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, KALAMAZOO",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,077,00000000,,YIELD,MICHIGAN,077,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,113.8,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
KENT,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, KENT",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,081,00000000,,YIELD,MICHIGAN,081,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,110.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
OTTAWA,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, OTTAWA",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,139,00000000,,YIELD,MICHIGAN,139,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,110.8,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
VAN BUREN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, VAN BUREN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,159,00000000,,YIELD,MICHIGAN,159,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,70,112.7,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTHWEST
BARRY,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, BARRY",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,015,00000000,,YIELD,MICHIGAN,015,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,120.3,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
BRANCH,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, BRANCH",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,023,00000000,,YIELD,MICHIGAN,023,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,122,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
CALHOUN,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, CALHOUN",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,025,00000000,,YIELD,MICHIGAN,025,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,119.4,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
CLINTON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, CLINTON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,037,00000000,,YIELD,MICHIGAN,037,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,119.6,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
EATON,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, EATON",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,045,00000000,,YIELD,MICHIGAN,045,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,116.9,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
HILLSDALE,SURVEY,ALL CLASSES,YEAR,26,BU / ACRE,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",ALL PRODUCTION PRACTICES,00,FIELD CROPS,26,CORN,MI,UNITED STATES,059,00000000,,YIELD,MICHIGAN,059,9000,COUNTY,,,2012-01-01 00:00:00.000,GRAIN,80,116.2,,,00,ANNUAL,,TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,1990,SOUTH CENTRAL
