reference_period_desc,location_desc,state_ansi,county_ansi,congr_district_code,domaincat_desc,year,CV (%),state_fips_code,statisticcat_desc,country_name,watershed_desc,asd_code,source_desc,state_alpha,group_desc,class_desc,begin_code,country_code,state_name,week_ending,region_desc,domain_desc,asd_desc,Value,county_code,util_practice_desc,short_desc,load_time,unit_desc,freq_desc,agg_level_desc,watershed_code,prodn_practice_desc,zip_5,end_code,commodity_desc,county_name,sector_desc
YEAR,"MICHIGAN, NORTHWEST, ANTRIM",26,009,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,67.6,009,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ANTRIM,CROPS
YEAR,"MICHIGAN, NORTHWEST, BENZIE",26,019,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,45,019,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,BENZIE,CROPS
YEAR,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,029,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,63.5,029,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,CHARLEVOIX,CROPS
YEAR,"MICHIGAN, NORTHWEST, EMMET",26,047,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,69.2,047,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,EMMET,CROPS
YEAR,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,055,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,49.8,055,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,GRAND TRAVERSE,CROPS
YEAR,"MICHIGAN, NORTHWEST, KALKASKA",26,079,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,66.7,079,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,KALKASKA,CROPS
YEAR,"MICHIGAN, NORTHWEST, LEELANAU",26,089,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,50,089,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,LEELANAU,CROPS
YEAR,"MICHIGAN, NORTHWEST, MANISTEE",26,101,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,45,101,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MANISTEE,CROPS
YEAR,"MICHIGAN, NORTHWEST, MISSAUKEE",26,113,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,65.7,113,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MISSAUKEE,CROPS
YEAR,"MICHIGAN, NORTHWEST, WEXFORD",26,165,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,20,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHWEST,44.5,165,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,WEXFORD,CROPS
YEAR,"MICHIGAN, NORTHEAST, ALCONA",26,001,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,76.6,001,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ALCONA,CROPS
YEAR,"MICHIGAN, NORTHEAST, ALPENA",26,007,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,74.2,007,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ALPENA,CROPS
YEAR,"MICHIGAN, NORTHEAST, CHEBOYGAN",26,031,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,70,031,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,CHEBOYGAN,CROPS
YEAR,"MICHIGAN, NORTHEAST, IOSCO",26,069,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,84,069,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,IOSCO,CROPS
YEAR,"MICHIGAN, NORTHEAST, MONTMORENCY",26,119,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,60,119,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MONTMORENCY,CROPS
YEAR,"MICHIGAN, NORTHEAST, OGEMAW",26,129,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,85,129,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,OGEMAW,CROPS
YEAR,"MICHIGAN, NORTHEAST, OSCODA",26,135,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,76.7,135,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,OSCODA,CROPS
YEAR,"MICHIGAN, NORTHEAST, OTSEGO",26,137,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,68,137,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,OTSEGO,CROPS
YEAR,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,141,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,66.7,141,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,PRESQUE ISLE,CROPS
YEAR,"MICHIGAN, NORTHEAST, ROSCOMMON",26,143,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,30,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,NORTHEAST,66.7,143,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ROSCOMMON,CROPS
YEAR,"MICHIGAN, WEST CENTRAL, LAKE",26,085,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,40,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,WEST CENTRAL,46.7,085,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,LAKE,CROPS
YEAR,"MICHIGAN, WEST CENTRAL, MASON",26,105,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,40,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,WEST CENTRAL,48.1,105,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MASON,CROPS
YEAR,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,121,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,40,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,WEST CENTRAL,65,121,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MUSKEGON,CROPS
YEAR,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,123,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,40,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,WEST CENTRAL,60.5,123,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,NEWAYGO,CROPS
YEAR,"MICHIGAN, WEST CENTRAL, OCEANA",26,127,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,40,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,WEST CENTRAL,53.3,127,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,OCEANA,CROPS
YEAR,"MICHIGAN, CENTRAL, CLARE",26,035,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,60,035,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,CLARE,CROPS
YEAR,"MICHIGAN, CENTRAL, GLADWIN",26,051,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,67.3,051,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,GLADWIN,CROPS
YEAR,"MICHIGAN, CENTRAL, GRATIOT",26,057,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,79.2,057,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,GRATIOT,CROPS
YEAR,"MICHIGAN, CENTRAL, ISABELLA",26,073,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,59.2,073,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ISABELLA,CROPS
YEAR,"MICHIGAN, CENTRAL, MECOSTA",26,107,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,66.3,107,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MECOSTA,CROPS
YEAR,"MICHIGAN, CENTRAL, MIDLAND",26,111,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,93.2,111,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MIDLAND,CROPS
YEAR,"MICHIGAN, CENTRAL, MONTCALM",26,117,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,67.5,117,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,MONTCALM,CROPS
YEAR,"MICHIGAN, CENTRAL, OSCEOLA",26,133,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,50,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,CENTRAL,64.1,133,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,OSCEOLA,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, ARENAC",26,011,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,81,011,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ARENAC,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, BAY",26,017,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,95.2,017,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,BAY,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, HURON",26,063,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,84,063,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,HURON,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, SAGINAW",26,145,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,99.6,145,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,SAGINAW,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, SANILAC",26,151,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,83,151,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,SANILAC,CROPS
YEAR,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,157,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,60,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,EAST CENTRAL,86,157,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,TUSCOLA,CROPS
YEAR,"MICHIGAN, SOUTHWEST, ALLEGAN",26,005,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,70,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,SOUTHWEST,47.2,005,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,ALLEGAN,CROPS
YEAR,"MICHIGAN, SOUTHWEST, BERRIEN",26,021,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,70,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,SOUTHWEST,59.7,021,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,BERRIEN,CROPS
YEAR,"MICHIGAN, SOUTHWEST, CASS",26,027,,NOT SPECIFIED,1988,,26,YIELD,UNITED STATES,,70,SURVEY,MI,FIELD CROPS,ALL CLASSES,00,9000,MICHIGAN,,,TOTAL,SOUTHWEST,87.5,027,GRAIN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,BU / ACRE,ANNUAL,COUNTY,00000000,ALL PRODUCTION PRACTICES,,00,CORN,CASS,CROPS
