region_desc,congr_district_code,county_ansi,source_desc,watershed_desc,week_ending,short_desc,group_desc,state_fips_code,Value,location_desc,unit_desc,state_name,domaincat_desc,load_time,freq_desc,end_code,class_desc,CV (%),commodity_desc,country_code,state_ansi,state_alpha,agg_level_desc,statisticcat_desc,reference_period_desc,country_name,util_practice_desc,begin_code,asd_desc,sector_desc,asd_code,zip_5,watershed_code,year,domain_desc,county_name,county_code,prodn_practice_desc
,,089,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,92,"MICHIGAN, NORTHWEST, LEELANAU",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,LEELANAU,089,ALL PRODUCTION PRACTICES
,,101,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,104,"MICHIGAN, NORTHWEST, MANISTEE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,MANISTEE,101,ALL PRODUCTION PRACTICES
,,113,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,105,"MICHIGAN, NORTHWEST, MISSAUKEE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,MISSAUKEE,113,ALL PRODUCTION PRACTICES
,,165,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,81,"MICHIGAN, NORTHWEST, WEXFORD",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHWEST,CROPS,20,,00000000,1998,TOTAL,WEXFORD,165,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,74,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,001,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,63,"MICHIGAN, NORTHEAST, ALCONA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,ALCONA,001,ALL PRODUCTION PRACTICES
,,007,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,71,"MICHIGAN, NORTHEAST, ALPENA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,ALPENA,007,ALL PRODUCTION PRACTICES
,,031,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,69,"MICHIGAN, NORTHEAST, CHEBOYGAN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,CHEBOYGAN,031,ALL PRODUCTION PRACTICES
,,069,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,82,"MICHIGAN, NORTHEAST, IOSCO",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,IOSCO,069,ALL PRODUCTION PRACTICES
,,119,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,70,"MICHIGAN, NORTHEAST, MONTMORENCY",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,MONTMORENCY,119,ALL PRODUCTION PRACTICES
,,129,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,82,"MICHIGAN, NORTHEAST, OGEMAW",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,OGEMAW,129,ALL PRODUCTION PRACTICES
,,141,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,78,"MICHIGAN, NORTHEAST, PRESQUE ISLE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,NORTHEAST,CROPS,30,,00000000,1998,TOTAL,PRESQUE ISLE,141,ALL PRODUCTION PRACTICES
,,,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,87,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,00000000,1998,TOTAL,OTHER (COMBINED) COUNTIES,998,ALL PRODUCTION PRACTICES
,,121,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,102,"MICHIGAN, WEST CENTRAL, MUSKEGON",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,00000000,1998,TOTAL,MUSKEGON,121,ALL PRODUCTION PRACTICES
,,123,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,89,"MICHIGAN, WEST CENTRAL, NEWAYGO",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,00000000,1998,TOTAL,NEWAYGO,123,ALL PRODUCTION PRACTICES
,,127,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,82,"MICHIGAN, WEST CENTRAL, OCEANA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,WEST CENTRAL,CROPS,40,,00000000,1998,TOTAL,OCEANA,127,ALL PRODUCTION PRACTICES
,,035,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,83,"MICHIGAN, CENTRAL, CLARE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,CLARE,035,ALL PRODUCTION PRACTICES
,,051,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,59,"MICHIGAN, CENTRAL, GLADWIN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,GLADWIN,051,ALL PRODUCTION PRACTICES
,,057,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,83,"MICHIGAN, CENTRAL, GRATIOT",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,GRATIOT,057,ALL PRODUCTION PRACTICES
,,073,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,82,"MICHIGAN, CENTRAL, ISABELLA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,ISABELLA,073,ALL PRODUCTION PRACTICES
,,107,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,92,"MICHIGAN, CENTRAL, MECOSTA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,MECOSTA,107,ALL PRODUCTION PRACTICES
,,111,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,98,"MICHIGAN, CENTRAL, MIDLAND",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,MIDLAND,111,ALL PRODUCTION PRACTICES
,,117,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,92,"MICHIGAN, CENTRAL, MONTCALM",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,MONTCALM,117,ALL PRODUCTION PRACTICES
,,133,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,75,"MICHIGAN, CENTRAL, OSCEOLA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,CENTRAL,CROPS,50,,00000000,1998,TOTAL,OSCEOLA,133,ALL PRODUCTION PRACTICES
,,011,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,93,"MICHIGAN, EAST CENTRAL, ARENAC",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,ARENAC,011,ALL PRODUCTION PRACTICES
,,017,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,115,"MICHIGAN, EAST CENTRAL, BAY",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,BAY,017,ALL PRODUCTION PRACTICES
,,063,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,126,"MICHIGAN, EAST CENTRAL, HURON",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,HURON,063,ALL PRODUCTION PRACTICES
,,145,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,101,"MICHIGAN, EAST CENTRAL, SAGINAW",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,SAGINAW,145,ALL PRODUCTION PRACTICES
,,151,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,129,"MICHIGAN, EAST CENTRAL, SANILAC",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,SANILAC,151,ALL PRODUCTION PRACTICES
,,157,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,125,"MICHIGAN, EAST CENTRAL, TUSCOLA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,EAST CENTRAL,CROPS,60,,00000000,1998,TOTAL,TUSCOLA,157,ALL PRODUCTION PRACTICES
,,005,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,110,"MICHIGAN, SOUTHWEST, ALLEGAN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,ALLEGAN,005,ALL PRODUCTION PRACTICES
,,021,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,118,"MICHIGAN, SOUTHWEST, BERRIEN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,BERRIEN,021,ALL PRODUCTION PRACTICES
,,027,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,90,"MICHIGAN, SOUTHWEST, CASS",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,CASS,027,ALL PRODUCTION PRACTICES
,,077,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,117,"MICHIGAN, SOUTHWEST, KALAMAZOO",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,KALAMAZOO,077,ALL PRODUCTION PRACTICES
,,081,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,90,"MICHIGAN, SOUTHWEST, KENT",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,KENT,081,ALL PRODUCTION PRACTICES
,,139,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,105,"MICHIGAN, SOUTHWEST, OTTAWA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,OTTAWA,139,ALL PRODUCTION PRACTICES
,,159,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,101,"MICHIGAN, SOUTHWEST, VAN BUREN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTHWEST,CROPS,70,,00000000,1998,TOTAL,VAN BUREN,159,ALL PRODUCTION PRACTICES
,,015,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,121,"MICHIGAN, SOUTH CENTRAL, BARRY",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,BARRY,015,ALL PRODUCTION PRACTICES
,,023,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,116,"MICHIGAN, SOUTH CENTRAL, BRANCH",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,BRANCH,023,ALL PRODUCTION PRACTICES
,,025,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,118,"MICHIGAN, SOUTH CENTRAL, CALHOUN",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,CALHOUN,025,ALL PRODUCTION PRACTICES
,,037,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,100,"MICHIGAN, SOUTH CENTRAL, CLINTON",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,CLINTON,037,ALL PRODUCTION PRACTICES
,,045,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,127,"MICHIGAN, SOUTH CENTRAL, EATON",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,EATON,045,ALL PRODUCTION PRACTICES
,,059,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,130,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,HILLSDALE,059,ALL PRODUCTION PRACTICES
,,065,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,126,"MICHIGAN, SOUTH CENTRAL, INGHAM",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,INGHAM,065,ALL PRODUCTION PRACTICES
,,067,SURVEY,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",FIELD CROPS,26,110,"MICHIGAN, SOUTH CENTRAL, IONIA",BU / ACRE,MICHIGAN,NOT SPECIFIED,2012-01-01 00:00:00.000,ANNUAL,00,ALL CLASSES,,CORN,9000,26,MI,COUNTY,YIELD,YEAR,UNITED STATES,GRAIN,00,SOUTH CENTRAL,CROPS,80,,00000000,1998,TOTAL,IONIA,067,ALL PRODUCTION PRACTICES
