asd_code,sector_desc,watershed_code,state_ansi,util_practice_desc,group_desc,Value,prodn_practice_desc,begin_code,short_desc,zip_5,congr_district_code,commodity_desc,domaincat_desc,freq_desc,location_desc,region_desc,reference_period_desc,agg_level_desc,unit_desc,week_ending,country_code,year,end_code,class_desc,domain_desc,load_time,watershed_desc,country_name,state_name,county_ansi,asd_desc,source_desc,county_code,state_alpha,statisticcat_desc,county_name,state_fips_code,CV (%)
30,CROPS,00000000,26,GRAIN,FIELD CROPS,134.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHEAST, ALPENA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,007,NORTHEAST,SURVEY,007,MI,YIELD,ALPENA,26,5.9
30,CROPS,00000000,26,GRAIN,FIELD CROPS,137.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHEAST, IOSCO",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,069,NORTHEAST,SURVEY,069,MI,YIELD,IOSCO,26,10.3
30,CROPS,00000000,26,GRAIN,FIELD CROPS,151.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHEAST, OGEMAW",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,129,NORTHEAST,SURVEY,129,MI,YIELD,OGEMAW,26,5.1
30,CROPS,00000000,26,GRAIN,FIELD CROPS,81.4,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHEAST, OTSEGO",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,137,NORTHEAST,SURVEY,137,MI,YIELD,OTSEGO,26,3.9
30,CROPS,00000000,26,GRAIN,FIELD CROPS,96.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,141,NORTHEAST,SURVEY,141,MI,YIELD,PRESQUE ISLE,26,11.9
40,CROPS,00000000,26,GRAIN,FIELD CROPS,166.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, WEST CENTRAL, MASON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,105,WEST CENTRAL,SURVEY,105,MI,YIELD,MASON,26,4.9
40,CROPS,00000000,26,GRAIN,FIELD CROPS,168,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, WEST CENTRAL, MUSKEGON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,121,WEST CENTRAL,SURVEY,121,MI,YIELD,MUSKEGON,26,7.4
40,CROPS,00000000,26,GRAIN,FIELD CROPS,174,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, WEST CENTRAL, NEWAYGO",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,123,WEST CENTRAL,SURVEY,123,MI,YIELD,NEWAYGO,26,7.2
40,CROPS,00000000,26,GRAIN,FIELD CROPS,154.1,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, WEST CENTRAL, OCEANA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,127,WEST CENTRAL,SURVEY,127,MI,YIELD,OCEANA,26,5.9
50,CROPS,00000000,26,GRAIN,FIELD CROPS,138.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, CLARE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,035,CENTRAL,SURVEY,035,MI,YIELD,CLARE,26,3.2
50,CROPS,00000000,26,GRAIN,FIELD CROPS,147.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, GLADWIN",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,051,CENTRAL,SURVEY,051,MI,YIELD,GLADWIN,26,11.0
50,CROPS,00000000,26,GRAIN,FIELD CROPS,170.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, GRATIOT",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,057,CENTRAL,SURVEY,057,MI,YIELD,GRATIOT,26,2.6
50,CROPS,00000000,26,GRAIN,FIELD CROPS,161.2,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, ISABELLA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,073,CENTRAL,SURVEY,073,MI,YIELD,ISABELLA,26,5.1
50,CROPS,00000000,26,GRAIN,FIELD CROPS,135.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, MECOSTA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,107,CENTRAL,SURVEY,107,MI,YIELD,MECOSTA,26,5.3
50,CROPS,00000000,26,GRAIN,FIELD CROPS,179.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, MIDLAND",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,111,CENTRAL,SURVEY,111,MI,YIELD,MIDLAND,26,3.7
50,CROPS,00000000,26,GRAIN,FIELD CROPS,157.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, MONTCALM",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,117,CENTRAL,SURVEY,117,MI,YIELD,MONTCALM,26,4.2
50,CROPS,00000000,26,GRAIN,FIELD CROPS,156,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, CENTRAL, OSCEOLA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,133,CENTRAL,SURVEY,133,MI,YIELD,OSCEOLA,26,5.2
60,CROPS,00000000,26,GRAIN,FIELD CROPS,155.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, ARENAC",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,011,EAST CENTRAL,SURVEY,011,MI,YIELD,ARENAC,26,3.9
60,CROPS,00000000,26,GRAIN,FIELD CROPS,172.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, BAY",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,017,EAST CENTRAL,SURVEY,017,MI,YIELD,BAY,26,3.2
60,CROPS,00000000,26,GRAIN,FIELD CROPS,164.2,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, HURON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,063,EAST CENTRAL,SURVEY,063,MI,YIELD,HURON,26,5.7
60,CROPS,00000000,26,GRAIN,FIELD CROPS,171.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, SAGINAW",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,145,EAST CENTRAL,SURVEY,145,MI,YIELD,SAGINAW,26,3.4
60,CROPS,00000000,26,GRAIN,FIELD CROPS,175.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, SANILAC",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,151,EAST CENTRAL,SURVEY,151,MI,YIELD,SANILAC,26,2.7
60,CROPS,00000000,26,GRAIN,FIELD CROPS,169.2,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, EAST CENTRAL, TUSCOLA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,157,EAST CENTRAL,SURVEY,157,MI,YIELD,TUSCOLA,26,2.6
70,CROPS,00000000,26,GRAIN,FIELD CROPS,174.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHWEST, ALLEGAN",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,005,SOUTHWEST,SURVEY,005,MI,YIELD,ALLEGAN,26,5.2
70,CROPS,00000000,26,GRAIN,FIELD CROPS,174.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHWEST, BERRIEN",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,021,SOUTHWEST,SURVEY,021,MI,YIELD,BERRIEN,26,7.2
70,CROPS,00000000,26,GRAIN,FIELD CROPS,162.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHWEST, CASS",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,027,SOUTHWEST,SURVEY,027,MI,YIELD,CASS,26,4.5
70,CROPS,00000000,26,GRAIN,FIELD CROPS,163.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHWEST, KENT",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,081,SOUTHWEST,SURVEY,081,MI,YIELD,KENT,26,9.5
70,CROPS,00000000,26,GRAIN,FIELD CROPS,178.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHWEST, OTTAWA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,139,SOUTHWEST,SURVEY,139,MI,YIELD,OTTAWA,26,2.7
80,CROPS,00000000,26,GRAIN,FIELD CROPS,171.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, BARRY",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,015,SOUTH CENTRAL,SURVEY,015,MI,YIELD,BARRY,26,2.8
80,CROPS,00000000,26,GRAIN,FIELD CROPS,172.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, BRANCH",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,023,SOUTH CENTRAL,SURVEY,023,MI,YIELD,BRANCH,26,6.9
80,CROPS,00000000,26,GRAIN,FIELD CROPS,185.8,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, CALHOUN",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,025,SOUTH CENTRAL,SURVEY,025,MI,YIELD,CALHOUN,26,2.5
80,CROPS,00000000,26,GRAIN,FIELD CROPS,161.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, CLINTON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,037,SOUTH CENTRAL,SURVEY,037,MI,YIELD,CLINTON,26,4.5
80,CROPS,00000000,26,GRAIN,FIELD CROPS,181.1,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, EATON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,045,SOUTH CENTRAL,SURVEY,045,MI,YIELD,EATON,26,4.4
80,CROPS,00000000,26,GRAIN,FIELD CROPS,186.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,059,SOUTH CENTRAL,SURVEY,059,MI,YIELD,HILLSDALE,26,2.5
80,CROPS,00000000,26,GRAIN,FIELD CROPS,176.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, INGHAM",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,065,SOUTH CENTRAL,SURVEY,065,MI,YIELD,INGHAM,26,2.4
80,CROPS,00000000,26,GRAIN,FIELD CROPS,187.5,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, IONIA",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,067,SOUTH CENTRAL,SURVEY,067,MI,YIELD,IONIA,26,3.2
80,CROPS,00000000,26,GRAIN,FIELD CROPS,170.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, JACKSON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,075,SOUTH CENTRAL,SURVEY,075,MI,YIELD,JACKSON,26,2.8
80,CROPS,00000000,26,GRAIN,FIELD CROPS,147.3,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,149,SOUTH CENTRAL,SURVEY,149,MI,YIELD,ST JOSEPH,26,8.6
80,CROPS,00000000,26,GRAIN,FIELD CROPS,150.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,155,SOUTH CENTRAL,SURVEY,155,MI,YIELD,SHIAWASSEE,26,3.7
90,CROPS,00000000,26,GRAIN,FIELD CROPS,146.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHEAST, GENESEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,049,SOUTHEAST,SURVEY,049,MI,YIELD,GENESEE,26,3.5
90,CROPS,00000000,26,GRAIN,FIELD CROPS,159.1,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHEAST, LAPEER",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,087,SOUTHEAST,SURVEY,087,MI,YIELD,LAPEER,26,8.1
90,CROPS,00000000,26,GRAIN,FIELD CROPS,188.7,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHEAST, LENAWEE",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,091,SOUTHEAST,SURVEY,091,MI,YIELD,LENAWEE,26,1.7
90,CROPS,00000000,26,GRAIN,FIELD CROPS,153.9,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHEAST, LIVINGSTON",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,093,SOUTHEAST,SURVEY,093,MI,YIELD,LIVINGSTON,26,5.4
90,CROPS,00000000,26,GRAIN,FIELD CROPS,157.6,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,CORN,NOT SPECIFIED,ANNUAL,"MICHIGAN, SOUTHEAST, MACOMB",,YEAR,COUNTY,BU / ACRE,,9000,2022,00,ALL CLASSES,TOTAL,2024-02-23 15:00:00.000,,UNITED STATES,MICHIGAN,099,SOUTHEAST,SURVEY,099,MI,YIELD,MACOMB,26,5.1
