asd_desc,region_desc,congr_district_code,domaincat_desc,reference_period_desc,unit_desc,state_fips_code,state_name,domain_desc,county_code,location_desc,zip_5,util_practice_desc,state_ansi,source_desc,begin_code,load_time,freq_desc,short_desc,watershed_code,watershed_desc,year,commodity_desc,country_name,class_desc,state_alpha,country_code,Value,week_ending,group_desc,county_name,agg_level_desc,sector_desc,statisticcat_desc,asd_code,CV (%),end_code,prodn_practice_desc,county_ansi
UPPER PENINSULA,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,153,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,SCHOOLCRAFT,COUNTY,CROPS,YIELD,10,,00,ALL PRODUCTION PRACTICES,153
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,009,"MICHIGAN, NORTHWEST, ANTRIM",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,ANTRIM,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,009
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,019,"MICHIGAN, NORTHWEST, BENZIE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,BENZIE,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,019
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,029,"MICHIGAN, NORTHWEST, CHARLEVOIX",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,85,,FIELD CROPS,CHARLEVOIX,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,029
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,047,"MICHIGAN, NORTHWEST, EMMET",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,67,,FIELD CROPS,EMMET,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,047
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,055,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,73,,FIELD CROPS,GRAND TRAVERSE,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,055
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,079,"MICHIGAN, NORTHWEST, KALKASKA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,80.8,,FIELD CROPS,KALKASKA,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,079
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,089,"MICHIGAN, NORTHWEST, LEELANAU",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,74.6,,FIELD CROPS,LEELANAU,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,089
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,101,"MICHIGAN, NORTHWEST, MANISTEE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,74.3,,FIELD CROPS,MANISTEE,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,101
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,113,"MICHIGAN, NORTHWEST, MISSAUKEE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,82,,FIELD CROPS,MISSAUKEE,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,113
NORTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,165,"MICHIGAN, NORTHWEST, WEXFORD",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,71.5,,FIELD CROPS,WEXFORD,COUNTY,CROPS,YIELD,20,,00,ALL PRODUCTION PRACTICES,165
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,001,"MICHIGAN, NORTHEAST, ALCONA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,85,,FIELD CROPS,ALCONA,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,001
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,007,"MICHIGAN, NORTHEAST, ALPENA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,76,,FIELD CROPS,ALPENA,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,007
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,031,"MICHIGAN, NORTHEAST, CHEBOYGAN",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,77.1,,FIELD CROPS,CHEBOYGAN,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,031
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,039,"MICHIGAN, NORTHEAST, CRAWFORD",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,80,,FIELD CROPS,CRAWFORD,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,039
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,069,"MICHIGAN, NORTHEAST, IOSCO",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,100.6,,FIELD CROPS,IOSCO,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,069
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,119,"MICHIGAN, NORTHEAST, MONTMORENCY",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,88.5,,FIELD CROPS,MONTMORENCY,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,119
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,129,"MICHIGAN, NORTHEAST, OGEMAW",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,84,,FIELD CROPS,OGEMAW,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,129
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,135,"MICHIGAN, NORTHEAST, OSCODA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,80,,FIELD CROPS,OSCODA,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,135
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,137,"MICHIGAN, NORTHEAST, OTSEGO",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,OTSEGO,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,137
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,141,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,63.5,,FIELD CROPS,PRESQUE ISLE,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,141
NORTHEAST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,143,"MICHIGAN, NORTHEAST, ROSCOMMON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,85,,FIELD CROPS,ROSCOMMON,COUNTY,CROPS,YIELD,30,,00,ALL PRODUCTION PRACTICES,143
WEST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,085,"MICHIGAN, WEST CENTRAL, LAKE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,55.3,,FIELD CROPS,LAKE,COUNTY,CROPS,YIELD,40,,00,ALL PRODUCTION PRACTICES,085
WEST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,105,"MICHIGAN, WEST CENTRAL, MASON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,61.5,,FIELD CROPS,MASON,COUNTY,CROPS,YIELD,40,,00,ALL PRODUCTION PRACTICES,105
WEST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,121,"MICHIGAN, WEST CENTRAL, MUSKEGON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,68.1,,FIELD CROPS,MUSKEGON,COUNTY,CROPS,YIELD,40,,00,ALL PRODUCTION PRACTICES,121
WEST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,123,"MICHIGAN, WEST CENTRAL, NEWAYGO",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,74.2,,FIELD CROPS,NEWAYGO,COUNTY,CROPS,YIELD,40,,00,ALL PRODUCTION PRACTICES,123
WEST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,127,"MICHIGAN, WEST CENTRAL, OCEANA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,66.4,,FIELD CROPS,OCEANA,COUNTY,CROPS,YIELD,40,,00,ALL PRODUCTION PRACTICES,127
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,035,"MICHIGAN, CENTRAL, CLARE",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,71.5,,FIELD CROPS,CLARE,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,035
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,051,"MICHIGAN, CENTRAL, GLADWIN",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,78,,FIELD CROPS,GLADWIN,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,051
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,057,"MICHIGAN, CENTRAL, GRATIOT",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,102.5,,FIELD CROPS,GRATIOT,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,057
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,073,"MICHIGAN, CENTRAL, ISABELLA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,90,,FIELD CROPS,ISABELLA,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,073
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,107,"MICHIGAN, CENTRAL, MECOSTA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,82,,FIELD CROPS,MECOSTA,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,107
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,111,"MICHIGAN, CENTRAL, MIDLAND",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,105,,FIELD CROPS,MIDLAND,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,111
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,117,"MICHIGAN, CENTRAL, MONTCALM",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,94.5,,FIELD CROPS,MONTCALM,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,117
CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,133,"MICHIGAN, CENTRAL, OSCEOLA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,70,,FIELD CROPS,OSCEOLA,COUNTY,CROPS,YIELD,50,,00,ALL PRODUCTION PRACTICES,133
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,011,"MICHIGAN, EAST CENTRAL, ARENAC",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,103,,FIELD CROPS,ARENAC,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,011
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,017,"MICHIGAN, EAST CENTRAL, BAY",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,105.5,,FIELD CROPS,BAY,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,017
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,063,"MICHIGAN, EAST CENTRAL, HURON",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,106.1,,FIELD CROPS,HURON,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,063
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,145,"MICHIGAN, EAST CENTRAL, SAGINAW",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,109.4,,FIELD CROPS,SAGINAW,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,145
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,151,"MICHIGAN, EAST CENTRAL, SANILAC",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,104,,FIELD CROPS,SANILAC,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,151
EAST CENTRAL,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,157,"MICHIGAN, EAST CENTRAL, TUSCOLA",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,111.8,,FIELD CROPS,TUSCOLA,COUNTY,CROPS,YIELD,60,,00,ALL PRODUCTION PRACTICES,157
SOUTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,005,"MICHIGAN, SOUTHWEST, ALLEGAN",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,88.8,,FIELD CROPS,ALLEGAN,COUNTY,CROPS,YIELD,70,,00,ALL PRODUCTION PRACTICES,005
SOUTHWEST,,,NOT SPECIFIED,YEAR,BU / ACRE,26,MICHIGAN,TOTAL,021,"MICHIGAN, SOUTHWEST, BERRIEN",,GRAIN,26,SURVEY,00,2012-01-01 00:00:00.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,,1981,CORN,UNITED STATES,ALL CLASSES,MI,9000,94,,FIELD CROPS,BERRIEN,COUNTY,CROPS,YIELD,70,,00,ALL PRODUCTION PRACTICES,021
