state_alpha,begin_code,class_desc,group_desc,asd_code,source_desc,watershed_desc,state_fips_code,statisticcat_desc,country_name,CV (%),year,domaincat_desc,reference_period_desc,state_ansi,location_desc,county_ansi,congr_district_code,util_practice_desc,county_code,Value,asd_desc,region_desc,domain_desc,week_ending,country_code,state_name,agg_level_desc,watershed_code,freq_desc,unit_desc,load_time,short_desc,sector_desc,county_name,commodity_desc,end_code,prodn_practice_desc,zip_5
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",109,,GRAIN,109,66,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MENOMINEE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, ONTONAGON",131,,GRAIN,131,70,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ONTONAGON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,10,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",153,,GRAIN,153,72.7,UPPER PENINSULA,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,SCHOOLCRAFT,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, ANTRIM",009,,GRAIN,009,48.3,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ANTRIM,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, BENZIE",019,,GRAIN,019,50,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,BENZIE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",029,,GRAIN,029,65.8,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,CHARLEVOIX,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, EMMET",047,,GRAIN,047,59,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,EMMET,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",055,,GRAIN,055,73.5,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,GRAND TRAVERSE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, KALKASKA",079,,GRAIN,079,47.8,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,KALKASKA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, LEELANAU",089,,GRAIN,089,78,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,LEELANAU,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, MANISTEE",101,,GRAIN,101,60,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MANISTEE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, MISSAUKEE",113,,GRAIN,113,87,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MISSAUKEE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,20,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHWEST, WEXFORD",165,,GRAIN,165,73.5,NORTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,WEXFORD,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, ALCONA",001,,GRAIN,001,47.5,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ALCONA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, ALPENA",007,,GRAIN,007,49.3,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ALPENA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, CHEBOYGAN",031,,GRAIN,031,58.3,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,CHEBOYGAN,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, IOSCO",069,,GRAIN,069,86.4,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,IOSCO,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, MONTMORENCY",119,,GRAIN,119,83.8,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MONTMORENCY,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, OGEMAW",129,,GRAIN,129,85.5,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,OGEMAW,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, OSCODA",135,,GRAIN,135,58.6,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,OSCODA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, OTSEGO",137,,GRAIN,137,87.3,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,OTSEGO,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",141,,GRAIN,141,63.3,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,PRESQUE ISLE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,30,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, NORTHEAST, ROSCOMMON",143,,GRAIN,143,75,NORTHEAST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ROSCOMMON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,40,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, WEST CENTRAL, LAKE",085,,GRAIN,085,72,WEST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,LAKE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,40,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, WEST CENTRAL, MASON",105,,GRAIN,105,80,WEST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MASON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,40,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",121,,GRAIN,121,90,WEST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MUSKEGON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,40,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",123,,GRAIN,123,87,WEST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,NEWAYGO,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,40,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, WEST CENTRAL, OCEANA",127,,GRAIN,127,70.6,WEST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,OCEANA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, CLARE",035,,GRAIN,035,72.5,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,CLARE,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, GLADWIN",051,,GRAIN,051,82.1,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,GLADWIN,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, GRATIOT",057,,GRAIN,057,122.5,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,GRATIOT,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, ISABELLA",073,,GRAIN,073,83.6,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ISABELLA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, MECOSTA",107,,GRAIN,107,89,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MECOSTA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, MIDLAND",111,,GRAIN,111,110.5,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MIDLAND,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, MONTCALM",117,,GRAIN,117,95.3,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,MONTCALM,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,50,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, CENTRAL, OSCEOLA",133,,GRAIN,133,87.5,CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,OSCEOLA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, ARENAC",011,,GRAIN,011,112,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ARENAC,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, BAY",017,,GRAIN,017,102.7,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,BAY,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, HURON",063,,GRAIN,063,125.2,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,HURON,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, SAGINAW",145,,GRAIN,145,123.3,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,SAGINAW,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, SANILAC",151,,GRAIN,151,118.1,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,SANILAC,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,60,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",157,,GRAIN,157,119.6,EAST CENTRAL,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,TUSCOLA,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,70,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, SOUTHWEST, ALLEGAN",005,,GRAIN,005,112.5,SOUTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,ALLEGAN,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,70,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, SOUTHWEST, BERRIEN",021,,GRAIN,021,110.1,SOUTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,BERRIEN,CORN,00,ALL PRODUCTION PRACTICES,
MI,00,ALL CLASSES,FIELD CROPS,70,SURVEY,,26,YIELD,UNITED STATES,,1989,NOT SPECIFIED,YEAR,26,"MICHIGAN, SOUTHWEST, CASS",027,,GRAIN,027,124,SOUTHWEST,,TOTAL,,9000,MICHIGAN,COUNTY,00000000,ANNUAL,BU / ACRE,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,CASS,CORN,00,ALL PRODUCTION PRACTICES,
