prodn_practice_desc,state_ansi,sector_desc,begin_code,country_name,region_desc,zip_5,commodity_desc,domain_desc,state_alpha,domaincat_desc,asd_code,CV (%),congr_district_code,location_desc,class_desc,country_code,statisticcat_desc,short_desc,watershed_desc,source_desc,county_code,state_fips_code,county_name,county_ansi,load_time,end_code,reference_period_desc,year,state_name,freq_desc,watershed_code,Value,util_practice_desc,unit_desc,group_desc,agg_level_desc,asd_desc,week_ending
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, LEELANAU",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,089,26,LEELANAU,089,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,74.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, MISSAUKEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,113,26,MISSAUKEE,113,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,141.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,20,,,"MICHIGAN, NORTHWEST, WEXFORD",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,165,26,WEXFORD,165,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,113.8,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,998,26,OTHER (COMBINED) COUNTIES,,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,113.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, ALCONA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,001,26,ALCONA,001,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,83.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, ALPENA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,007,26,ALPENA,007,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,112.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, CHEBOYGAN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,031,26,CHEBOYGAN,031,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,110,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, IOSCO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,069,26,IOSCO,069,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,150,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, MONTMORENCY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,119,26,MONTMORENCY,119,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,109.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, OGEMAW",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,129,26,OGEMAW,129,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,142.9,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, OTSEGO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,137,26,OTSEGO,137,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,98.2,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,30,,,"MICHIGAN, NORTHEAST, PRESQUE ISLE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,141,26,PRESQUE ISLE,141,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,124.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,NORTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,40,,,"MICHIGAN, WEST CENTRAL, LAKE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,085,26,LAKE,085,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,138.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,WEST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,40,,,"MICHIGAN, WEST CENTRAL, MASON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,105,26,MASON,105,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,128.7,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,WEST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,40,,,"MICHIGAN, WEST CENTRAL, MUSKEGON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,121,26,MUSKEGON,121,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,140.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,WEST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,40,,,"MICHIGAN, WEST CENTRAL, NEWAYGO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,123,26,NEWAYGO,123,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,128.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,WEST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,40,,,"MICHIGAN, WEST CENTRAL, OCEANA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,127,26,OCEANA,127,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,127.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,WEST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, CLARE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,035,26,CLARE,035,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,122.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, GLADWIN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,051,26,GLADWIN,051,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,156.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, GRATIOT",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,057,26,GRATIOT,057,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,155.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, ISABELLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,073,26,ISABELLA,073,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,146.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, MECOSTA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,107,26,MECOSTA,107,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,136.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, MIDLAND",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,111,26,MIDLAND,111,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,161.8,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, MONTCALM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,117,26,MONTCALM,117,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,146.8,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,50,,,"MICHIGAN, CENTRAL, OSCEOLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,133,26,OSCEOLA,133,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,139.7,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, ARENAC",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,011,26,ARENAC,011,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,160.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, BAY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,017,26,BAY,017,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,169.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, HURON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,063,26,HURON,063,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,175.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, SAGINAW",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,145,26,SAGINAW,145,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,150.2,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, SANILAC",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,151,26,SANILAC,151,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,161.8,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,60,,,"MICHIGAN, EAST CENTRAL, TUSCOLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,157,26,TUSCOLA,157,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,156.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,EAST CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, ALLEGAN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,005,26,ALLEGAN,005,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,175.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, BERRIEN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,021,26,BERRIEN,021,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,163,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, CASS",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,027,26,CASS,027,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,168,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, KALAMAZOO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,077,26,KALAMAZOO,077,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,162.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, KENT",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,081,26,KENT,081,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,163.3,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, OTTAWA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,139,26,OTTAWA,139,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,148.7,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,70,,,"MICHIGAN, SOUTHWEST, VAN BUREN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,159,26,VAN BUREN,159,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,179.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHWEST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, BARRY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,015,26,BARRY,015,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,153,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, BRANCH",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,023,26,BRANCH,023,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,156.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, CALHOUN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,025,26,CALHOUN,025,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,144.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, CLINTON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,037,26,CLINTON,037,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,151.9,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, EATON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,045,26,EATON,045,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,147.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,059,26,HILLSDALE,059,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,139.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, INGHAM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,065,26,INGHAM,065,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,148.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
