class_desc,state_alpha,country_code,commodity_desc,country_name,short_desc,freq_desc,watershed_code,watershed_desc,year,load_time,begin_code,sector_desc,CV (%),statisticcat_desc,asd_code,end_code,county_ansi,prodn_practice_desc,group_desc,agg_level_desc,county_name,Value,week_ending,unit_desc,domaincat_desc,reference_period_desc,congr_district_code,region_desc,asd_desc,source_desc,util_practice_desc,zip_5,state_ansi,domain_desc,county_code,location_desc,state_fips_code,state_name
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,103,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MARQUETTE,18.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,103,"MICHIGAN, UPPER PENINSULA, MARQUETTE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,109,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MENOMINEE,27.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,109,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,131,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ONTONAGON,20,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,131,"MICHIGAN, UPPER PENINSULA, ONTONAGON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,10,00,153,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SCHOOLCRAFT,16,,BU / ACRE,NOT SPECIFIED,YEAR,,,UPPER PENINSULA,SURVEY,GRAIN,,26,TOTAL,153,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,009,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ANTRIM,27.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,009,"MICHIGAN, NORTHWEST, ANTRIM",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,019,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BENZIE,21.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,019,"MICHIGAN, NORTHWEST, BENZIE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,029,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CHARLEVOIX,30.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,029,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,047,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,EMMET,30.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,047,"MICHIGAN, NORTHWEST, EMMET",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,055,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GRAND TRAVERSE,26.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,055,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,079,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,KALKASKA,24.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,079,"MICHIGAN, NORTHWEST, KALKASKA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,089,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LEELANAU,25.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,089,"MICHIGAN, NORTHWEST, LEELANAU",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,101,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MANISTEE,22.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,101,"MICHIGAN, NORTHWEST, MANISTEE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,113,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MISSAUKEE,29.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,113,"MICHIGAN, NORTHWEST, MISSAUKEE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,20,00,165,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,WEXFORD,24.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHWEST,SURVEY,GRAIN,,26,TOTAL,165,"MICHIGAN, NORTHWEST, WEXFORD",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,001,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ALCONA,30.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,001,"MICHIGAN, NORTHEAST, ALCONA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,007,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ALPENA,34.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,007,"MICHIGAN, NORTHEAST, ALPENA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,031,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CHEBOYGAN,30.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,031,"MICHIGAN, NORTHEAST, CHEBOYGAN",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,039,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CRAWFORD,28.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,039,"MICHIGAN, NORTHEAST, CRAWFORD",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,069,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,IOSCO,30.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,069,"MICHIGAN, NORTHEAST, IOSCO",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,119,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MONTMORENCY,29.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,119,"MICHIGAN, NORTHEAST, MONTMORENCY",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,129,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OGEMAW,33.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,129,"MICHIGAN, NORTHEAST, OGEMAW",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,135,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OSCODA,33.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,135,"MICHIGAN, NORTHEAST, OSCODA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,137,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OTSEGO,26.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,137,"MICHIGAN, NORTHEAST, OTSEGO",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,141,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,PRESQUE ISLE,34.3,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,141,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,30,00,143,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ROSCOMMON,30.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,NORTHEAST,SURVEY,GRAIN,,26,TOTAL,143,"MICHIGAN, NORTHEAST, ROSCOMMON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,40,00,085,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LAKE,25.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,WEST CENTRAL,SURVEY,GRAIN,,26,TOTAL,085,"MICHIGAN, WEST CENTRAL, LAKE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,40,00,105,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MASON,30.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,WEST CENTRAL,SURVEY,GRAIN,,26,TOTAL,105,"MICHIGAN, WEST CENTRAL, MASON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,40,00,121,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MUSKEGON,31.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,WEST CENTRAL,SURVEY,GRAIN,,26,TOTAL,121,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,40,00,123,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,NEWAYGO,34.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,WEST CENTRAL,SURVEY,GRAIN,,26,TOTAL,123,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,40,00,127,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OCEANA,33.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,WEST CENTRAL,SURVEY,GRAIN,,26,TOTAL,127,"MICHIGAN, WEST CENTRAL, OCEANA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,035,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CLARE,37.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,035,"MICHIGAN, CENTRAL, CLARE",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,051,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GLADWIN,37.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,051,"MICHIGAN, CENTRAL, GLADWIN",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,057,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GRATIOT,43.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,057,"MICHIGAN, CENTRAL, GRATIOT",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,073,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ISABELLA,39.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,073,"MICHIGAN, CENTRAL, ISABELLA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,107,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MECOSTA,31.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,107,"MICHIGAN, CENTRAL, MECOSTA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,111,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MIDLAND,36.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,111,"MICHIGAN, CENTRAL, MIDLAND",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,117,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MONTCALM,35.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,117,"MICHIGAN, CENTRAL, MONTCALM",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,50,00,133,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OSCEOLA,29.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,CENTRAL,SURVEY,GRAIN,,26,TOTAL,133,"MICHIGAN, CENTRAL, OSCEOLA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,011,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ARENAC,34.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,011,"MICHIGAN, EAST CENTRAL, ARENAC",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,017,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BAY,34.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,017,"MICHIGAN, EAST CENTRAL, BAY",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,063,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,HURON,47.6,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,063,"MICHIGAN, EAST CENTRAL, HURON",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,145,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SAGINAW,40.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,145,"MICHIGAN, EAST CENTRAL, SAGINAW",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,151,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SANILAC,33.4,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,151,"MICHIGAN, EAST CENTRAL, SANILAC",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,60,00,157,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,TUSCOLA,41.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,EAST CENTRAL,SURVEY,GRAIN,,26,TOTAL,157,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,MICHIGAN
ALL CLASSES,MI,9000,CORN,UNITED STATES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1950,2012-01-01 00:00:00.000,00,CROPS,,YIELD,70,00,005,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ALLEGAN,37.5,,BU / ACRE,NOT SPECIFIED,YEAR,,,SOUTHWEST,SURVEY,GRAIN,,26,TOTAL,005,"MICHIGAN, SOUTHWEST, ALLEGAN",26,MICHIGAN
