location_desc,group_desc,prodn_practice_desc,end_code,county_name,source_desc,class_desc,reference_period_desc,domaincat_desc,state_fips_code,unit_desc,county_code,country_name,watershed_desc,watershed_code,commodity_desc,state_alpha,state_ansi,util_practice_desc,load_time,asd_code,Value,state_name,statisticcat_desc,county_ansi,agg_level_desc,week_ending,CV (%),country_code,short_desc,domain_desc,region_desc,sector_desc,year,asd_desc,congr_district_code,freq_desc,begin_code,zip_5
"MICHIGAN, NORTHWEST, EMMET",FIELD CROPS,ALL PRODUCTION PRACTICES,00,EMMET,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,047,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,88,MICHIGAN,YIELD,047,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, GRAND TRAVERSE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,GRAND TRAVERSE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,055,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,74,MICHIGAN,YIELD,055,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, KALKASKA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,KALKASKA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,079,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,80.7,MICHIGAN,YIELD,079,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, LEELANAU",FIELD CROPS,ALL PRODUCTION PRACTICES,00,LEELANAU,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,089,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,81,MICHIGAN,YIELD,089,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, MANISTEE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MANISTEE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,101,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,76,MICHIGAN,YIELD,101,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, MISSAUKEE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MISSAUKEE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,113,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,73,MICHIGAN,YIELD,113,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHWEST, WEXFORD",FIELD CROPS,ALL PRODUCTION PRACTICES,00,WEXFORD,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,165,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,20,68,MICHIGAN,YIELD,165,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHWEST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OTHER (COMBINED) COUNTIES,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,998,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,80,MICHIGAN,YIELD,,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, ALCONA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ALCONA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,001,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,91,MICHIGAN,YIELD,001,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, ALPENA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ALPENA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,007,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,77.6,MICHIGAN,YIELD,007,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, CHEBOYGAN",FIELD CROPS,ALL PRODUCTION PRACTICES,00,CHEBOYGAN,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,031,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,79.2,MICHIGAN,YIELD,031,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, IOSCO",FIELD CROPS,ALL PRODUCTION PRACTICES,00,IOSCO,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,069,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,83,MICHIGAN,YIELD,069,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, MONTMORENCY",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MONTMORENCY,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,119,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,80.3,MICHIGAN,YIELD,119,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, OGEMAW",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OGEMAW,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,129,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,84.9,MICHIGAN,YIELD,129,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, OSCODA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OSCODA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,135,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,78,MICHIGAN,YIELD,135,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, OTSEGO",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OTSEGO,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,137,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,85.5,MICHIGAN,YIELD,137,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, NORTHEAST, PRESQUE ISLE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,PRESQUE ISLE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,141,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,30,85.1,MICHIGAN,YIELD,141,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,NORTHEAST,,ANNUAL,00,
"MICHIGAN, WEST CENTRAL, LAKE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,LAKE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,085,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,40,72,MICHIGAN,YIELD,085,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,WEST CENTRAL,,ANNUAL,00,
"MICHIGAN, WEST CENTRAL, MASON",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MASON,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,105,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,40,68.6,MICHIGAN,YIELD,105,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,WEST CENTRAL,,ANNUAL,00,
"MICHIGAN, WEST CENTRAL, MUSKEGON",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MUSKEGON,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,121,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,40,73.5,MICHIGAN,YIELD,121,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,WEST CENTRAL,,ANNUAL,00,
"MICHIGAN, WEST CENTRAL, NEWAYGO",FIELD CROPS,ALL PRODUCTION PRACTICES,00,NEWAYGO,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,123,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,40,79.1,MICHIGAN,YIELD,123,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,WEST CENTRAL,,ANNUAL,00,
"MICHIGAN, WEST CENTRAL, OCEANA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OCEANA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,127,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,40,66.7,MICHIGAN,YIELD,127,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,WEST CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, CLARE",FIELD CROPS,ALL PRODUCTION PRACTICES,00,CLARE,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,035,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,76,MICHIGAN,YIELD,035,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, GLADWIN",FIELD CROPS,ALL PRODUCTION PRACTICES,00,GLADWIN,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,051,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,95.1,MICHIGAN,YIELD,051,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, GRATIOT",FIELD CROPS,ALL PRODUCTION PRACTICES,00,GRATIOT,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,057,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,102,MICHIGAN,YIELD,057,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, ISABELLA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ISABELLA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,073,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,81,MICHIGAN,YIELD,073,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, MECOSTA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MECOSTA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,107,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,80,MICHIGAN,YIELD,107,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, MIDLAND",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MIDLAND,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,111,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,98.2,MICHIGAN,YIELD,111,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, MONTCALM",FIELD CROPS,ALL PRODUCTION PRACTICES,00,MONTCALM,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,117,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,93.7,MICHIGAN,YIELD,117,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, CENTRAL, OSCEOLA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OSCEOLA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,133,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,50,76,MICHIGAN,YIELD,133,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, ARENAC",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ARENAC,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,011,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,98,MICHIGAN,YIELD,011,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, BAY",FIELD CROPS,ALL PRODUCTION PRACTICES,00,BAY,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,017,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,99.5,MICHIGAN,YIELD,017,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, HURON",FIELD CROPS,ALL PRODUCTION PRACTICES,00,HURON,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,063,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,96.7,MICHIGAN,YIELD,063,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, SAGINAW",FIELD CROPS,ALL PRODUCTION PRACTICES,00,SAGINAW,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,145,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,100,MICHIGAN,YIELD,145,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, SANILAC",FIELD CROPS,ALL PRODUCTION PRACTICES,00,SANILAC,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,151,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,97.4,MICHIGAN,YIELD,151,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, EAST CENTRAL, TUSCOLA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,TUSCOLA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,157,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,60,99.7,MICHIGAN,YIELD,157,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,EAST CENTRAL,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, ALLEGAN",FIELD CROPS,ALL PRODUCTION PRACTICES,00,ALLEGAN,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,005,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,89,MICHIGAN,YIELD,005,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, BERRIEN",FIELD CROPS,ALL PRODUCTION PRACTICES,00,BERRIEN,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,021,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,87.7,MICHIGAN,YIELD,021,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, CASS",FIELD CROPS,ALL PRODUCTION PRACTICES,00,CASS,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,027,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,97.7,MICHIGAN,YIELD,027,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, KALAMAZOO",FIELD CROPS,ALL PRODUCTION PRACTICES,00,KALAMAZOO,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,077,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,97.8,MICHIGAN,YIELD,077,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, KENT",FIELD CROPS,ALL PRODUCTION PRACTICES,00,KENT,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,081,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,88.2,MICHIGAN,YIELD,081,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, OTTAWA",FIELD CROPS,ALL PRODUCTION PRACTICES,00,OTTAWA,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,139,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,91.8,MICHIGAN,YIELD,139,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTHWEST, VAN BUREN",FIELD CROPS,ALL PRODUCTION PRACTICES,00,VAN BUREN,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,159,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,70,84.6,MICHIGAN,YIELD,159,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTHWEST,,ANNUAL,00,
"MICHIGAN, SOUTH CENTRAL, BARRY",FIELD CROPS,ALL PRODUCTION PRACTICES,00,BARRY,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,015,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,80,88.7,MICHIGAN,YIELD,015,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTH CENTRAL,,ANNUAL,00,
"MICHIGAN, SOUTH CENTRAL, BRANCH",FIELD CROPS,ALL PRODUCTION PRACTICES,00,BRANCH,SURVEY,ALL CLASSES,YEAR,NOT SPECIFIED,26,BU / ACRE,023,UNITED STATES,,00000000,CORN,MI,26,GRAIN,2012-01-01 00:00:00.000,80,103.3,MICHIGAN,YIELD,023,COUNTY,,,9000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,CROPS,1979,SOUTH CENTRAL,,ANNUAL,00,
