Value,week_ending,sector_desc,asd_code,statisticcat_desc,CV (%),end_code,county_ansi,prodn_practice_desc,group_desc,agg_level_desc,county_name,short_desc,freq_desc,watershed_desc,watershed_code,year,begin_code,load_time,class_desc,state_alpha,country_code,commodity_desc,country_name,domain_desc,county_code,location_desc,state_fips_code,state_name,source_desc,util_practice_desc,zip_5,state_ansi,congr_district_code,region_desc,asd_desc,unit_desc,domaincat_desc,reference_period_desc
59.3,,CROPS,60,YIELD,,00,145,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SAGINAW,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,145,"MICHIGAN, EAST CENTRAL, SAGINAW",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
56.8,,CROPS,60,YIELD,,00,151,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SANILAC,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,151,"MICHIGAN, EAST CENTRAL, SANILAC",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
53.6,,CROPS,60,YIELD,,00,157,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,TUSCOLA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,157,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,MICHIGAN,SURVEY,GRAIN,,26,,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
65,,CROPS,70,YIELD,,00,005,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ALLEGAN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,005,"MICHIGAN, SOUTHWEST, ALLEGAN",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
72.6,,CROPS,70,YIELD,,00,021,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BERRIEN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,021,"MICHIGAN, SOUTHWEST, BERRIEN",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
74.5,,CROPS,70,YIELD,,00,027,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CASS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,027,"MICHIGAN, SOUTHWEST, CASS",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
50.2,,CROPS,70,YIELD,,00,077,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,KALAMAZOO,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,077,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
60,,CROPS,70,YIELD,,00,081,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,KENT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,081,"MICHIGAN, SOUTHWEST, KENT",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
63.5,,CROPS,70,YIELD,,00,139,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OTTAWA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,139,"MICHIGAN, SOUTHWEST, OTTAWA",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
61.4,,CROPS,70,YIELD,,00,159,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,VAN BUREN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,159,"MICHIGAN, SOUTHWEST, VAN BUREN",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR
51.2,,CROPS,80,YIELD,,00,015,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BARRY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,015,"MICHIGAN, SOUTH CENTRAL, BARRY",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
60.1,,CROPS,80,YIELD,,00,023,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,BRANCH,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,023,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
66.9,,CROPS,80,YIELD,,00,025,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CALHOUN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,025,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
41.9,,CROPS,80,YIELD,,00,037,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,CLINTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,037,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
53,,CROPS,80,YIELD,,00,045,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,EATON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,045,"MICHIGAN, SOUTH CENTRAL, EATON",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
71.8,,CROPS,80,YIELD,,00,059,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,HILLSDALE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,059,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
46.3,,CROPS,80,YIELD,,00,065,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,INGHAM,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,065,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
53.1,,CROPS,80,YIELD,,00,067,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,IONIA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,067,"MICHIGAN, SOUTH CENTRAL, IONIA",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
69.5,,CROPS,80,YIELD,,00,075,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,JACKSON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,075,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
75.2,,CROPS,80,YIELD,,00,149,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ST JOSEPH,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,149,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
37.2,,CROPS,80,YIELD,,00,155,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,SHIAWASSEE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,155,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR
55,,CROPS,90,YIELD,,00,049,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,GENESEE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,049,"MICHIGAN, SOUTHEAST, GENESEE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
53.8,,CROPS,90,YIELD,,00,087,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LAPEER,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,087,"MICHIGAN, SOUTHEAST, LAPEER",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
78.1,,CROPS,90,YIELD,,00,091,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LENAWEE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,091,"MICHIGAN, SOUTHEAST, LENAWEE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
52.9,,CROPS,90,YIELD,,00,093,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,LIVINGSTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,093,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
52.1,,CROPS,90,YIELD,,00,099,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MACOMB,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,099,"MICHIGAN, SOUTHEAST, MACOMB",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
85.6,,CROPS,90,YIELD,,00,115,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,MONROE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,115,"MICHIGAN, SOUTHEAST, MONROE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
49.2,,CROPS,90,YIELD,,00,125,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,OAKLAND,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,125,"MICHIGAN, SOUTHEAST, OAKLAND",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
45.2,,CROPS,90,YIELD,,00,147,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,ST CLAIR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,147,"MICHIGAN, SOUTHEAST, ST CLAIR",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
76.7,,CROPS,90,YIELD,,00,161,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,WASHTENAW,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,161,"MICHIGAN, SOUTHEAST, WASHTENAW",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
53.1,,CROPS,90,YIELD,,00,163,ALL PRODUCTION PRACTICES,FIELD CROPS,COUNTY,WAYNE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,,00000000,1965,00,2012-01-01 00:00:00.000,ALL CLASSES,MI,9000,CORN,UNITED STATES,TOTAL,163,"MICHIGAN, SOUTHEAST, WAYNE",26,MICHIGAN,SURVEY,GRAIN,,26,,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR
