unit_desc,asd_code,CV (%),country_name,state_ansi,agg_level_desc,county_ansi,asd_desc,location_desc,freq_desc,year,sector_desc,Value,region_desc,week_ending,domain_desc,statisticcat_desc,load_time,county_name,source_desc,watershed_desc,group_desc,reference_period_desc,domaincat_desc,commodity_desc,begin_code,class_desc,state_name,state_fips_code,country_code,county_code,watershed_code,short_desc,congr_district_code,zip_5,util_practice_desc,prodn_practice_desc,state_alpha,end_code
BU / ACRE,30,,UNITED STATES,26,COUNTY,129,NORTHEAST,"MICHIGAN, NORTHEAST, OGEMAW",ANNUAL,2001,CROPS,80,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OGEMAW,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,129,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,137,NORTHEAST,"MICHIGAN, NORTHEAST, OTSEGO",ANNUAL,2001,CROPS,108,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTSEGO,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,137,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,30,,UNITED STATES,26,COUNTY,141,NORTHEAST,"MICHIGAN, NORTHEAST, PRESQUE ISLE",ANNUAL,2001,CROPS,99,,,TOTAL,YIELD,2012-01-01 00:00:00.000,PRESQUE ISLE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,141,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,40,,UNITED STATES,26,COUNTY,,WEST CENTRAL,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,40,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,40,,UNITED STATES,26,COUNTY,105,WEST CENTRAL,"MICHIGAN, WEST CENTRAL, MASON",ANNUAL,2001,CROPS,64,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MASON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,105,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,40,,UNITED STATES,26,COUNTY,121,WEST CENTRAL,"MICHIGAN, WEST CENTRAL, MUSKEGON",ANNUAL,2001,CROPS,77,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MUSKEGON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,121,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,40,,UNITED STATES,26,COUNTY,123,WEST CENTRAL,"MICHIGAN, WEST CENTRAL, NEWAYGO",ANNUAL,2001,CROPS,75,,,TOTAL,YIELD,2012-01-01 00:00:00.000,NEWAYGO,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,123,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,,CENTRAL,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,59,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,051,CENTRAL,"MICHIGAN, CENTRAL, GLADWIN",ANNUAL,2001,CROPS,98,,,TOTAL,YIELD,2012-01-01 00:00:00.000,GLADWIN,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,051,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,057,CENTRAL,"MICHIGAN, CENTRAL, GRATIOT",ANNUAL,2001,CROPS,111,,,TOTAL,YIELD,2012-01-01 00:00:00.000,GRATIOT,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,057,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,073,CENTRAL,"MICHIGAN, CENTRAL, ISABELLA",ANNUAL,2001,CROPS,85,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ISABELLA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,073,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,107,CENTRAL,"MICHIGAN, CENTRAL, MECOSTA",ANNUAL,2001,CROPS,100,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MECOSTA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,107,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,111,CENTRAL,"MICHIGAN, CENTRAL, MIDLAND",ANNUAL,2001,CROPS,111,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MIDLAND,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,111,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,50,,UNITED STATES,26,COUNTY,117,CENTRAL,"MICHIGAN, CENTRAL, MONTCALM",ANNUAL,2001,CROPS,99,,,TOTAL,YIELD,2012-01-01 00:00:00.000,MONTCALM,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,117,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,011,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, ARENAC",ANNUAL,2001,CROPS,71,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ARENAC,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,011,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,017,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, BAY",ANNUAL,2001,CROPS,84,,,TOTAL,YIELD,2012-01-01 00:00:00.000,BAY,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,017,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,063,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, HURON",ANNUAL,2001,CROPS,86,,,TOTAL,YIELD,2012-01-01 00:00:00.000,HURON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,063,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,145,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, SAGINAW",ANNUAL,2001,CROPS,100,,,TOTAL,YIELD,2012-01-01 00:00:00.000,SAGINAW,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,145,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,151,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, SANILAC",ANNUAL,2001,CROPS,105,,,TOTAL,YIELD,2012-01-01 00:00:00.000,SANILAC,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,151,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,60,,UNITED STATES,26,COUNTY,157,EAST CENTRAL,"MICHIGAN, EAST CENTRAL, TUSCOLA",ANNUAL,2001,CROPS,77,,,TOTAL,YIELD,2012-01-01 00:00:00.000,TUSCOLA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,157,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,005,SOUTHWEST,"MICHIGAN, SOUTHWEST, ALLEGAN",ANNUAL,2001,CROPS,127,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ALLEGAN,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,005,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,021,SOUTHWEST,"MICHIGAN, SOUTHWEST, BERRIEN",ANNUAL,2001,CROPS,126,,,TOTAL,YIELD,2012-01-01 00:00:00.000,BERRIEN,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,021,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,027,SOUTHWEST,"MICHIGAN, SOUTHWEST, CASS",ANNUAL,2001,CROPS,115,,,TOTAL,YIELD,2012-01-01 00:00:00.000,CASS,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,027,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,077,SOUTHWEST,"MICHIGAN, SOUTHWEST, KALAMAZOO",ANNUAL,2001,CROPS,111,,,TOTAL,YIELD,2012-01-01 00:00:00.000,KALAMAZOO,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,077,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,081,SOUTHWEST,"MICHIGAN, SOUTHWEST, KENT",ANNUAL,2001,CROPS,115,,,TOTAL,YIELD,2012-01-01 00:00:00.000,KENT,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,081,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,139,SOUTHWEST,"MICHIGAN, SOUTHWEST, OTTAWA",ANNUAL,2001,CROPS,113,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTTAWA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,139,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,70,,UNITED STATES,26,COUNTY,159,SOUTHWEST,"MICHIGAN, SOUTHWEST, VAN BUREN",ANNUAL,2001,CROPS,100,,,TOTAL,YIELD,2012-01-01 00:00:00.000,VAN BUREN,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,159,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,015,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, BARRY",ANNUAL,2001,CROPS,113,,,TOTAL,YIELD,2012-01-01 00:00:00.000,BARRY,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,015,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,023,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, BRANCH",ANNUAL,2001,CROPS,134,,,TOTAL,YIELD,2012-01-01 00:00:00.000,BRANCH,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,023,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,025,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, CALHOUN",ANNUAL,2001,CROPS,112,,,TOTAL,YIELD,2012-01-01 00:00:00.000,CALHOUN,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,025,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,037,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, CLINTON",ANNUAL,2001,CROPS,106,,,TOTAL,YIELD,2012-01-01 00:00:00.000,CLINTON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,037,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,045,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, EATON",ANNUAL,2001,CROPS,123,,,TOTAL,YIELD,2012-01-01 00:00:00.000,EATON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,045,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,059,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",ANNUAL,2001,CROPS,104,,,TOTAL,YIELD,2012-01-01 00:00:00.000,HILLSDALE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,059,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,065,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, INGHAM",ANNUAL,2001,CROPS,101,,,TOTAL,YIELD,2012-01-01 00:00:00.000,INGHAM,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,065,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,067,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, IONIA",ANNUAL,2001,CROPS,127,,,TOTAL,YIELD,2012-01-01 00:00:00.000,IONIA,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,067,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,075,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, JACKSON",ANNUAL,2001,CROPS,89,,,TOTAL,YIELD,2012-01-01 00:00:00.000,JACKSON,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,075,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,149,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",ANNUAL,2001,CROPS,125,,,TOTAL,YIELD,2012-01-01 00:00:00.000,ST JOSEPH,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,149,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,80,,UNITED STATES,26,COUNTY,155,SOUTH CENTRAL,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",ANNUAL,2001,CROPS,98,,,TOTAL,YIELD,2012-01-01 00:00:00.000,SHIAWASSEE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,155,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,90,,UNITED STATES,26,COUNTY,,SOUTHEAST,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",ANNUAL,2001,CROPS,56,,,TOTAL,YIELD,2012-01-01 00:00:00.000,OTHER (COMBINED) COUNTIES,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,998,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,90,,UNITED STATES,26,COUNTY,049,SOUTHEAST,"MICHIGAN, SOUTHEAST, GENESEE",ANNUAL,2001,CROPS,73,,,TOTAL,YIELD,2012-01-01 00:00:00.000,GENESEE,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,049,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
BU / ACRE,90,,UNITED STATES,26,COUNTY,087,SOUTHEAST,"MICHIGAN, SOUTHEAST, LAPEER",ANNUAL,2001,CROPS,84,,,TOTAL,YIELD,2012-01-01 00:00:00.000,LAPEER,SURVEY,,FIELD CROPS,YEAR,NOT SPECIFIED,CORN,00,ALL CLASSES,MICHIGAN,26,9000,087,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,,GRAIN,ALL PRODUCTION PRACTICES,MI,00
