prodn_practice_desc,end_code,group_desc,location_desc,unit_desc,state_fips_code,domaincat_desc,reference_period_desc,county_name,source_desc,class_desc,watershed_code,watershed_desc,country_name,county_code,state_ansi,state_alpha,commodity_desc,Value,asd_code,load_time,util_practice_desc,country_code,CV (%),week_ending,agg_level_desc,statisticcat_desc,state_name,county_ansi,asd_desc,year,sector_desc,region_desc,short_desc,domain_desc,zip_5,begin_code,freq_desc,congr_district_code
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",BU / ACRE,26,NOT SPECIFIED,YEAR,GRAND TRAVERSE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,055,26,MI,CORN,83.8,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,055,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, KALKASKA",BU / ACRE,26,NOT SPECIFIED,YEAR,KALKASKA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,079,26,MI,CORN,68.8,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,079,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, LEELANAU",BU / ACRE,26,NOT SPECIFIED,YEAR,LEELANAU,SURVEY,ALL CLASSES,00000000,,UNITED STATES,089,26,MI,CORN,84.5,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,089,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, MANISTEE",BU / ACRE,26,NOT SPECIFIED,YEAR,MANISTEE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,101,26,MI,CORN,60,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,101,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, MISSAUKEE",BU / ACRE,26,NOT SPECIFIED,YEAR,MISSAUKEE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,113,26,MI,CORN,83.8,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,113,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHWEST, WEXFORD",BU / ACRE,26,NOT SPECIFIED,YEAR,WEXFORD,SURVEY,ALL CLASSES,00000000,,UNITED STATES,165,26,MI,CORN,80,20,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,165,NORTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, ALCONA",BU / ACRE,26,NOT SPECIFIED,YEAR,ALCONA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,001,26,MI,CORN,53.8,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,001,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, ALPENA",BU / ACRE,26,NOT SPECIFIED,YEAR,ALPENA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,007,26,MI,CORN,74.4,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,007,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, CHEBOYGAN",BU / ACRE,26,NOT SPECIFIED,YEAR,CHEBOYGAN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,031,26,MI,CORN,74.4,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,031,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, IOSCO",BU / ACRE,26,NOT SPECIFIED,YEAR,IOSCO,SURVEY,ALL CLASSES,00000000,,UNITED STATES,069,26,MI,CORN,67.9,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,069,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, MONTMORENCY",BU / ACRE,26,NOT SPECIFIED,YEAR,MONTMORENCY,SURVEY,ALL CLASSES,00000000,,UNITED STATES,119,26,MI,CORN,58.2,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,119,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, OGEMAW",BU / ACRE,26,NOT SPECIFIED,YEAR,OGEMAW,SURVEY,ALL CLASSES,00000000,,UNITED STATES,129,26,MI,CORN,78.7,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,129,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, OSCODA",BU / ACRE,26,NOT SPECIFIED,YEAR,OSCODA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,135,26,MI,CORN,86.7,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,135,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, OTSEGO",BU / ACRE,26,NOT SPECIFIED,YEAR,OTSEGO,SURVEY,ALL CLASSES,00000000,,UNITED STATES,137,26,MI,CORN,57.5,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,137,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, NORTHEAST, PRESQUE ISLE",BU / ACRE,26,NOT SPECIFIED,YEAR,PRESQUE ISLE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,141,26,MI,CORN,64.3,30,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,141,NORTHEAST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, WEST CENTRAL, LAKE",BU / ACRE,26,NOT SPECIFIED,YEAR,LAKE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,085,26,MI,CORN,80,40,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,085,WEST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, WEST CENTRAL, MASON",BU / ACRE,26,NOT SPECIFIED,YEAR,MASON,SURVEY,ALL CLASSES,00000000,,UNITED STATES,105,26,MI,CORN,87.1,40,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,105,WEST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, WEST CENTRAL, MUSKEGON",BU / ACRE,26,NOT SPECIFIED,YEAR,MUSKEGON,SURVEY,ALL CLASSES,00000000,,UNITED STATES,121,26,MI,CORN,93.9,40,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,121,WEST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, WEST CENTRAL, NEWAYGO",BU / ACRE,26,NOT SPECIFIED,YEAR,NEWAYGO,SURVEY,ALL CLASSES,00000000,,UNITED STATES,123,26,MI,CORN,98.5,40,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,123,WEST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, WEST CENTRAL, OCEANA",BU / ACRE,26,NOT SPECIFIED,YEAR,OCEANA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,127,26,MI,CORN,94.8,40,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,127,WEST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, CLARE",BU / ACRE,26,NOT SPECIFIED,YEAR,CLARE,SURVEY,ALL CLASSES,00000000,,UNITED STATES,035,26,MI,CORN,80,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,035,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, GLADWIN",BU / ACRE,26,NOT SPECIFIED,YEAR,GLADWIN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,051,26,MI,CORN,97.2,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,051,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, GRATIOT",BU / ACRE,26,NOT SPECIFIED,YEAR,GRATIOT,SURVEY,ALL CLASSES,00000000,,UNITED STATES,057,26,MI,CORN,120.3,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,057,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, ISABELLA",BU / ACRE,26,NOT SPECIFIED,YEAR,ISABELLA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,073,26,MI,CORN,102.7,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,073,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, MECOSTA",BU / ACRE,26,NOT SPECIFIED,YEAR,MECOSTA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,107,26,MI,CORN,78.9,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,107,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, MIDLAND",BU / ACRE,26,NOT SPECIFIED,YEAR,MIDLAND,SURVEY,ALL CLASSES,00000000,,UNITED STATES,111,26,MI,CORN,113.3,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,111,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, MONTCALM",BU / ACRE,26,NOT SPECIFIED,YEAR,MONTCALM,SURVEY,ALL CLASSES,00000000,,UNITED STATES,117,26,MI,CORN,101.6,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,117,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, CENTRAL, OSCEOLA",BU / ACRE,26,NOT SPECIFIED,YEAR,OSCEOLA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,133,26,MI,CORN,84.6,50,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,133,CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, ARENAC",BU / ACRE,26,NOT SPECIFIED,YEAR,ARENAC,SURVEY,ALL CLASSES,00000000,,UNITED STATES,011,26,MI,CORN,105.6,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,011,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, BAY",BU / ACRE,26,NOT SPECIFIED,YEAR,BAY,SURVEY,ALL CLASSES,00000000,,UNITED STATES,017,26,MI,CORN,115.9,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,017,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, HURON",BU / ACRE,26,NOT SPECIFIED,YEAR,HURON,SURVEY,ALL CLASSES,00000000,,UNITED STATES,063,26,MI,CORN,120.4,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,063,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, SAGINAW",BU / ACRE,26,NOT SPECIFIED,YEAR,SAGINAW,SURVEY,ALL CLASSES,00000000,,UNITED STATES,145,26,MI,CORN,121.5,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,145,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, SANILAC",BU / ACRE,26,NOT SPECIFIED,YEAR,SANILAC,SURVEY,ALL CLASSES,00000000,,UNITED STATES,151,26,MI,CORN,106,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,151,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, EAST CENTRAL, TUSCOLA",BU / ACRE,26,NOT SPECIFIED,YEAR,TUSCOLA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,157,26,MI,CORN,125,60,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,157,EAST CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, ALLEGAN",BU / ACRE,26,NOT SPECIFIED,YEAR,ALLEGAN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,005,26,MI,CORN,113.5,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,005,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, BERRIEN",BU / ACRE,26,NOT SPECIFIED,YEAR,BERRIEN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,021,26,MI,CORN,100,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,021,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, CASS",BU / ACRE,26,NOT SPECIFIED,YEAR,CASS,SURVEY,ALL CLASSES,00000000,,UNITED STATES,027,26,MI,CORN,113.8,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,027,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, KALAMAZOO",BU / ACRE,26,NOT SPECIFIED,YEAR,KALAMAZOO,SURVEY,ALL CLASSES,00000000,,UNITED STATES,077,26,MI,CORN,114.9,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,077,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, KENT",BU / ACRE,26,NOT SPECIFIED,YEAR,KENT,SURVEY,ALL CLASSES,00000000,,UNITED STATES,081,26,MI,CORN,105,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,081,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, OTTAWA",BU / ACRE,26,NOT SPECIFIED,YEAR,OTTAWA,SURVEY,ALL CLASSES,00000000,,UNITED STATES,139,26,MI,CORN,101.5,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,139,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTHWEST, VAN BUREN",BU / ACRE,26,NOT SPECIFIED,YEAR,VAN BUREN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,159,26,MI,CORN,106.1,70,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,159,SOUTHWEST,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTH CENTRAL, BARRY",BU / ACRE,26,NOT SPECIFIED,YEAR,BARRY,SURVEY,ALL CLASSES,00000000,,UNITED STATES,015,26,MI,CORN,114.8,80,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,015,SOUTH CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTH CENTRAL, BRANCH",BU / ACRE,26,NOT SPECIFIED,YEAR,BRANCH,SURVEY,ALL CLASSES,00000000,,UNITED STATES,023,26,MI,CORN,116.1,80,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,023,SOUTH CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTH CENTRAL, CALHOUN",BU / ACRE,26,NOT SPECIFIED,YEAR,CALHOUN,SURVEY,ALL CLASSES,00000000,,UNITED STATES,025,26,MI,CORN,110.3,80,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,025,SOUTH CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
ALL PRODUCTION PRACTICES,00,FIELD CROPS,"MICHIGAN, SOUTH CENTRAL, CLINTON",BU / ACRE,26,NOT SPECIFIED,YEAR,CLINTON,SURVEY,ALL CLASSES,00000000,,UNITED STATES,037,26,MI,CORN,101.8,80,2012-01-01 00:00:00.000,GRAIN,9000,,,COUNTY,YIELD,MICHIGAN,037,SOUTH CENTRAL,1993,CROPS,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,,00,ANNUAL,
