CV (%),unit_desc,source_desc,state_alpha,state_ansi,prodn_practice_desc,end_code,load_time,state_fips_code,reference_period_desc,watershed_code,state_name,asd_code,short_desc,asd_desc,commodity_desc,begin_code,sector_desc,county_name,location_desc,statisticcat_desc,zip_5,country_code,county_code,group_desc,freq_desc,domain_desc,class_desc,region_desc,Value,congr_district_code,year,util_practice_desc,county_ansi,week_ending,agg_level_desc,country_name,domaincat_desc,watershed_desc
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,KALKASKA,"MICHIGAN, NORTHWEST, KALKASKA",YIELD,,9000,079,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,079,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,LEELANAU,"MICHIGAN, NORTHWEST, LEELANAU",YIELD,,9000,089,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,106,,1995,GRAIN,089,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,MANISTEE,"MICHIGAN, NORTHWEST, MANISTEE",YIELD,,9000,101,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,93,,1995,GRAIN,101,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,MISSAUKEE,"MICHIGAN, NORTHWEST, MISSAUKEE",YIELD,,9000,113,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,127,,1995,GRAIN,113,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,20,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHWEST,CORN,00,CROPS,WEXFORD,"MICHIGAN, NORTHWEST, WEXFORD",YIELD,,9000,165,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,110,,1995,GRAIN,165,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,OTHER (COMBINED) COUNTIES,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",YIELD,,9000,998,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,100,,1995,GRAIN,,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,ALCONA,"MICHIGAN, NORTHEAST, ALCONA",YIELD,,9000,001,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,104,,1995,GRAIN,001,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,ALPENA,"MICHIGAN, NORTHEAST, ALPENA",YIELD,,9000,007,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,106,,1995,GRAIN,007,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,CHEBOYGAN,"MICHIGAN, NORTHEAST, CHEBOYGAN",YIELD,,9000,031,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,031,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,IOSCO,"MICHIGAN, NORTHEAST, IOSCO",YIELD,,9000,069,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,118,,1995,GRAIN,069,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,MONTMORENCY,"MICHIGAN, NORTHEAST, MONTMORENCY",YIELD,,9000,119,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,104,,1995,GRAIN,119,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,OGEMAW,"MICHIGAN, NORTHEAST, OGEMAW",YIELD,,9000,129,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,130,,1995,GRAIN,129,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,OTSEGO,"MICHIGAN, NORTHEAST, OTSEGO",YIELD,,9000,137,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,137,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,30,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",NORTHEAST,CORN,00,CROPS,PRESQUE ISLE,"MICHIGAN, NORTHEAST, PRESQUE ISLE",YIELD,,9000,141,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,100,,1995,GRAIN,141,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,CORN,00,CROPS,LAKE,"MICHIGAN, WEST CENTRAL, LAKE",YIELD,,9000,085,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,77,,1995,GRAIN,085,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,CORN,00,CROPS,MASON,"MICHIGAN, WEST CENTRAL, MASON",YIELD,,9000,105,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,91,,1995,GRAIN,105,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,CORN,00,CROPS,MUSKEGON,"MICHIGAN, WEST CENTRAL, MUSKEGON",YIELD,,9000,121,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,94,,1995,GRAIN,121,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,CORN,00,CROPS,NEWAYGO,"MICHIGAN, WEST CENTRAL, NEWAYGO",YIELD,,9000,123,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,106,,1995,GRAIN,123,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",WEST CENTRAL,CORN,00,CROPS,OCEANA,"MICHIGAN, WEST CENTRAL, OCEANA",YIELD,,9000,127,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,95,,1995,GRAIN,127,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,CLARE,"MICHIGAN, CENTRAL, CLARE",YIELD,,9000,035,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,116,,1995,GRAIN,035,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,GLADWIN,"MICHIGAN, CENTRAL, GLADWIN",YIELD,,9000,051,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,114,,1995,GRAIN,051,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,GRATIOT,"MICHIGAN, CENTRAL, GRATIOT",YIELD,,9000,057,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,129,,1995,GRAIN,057,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,ISABELLA,"MICHIGAN, CENTRAL, ISABELLA",YIELD,,9000,073,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,120,,1995,GRAIN,073,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,MECOSTA,"MICHIGAN, CENTRAL, MECOSTA",YIELD,,9000,107,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,98,,1995,GRAIN,107,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,MIDLAND,"MICHIGAN, CENTRAL, MIDLAND",YIELD,,9000,111,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,125,,1995,GRAIN,111,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,MONTCALM,"MICHIGAN, CENTRAL, MONTCALM",YIELD,,9000,117,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,109,,1995,GRAIN,117,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,50,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CENTRAL,CORN,00,CROPS,OSCEOLA,"MICHIGAN, CENTRAL, OSCEOLA",YIELD,,9000,133,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,103,,1995,GRAIN,133,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,ARENAC,"MICHIGAN, EAST CENTRAL, ARENAC",YIELD,,9000,011,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,133,,1995,GRAIN,011,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,BAY,"MICHIGAN, EAST CENTRAL, BAY",YIELD,,9000,017,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,140,,1995,GRAIN,017,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,HURON,"MICHIGAN, EAST CENTRAL, HURON",YIELD,,9000,063,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,128,,1995,GRAIN,063,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,SAGINAW,"MICHIGAN, EAST CENTRAL, SAGINAW",YIELD,,9000,145,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,122,,1995,GRAIN,145,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,SANILAC,"MICHIGAN, EAST CENTRAL, SANILAC",YIELD,,9000,151,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,118,,1995,GRAIN,151,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,60,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",EAST CENTRAL,CORN,00,CROPS,TUSCOLA,"MICHIGAN, EAST CENTRAL, TUSCOLA",YIELD,,9000,157,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,123,,1995,GRAIN,157,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,ALLEGAN,"MICHIGAN, SOUTHWEST, ALLEGAN",YIELD,,9000,005,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,108,,1995,GRAIN,005,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,BERRIEN,"MICHIGAN, SOUTHWEST, BERRIEN",YIELD,,9000,021,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,103,,1995,GRAIN,021,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,CASS,"MICHIGAN, SOUTHWEST, CASS",YIELD,,9000,027,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,110,,1995,GRAIN,027,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,KALAMAZOO,"MICHIGAN, SOUTHWEST, KALAMAZOO",YIELD,,9000,077,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,077,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,KENT,"MICHIGAN, SOUTHWEST, KENT",YIELD,,9000,081,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,107,,1995,GRAIN,081,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,OTTAWA,"MICHIGAN, SOUTHWEST, OTTAWA",YIELD,,9000,139,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,108,,1995,GRAIN,139,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,70,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHWEST,CORN,00,CROPS,VAN BUREN,"MICHIGAN, SOUTHWEST, VAN BUREN",YIELD,,9000,159,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,105,,1995,GRAIN,159,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,80,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,CORN,00,CROPS,BARRY,"MICHIGAN, SOUTH CENTRAL, BARRY",YIELD,,9000,015,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,113,,1995,GRAIN,015,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,80,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,CORN,00,CROPS,BRANCH,"MICHIGAN, SOUTH CENTRAL, BRANCH",YIELD,,9000,023,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,113,,1995,GRAIN,023,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,80,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,CORN,00,CROPS,CALHOUN,"MICHIGAN, SOUTH CENTRAL, CALHOUN",YIELD,,9000,025,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,109,,1995,GRAIN,025,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,80,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,CORN,00,CROPS,CLINTON,"MICHIGAN, SOUTH CENTRAL, CLINTON",YIELD,,9000,037,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,111,,1995,GRAIN,037,,COUNTY,UNITED STATES,NOT SPECIFIED,
,BU / ACRE,SURVEY,MI,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,26,YEAR,00000000,MICHIGAN,80,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,CORN,00,CROPS,EATON,"MICHIGAN, SOUTH CENTRAL, EATON",YIELD,,9000,045,FIELD CROPS,ANNUAL,TOTAL,ALL CLASSES,,116,,1995,GRAIN,045,,COUNTY,UNITED STATES,NOT SPECIFIED,
