location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc,week_ending,Value,county_ansi,prodn_practice_desc,end_code,asd_code,statisticcat_desc,CV (%),sector_desc,county_name,agg_level_desc,group_desc,watershed_code,watershed_desc,year,freq_desc,short_desc,load_time,begin_code,country_code,state_alpha,class_desc,country_name,commodity_desc
"MICHIGAN, NORTHWEST, GRAND TRAVERSE",055,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,76.1,055,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,GRAND TRAVERSE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, KALKASKA",079,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,78,079,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,KALKASKA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, LEELANAU",089,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,78.3,089,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,LEELANAU,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, MANISTEE",101,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,64.3,101,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,MANISTEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, MISSAUKEE",113,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,76,113,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,MISSAUKEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHWEST, WEXFORD",165,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,66,165,ALL PRODUCTION PRACTICES,00,20,YIELD,,CROPS,WEXFORD,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, ALCONA",001,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,60,001,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,ALCONA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, ALPENA",007,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,59.9,007,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,ALPENA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, CHEBOYGAN",031,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,56,031,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,CHEBOYGAN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, CRAWFORD",039,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,61,039,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,CRAWFORD,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, IOSCO",069,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,60,069,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,IOSCO,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, MONTMORENCY",119,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,56,119,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,MONTMORENCY,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, OGEMAW",129,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,71.7,129,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,OGEMAW,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, OSCODA",135,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,58.9,135,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,OSCODA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, OTSEGO",137,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,55,137,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,OTSEGO,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, NORTHEAST, PRESQUE ISLE",141,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,65.1,141,ALL PRODUCTION PRACTICES,00,30,YIELD,,CROPS,PRESQUE ISLE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, WEST CENTRAL, LAKE",085,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,60,085,ALL PRODUCTION PRACTICES,00,40,YIELD,,CROPS,LAKE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, WEST CENTRAL, MASON",105,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,72.4,105,ALL PRODUCTION PRACTICES,00,40,YIELD,,CROPS,MASON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, WEST CENTRAL, MUSKEGON",121,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,78,121,ALL PRODUCTION PRACTICES,00,40,YIELD,,CROPS,MUSKEGON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, WEST CENTRAL, NEWAYGO",123,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,69.8,123,ALL PRODUCTION PRACTICES,00,40,YIELD,,CROPS,NEWAYGO,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, WEST CENTRAL, OCEANA",127,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,70.3,127,ALL PRODUCTION PRACTICES,00,40,YIELD,,CROPS,OCEANA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, CLARE",035,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,77.9,035,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,CLARE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, GLADWIN",051,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,80.2,051,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,GLADWIN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, GRATIOT",057,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,90,057,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,GRATIOT,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, ISABELLA",073,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,73,073,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,ISABELLA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, MECOSTA",107,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,75,107,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,MECOSTA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, MIDLAND",111,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,82,111,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,MIDLAND,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, MONTCALM",117,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,78.1,117,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,MONTCALM,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, CENTRAL, OSCEOLA",133,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,74,133,ALL PRODUCTION PRACTICES,00,50,YIELD,,CROPS,OSCEOLA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, ARENAC",011,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,78,011,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,ARENAC,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, BAY",017,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,92.5,017,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,BAY,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, HURON",063,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,89.5,063,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,HURON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, SAGINAW",145,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,87.2,145,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,SAGINAW,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, SANILAC",151,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,83.3,151,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,SANILAC,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, EAST CENTRAL, TUSCOLA",157,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,90.8,157,ALL PRODUCTION PRACTICES,00,60,YIELD,,CROPS,TUSCOLA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, ALLEGAN",005,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,80,005,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,ALLEGAN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, BERRIEN",021,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,70.9,021,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,BERRIEN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, CASS",027,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,72,027,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,CASS,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, KALAMAZOO",077,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,78.1,077,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,KALAMAZOO,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, KENT",081,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,82,081,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,KENT,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, OTTAWA",139,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,75.2,139,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,OTTAWA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHWEST, VAN BUREN",159,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,69.4,159,ALL PRODUCTION PRACTICES,00,70,YIELD,,CROPS,VAN BUREN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, BARRY",015,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,80.1,015,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,BARRY,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
