county_code,country_code,zip_5,statisticcat_desc,location_desc,county_name,sector_desc,watershed_desc,domaincat_desc,country_name,year,county_ansi,util_practice_desc,week_ending,agg_level_desc,region_desc,congr_district_code,Value,domain_desc,freq_desc,class_desc,group_desc,load_time,state_ansi,end_code,prodn_practice_desc,state_alpha,source_desc,unit_desc,CV (%),begin_code,asd_desc,commodity_desc,short_desc,asd_code,state_name,state_fips_code,reference_period_desc,watershed_code
079,9000,,YIELD,"MICHIGAN, NORTHWEST, KALKASKA",KALKASKA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,079,GRAIN,,COUNTY,,,99,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
089,9000,,YIELD,"MICHIGAN, NORTHWEST, LEELANAU",LEELANAU,CROPS,,NOT SPECIFIED,UNITED STATES,1994,089,GRAIN,,COUNTY,,,109,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
101,9000,,YIELD,"MICHIGAN, NORTHWEST, MANISTEE",MANISTEE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,101,GRAIN,,COUNTY,,,95,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
113,9000,,YIELD,"MICHIGAN, NORTHWEST, MISSAUKEE",MISSAUKEE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,113,GRAIN,,COUNTY,,,115,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
165,9000,,YIELD,"MICHIGAN, NORTHWEST, WEXFORD",WEXFORD,CROPS,,NOT SPECIFIED,UNITED STATES,1994,165,GRAIN,,COUNTY,,,106,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20,MICHIGAN,26,YEAR,00000000
001,9000,,YIELD,"MICHIGAN, NORTHEAST, ALCONA",ALCONA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,001,GRAIN,,COUNTY,,,96,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
007,9000,,YIELD,"MICHIGAN, NORTHEAST, ALPENA",ALPENA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,007,GRAIN,,COUNTY,,,100,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
031,9000,,YIELD,"MICHIGAN, NORTHEAST, CHEBOYGAN",CHEBOYGAN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,031,GRAIN,,COUNTY,,,100,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
069,9000,,YIELD,"MICHIGAN, NORTHEAST, IOSCO",IOSCO,CROPS,,NOT SPECIFIED,UNITED STATES,1994,069,GRAIN,,COUNTY,,,113,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
119,9000,,YIELD,"MICHIGAN, NORTHEAST, MONTMORENCY",MONTMORENCY,CROPS,,NOT SPECIFIED,UNITED STATES,1994,119,GRAIN,,COUNTY,,,96,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
129,9000,,YIELD,"MICHIGAN, NORTHEAST, OGEMAW",OGEMAW,CROPS,,NOT SPECIFIED,UNITED STATES,1994,129,GRAIN,,COUNTY,,,118,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
135,9000,,YIELD,"MICHIGAN, NORTHEAST, OSCODA",OSCODA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,135,GRAIN,,COUNTY,,,105,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
137,9000,,YIELD,"MICHIGAN, NORTHEAST, OTSEGO",OTSEGO,CROPS,,NOT SPECIFIED,UNITED STATES,1994,137,GRAIN,,COUNTY,,,98,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
141,9000,,YIELD,"MICHIGAN, NORTHEAST, PRESQUE ISLE",PRESQUE ISLE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,141,GRAIN,,COUNTY,,,100,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,NORTHEAST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30,MICHIGAN,26,YEAR,00000000
085,9000,,YIELD,"MICHIGAN, WEST CENTRAL, LAKE",LAKE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,085,GRAIN,,COUNTY,,,108,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,WEST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,MICHIGAN,26,YEAR,00000000
105,9000,,YIELD,"MICHIGAN, WEST CENTRAL, MASON",MASON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,105,GRAIN,,COUNTY,,,97,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,WEST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,MICHIGAN,26,YEAR,00000000
121,9000,,YIELD,"MICHIGAN, WEST CENTRAL, MUSKEGON",MUSKEGON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,121,GRAIN,,COUNTY,,,103,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,WEST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,MICHIGAN,26,YEAR,00000000
123,9000,,YIELD,"MICHIGAN, WEST CENTRAL, NEWAYGO",NEWAYGO,CROPS,,NOT SPECIFIED,UNITED STATES,1994,123,GRAIN,,COUNTY,,,105,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,WEST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,MICHIGAN,26,YEAR,00000000
127,9000,,YIELD,"MICHIGAN, WEST CENTRAL, OCEANA",OCEANA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,127,GRAIN,,COUNTY,,,107,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,WEST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,MICHIGAN,26,YEAR,00000000
035,9000,,YIELD,"MICHIGAN, CENTRAL, CLARE",CLARE,CROPS,,NOT SPECIFIED,UNITED STATES,1994,035,GRAIN,,COUNTY,,,119,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
051,9000,,YIELD,"MICHIGAN, CENTRAL, GLADWIN",GLADWIN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,051,GRAIN,,COUNTY,,,121,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
057,9000,,YIELD,"MICHIGAN, CENTRAL, GRATIOT",GRATIOT,CROPS,,NOT SPECIFIED,UNITED STATES,1994,057,GRAIN,,COUNTY,,,129,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
073,9000,,YIELD,"MICHIGAN, CENTRAL, ISABELLA",ISABELLA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,073,GRAIN,,COUNTY,,,117,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
107,9000,,YIELD,"MICHIGAN, CENTRAL, MECOSTA",MECOSTA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,107,GRAIN,,COUNTY,,,105,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
111,9000,,YIELD,"MICHIGAN, CENTRAL, MIDLAND",MIDLAND,CROPS,,NOT SPECIFIED,UNITED STATES,1994,111,GRAIN,,COUNTY,,,117,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
117,9000,,YIELD,"MICHIGAN, CENTRAL, MONTCALM",MONTCALM,CROPS,,NOT SPECIFIED,UNITED STATES,1994,117,GRAIN,,COUNTY,,,117,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
133,9000,,YIELD,"MICHIGAN, CENTRAL, OSCEOLA",OSCEOLA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,133,GRAIN,,COUNTY,,,109,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,MICHIGAN,26,YEAR,00000000
011,9000,,YIELD,"MICHIGAN, EAST CENTRAL, ARENAC",ARENAC,CROPS,,NOT SPECIFIED,UNITED STATES,1994,011,GRAIN,,COUNTY,,,116,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
017,9000,,YIELD,"MICHIGAN, EAST CENTRAL, BAY",BAY,CROPS,,NOT SPECIFIED,UNITED STATES,1994,017,GRAIN,,COUNTY,,,121,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
063,9000,,YIELD,"MICHIGAN, EAST CENTRAL, HURON",HURON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,063,GRAIN,,COUNTY,,,127,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
145,9000,,YIELD,"MICHIGAN, EAST CENTRAL, SAGINAW",SAGINAW,CROPS,,NOT SPECIFIED,UNITED STATES,1994,145,GRAIN,,COUNTY,,,113,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
151,9000,,YIELD,"MICHIGAN, EAST CENTRAL, SANILAC",SANILAC,CROPS,,NOT SPECIFIED,UNITED STATES,1994,151,GRAIN,,COUNTY,,,115,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
157,9000,,YIELD,"MICHIGAN, EAST CENTRAL, TUSCOLA",TUSCOLA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,157,GRAIN,,COUNTY,,,120,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,EAST CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60,MICHIGAN,26,YEAR,00000000
005,9000,,YIELD,"MICHIGAN, SOUTHWEST, ALLEGAN",ALLEGAN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,005,GRAIN,,COUNTY,,,115,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
021,9000,,YIELD,"MICHIGAN, SOUTHWEST, BERRIEN",BERRIEN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,021,GRAIN,,COUNTY,,,118,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
027,9000,,YIELD,"MICHIGAN, SOUTHWEST, CASS",CASS,CROPS,,NOT SPECIFIED,UNITED STATES,1994,027,GRAIN,,COUNTY,,,120,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
077,9000,,YIELD,"MICHIGAN, SOUTHWEST, KALAMAZOO",KALAMAZOO,CROPS,,NOT SPECIFIED,UNITED STATES,1994,077,GRAIN,,COUNTY,,,125,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
081,9000,,YIELD,"MICHIGAN, SOUTHWEST, KENT",KENT,CROPS,,NOT SPECIFIED,UNITED STATES,1994,081,GRAIN,,COUNTY,,,109,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
139,9000,,YIELD,"MICHIGAN, SOUTHWEST, OTTAWA",OTTAWA,CROPS,,NOT SPECIFIED,UNITED STATES,1994,139,GRAIN,,COUNTY,,,110,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
159,9000,,YIELD,"MICHIGAN, SOUTHWEST, VAN BUREN",VAN BUREN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,159,GRAIN,,COUNTY,,,114,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTHWEST,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,MICHIGAN,26,YEAR,00000000
015,9000,,YIELD,"MICHIGAN, SOUTH CENTRAL, BARRY",BARRY,CROPS,,NOT SPECIFIED,UNITED STATES,1994,015,GRAIN,,COUNTY,,,122,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTH CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,MICHIGAN,26,YEAR,00000000
023,9000,,YIELD,"MICHIGAN, SOUTH CENTRAL, BRANCH",BRANCH,CROPS,,NOT SPECIFIED,UNITED STATES,1994,023,GRAIN,,COUNTY,,,125,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTH CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,MICHIGAN,26,YEAR,00000000
025,9000,,YIELD,"MICHIGAN, SOUTH CENTRAL, CALHOUN",CALHOUN,CROPS,,NOT SPECIFIED,UNITED STATES,1994,025,GRAIN,,COUNTY,,,114,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTH CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,MICHIGAN,26,YEAR,00000000
037,9000,,YIELD,"MICHIGAN, SOUTH CENTRAL, CLINTON",CLINTON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,037,GRAIN,,COUNTY,,,110,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTH CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,MICHIGAN,26,YEAR,00000000
045,9000,,YIELD,"MICHIGAN, SOUTH CENTRAL, EATON",EATON,CROPS,,NOT SPECIFIED,UNITED STATES,1994,045,GRAIN,,COUNTY,,,129,TOTAL,ANNUAL,ALL CLASSES,FIELD CROPS,2012-01-01 00:00:00.000,26,00,ALL PRODUCTION PRACTICES,MI,SURVEY,BU / ACRE,,00,SOUTH CENTRAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,MICHIGAN,26,YEAR,00000000
