reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,util_practice_desc,zip_5,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code,commodity_desc,country_name,country_code,class_desc,state_alpha,load_time,begin_code,freq_desc,short_desc,watershed_desc,year,watershed_code,agg_level_desc,county_name,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,CV (%),statisticcat_desc,asd_code,week_ending,Value
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, IOSCO",TOTAL,069,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,IOSCO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,069,CROPS,,YIELD,30,,34.6
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, MONTMORENCY",TOTAL,119,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MONTMORENCY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,119,CROPS,,YIELD,30,,32.7
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OGEMAW",TOTAL,129,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,OGEMAW,FIELD CROPS,00,ALL PRODUCTION PRACTICES,129,CROPS,,YIELD,30,,35.5
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OSCODA",TOTAL,135,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,OSCODA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,135,CROPS,,YIELD,30,,26.2
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OTSEGO",TOTAL,137,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,OTSEGO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,137,CROPS,,YIELD,30,,26.1
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",TOTAL,141,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,PRESQUE ISLE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,141,CROPS,,YIELD,30,,31.8
YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ROSCOMMON",TOTAL,143,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ROSCOMMON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,143,CROPS,,YIELD,30,,31.7
YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, LAKE",TOTAL,085,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,LAKE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,085,CROPS,,YIELD,40,,27.2
YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MASON",TOTAL,105,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MASON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,105,CROPS,,YIELD,40,,42
YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",TOTAL,121,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MUSKEGON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,121,CROPS,,YIELD,40,,34.5
YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",TOTAL,123,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,NEWAYGO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,123,CROPS,,YIELD,40,,37.3
YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, OCEANA",TOTAL,127,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,OCEANA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,127,CROPS,,YIELD,40,,36.5
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, CLARE",TOTAL,035,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,CLARE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,035,CROPS,,YIELD,50,,40.2
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, GLADWIN",TOTAL,051,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,GLADWIN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,051,CROPS,,YIELD,50,,29.9
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, GRATIOT",TOTAL,057,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,GRATIOT,FIELD CROPS,00,ALL PRODUCTION PRACTICES,057,CROPS,,YIELD,50,,42.9
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, ISABELLA",TOTAL,073,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ISABELLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,073,CROPS,,YIELD,50,,42
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MECOSTA",TOTAL,107,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MECOSTA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,107,CROPS,,YIELD,50,,36.4
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MIDLAND",TOTAL,111,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MIDLAND,FIELD CROPS,00,ALL PRODUCTION PRACTICES,111,CROPS,,YIELD,50,,41.1
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MONTCALM",TOTAL,117,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,MONTCALM,FIELD CROPS,00,ALL PRODUCTION PRACTICES,117,CROPS,,YIELD,50,,39.2
YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, OSCEOLA",TOTAL,133,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,OSCEOLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,133,CROPS,,YIELD,50,,28
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, ARENAC",TOTAL,011,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ARENAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,011,CROPS,,YIELD,60,,41.1
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, BAY",TOTAL,017,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,BAY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,017,CROPS,,YIELD,60,,43
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, HURON",TOTAL,063,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,HURON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,063,CROPS,,YIELD,60,,45.7
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SAGINAW",TOTAL,145,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,SAGINAW,FIELD CROPS,00,ALL PRODUCTION PRACTICES,145,CROPS,,YIELD,60,,45.8
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SANILAC",TOTAL,151,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,SANILAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,151,CROPS,,YIELD,60,,42
YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",TOTAL,157,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,TUSCOLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,157,CROPS,,YIELD,60,,42
YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,GRAIN,,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, ALLEGAN",TOTAL,005,CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,1951,00000000,COUNTY,ALLEGAN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,005,CROPS,,YIELD,70,,37.3
