group_desc,Value,state_ansi,util_practice_desc,sector_desc,watershed_code,asd_code,zip_5,short_desc,begin_code,prodn_practice_desc,region_desc,location_desc,commodity_desc,freq_desc,domaincat_desc,congr_district_code,week_ending,agg_level_desc,unit_desc,reference_period_desc,load_time,class_desc,end_code,domain_desc,year,country_code,country_name,watershed_desc,state_alpha,county_code,state_name,asd_desc,county_ansi,source_desc,CV (%),state_fips_code,statisticcat_desc,county_name
FIELD CROPS,47.8,26,GRAIN,CROPS,00000000,40,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, WEST CENTRAL, NEWAYGO",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,123,MICHIGAN,WEST CENTRAL,123,SURVEY,,26,YIELD,NEWAYGO
FIELD CROPS,46.3,26,GRAIN,CROPS,00000000,40,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, WEST CENTRAL, OCEANA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,127,MICHIGAN,WEST CENTRAL,127,SURVEY,,26,YIELD,OCEANA
FIELD CROPS,57.7,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, CLARE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,035,MICHIGAN,CENTRAL,035,SURVEY,,26,YIELD,CLARE
FIELD CROPS,54.5,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, GLADWIN",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,051,MICHIGAN,CENTRAL,051,SURVEY,,26,YIELD,GLADWIN
FIELD CROPS,70.7,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, GRATIOT",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,057,MICHIGAN,CENTRAL,057,SURVEY,,26,YIELD,GRATIOT
FIELD CROPS,57.2,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, ISABELLA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,073,MICHIGAN,CENTRAL,073,SURVEY,,26,YIELD,ISABELLA
FIELD CROPS,48,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, MECOSTA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,107,MICHIGAN,CENTRAL,107,SURVEY,,26,YIELD,MECOSTA
FIELD CROPS,59.3,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, MIDLAND",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,111,MICHIGAN,CENTRAL,111,SURVEY,,26,YIELD,MIDLAND
FIELD CROPS,58.8,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, MONTCALM",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,117,MICHIGAN,CENTRAL,117,SURVEY,,26,YIELD,MONTCALM
FIELD CROPS,49.3,26,GRAIN,CROPS,00000000,50,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, CENTRAL, OSCEOLA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,133,MICHIGAN,CENTRAL,133,SURVEY,,26,YIELD,OSCEOLA
FIELD CROPS,53.8,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, ARENAC",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,011,MICHIGAN,EAST CENTRAL,011,SURVEY,,26,YIELD,ARENAC
FIELD CROPS,71.5,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, BAY",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,017,MICHIGAN,EAST CENTRAL,017,SURVEY,,26,YIELD,BAY
FIELD CROPS,70.3,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, HURON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,063,MICHIGAN,EAST CENTRAL,063,SURVEY,,26,YIELD,HURON
FIELD CROPS,64.5,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, SAGINAW",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,145,MICHIGAN,EAST CENTRAL,145,SURVEY,,26,YIELD,SAGINAW
FIELD CROPS,57.6,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, SANILAC",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,151,MICHIGAN,EAST CENTRAL,151,SURVEY,,26,YIELD,SANILAC
FIELD CROPS,74.7,26,GRAIN,CROPS,00000000,60,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, EAST CENTRAL, TUSCOLA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,157,MICHIGAN,EAST CENTRAL,157,SURVEY,,26,YIELD,TUSCOLA
FIELD CROPS,49.2,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, ALLEGAN",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,005,MICHIGAN,SOUTHWEST,005,SURVEY,,26,YIELD,ALLEGAN
FIELD CROPS,70.7,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, BERRIEN",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,021,MICHIGAN,SOUTHWEST,021,SURVEY,,26,YIELD,BERRIEN
FIELD CROPS,64.7,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, CASS",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,027,MICHIGAN,SOUTHWEST,027,SURVEY,,26,YIELD,CASS
FIELD CROPS,52.3,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, KALAMAZOO",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,077,MICHIGAN,SOUTHWEST,077,SURVEY,,26,YIELD,KALAMAZOO
FIELD CROPS,45.8,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, KENT",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,081,MICHIGAN,SOUTHWEST,081,SURVEY,,26,YIELD,KENT
FIELD CROPS,43.6,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, OTTAWA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,139,MICHIGAN,SOUTHWEST,139,SURVEY,,26,YIELD,OTTAWA
FIELD CROPS,46.9,26,GRAIN,CROPS,00000000,70,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHWEST, VAN BUREN",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,159,MICHIGAN,SOUTHWEST,159,SURVEY,,26,YIELD,VAN BUREN
FIELD CROPS,49,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, BARRY",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,015,MICHIGAN,SOUTH CENTRAL,015,SURVEY,,26,YIELD,BARRY
FIELD CROPS,69.7,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, BRANCH",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,023,MICHIGAN,SOUTH CENTRAL,023,SURVEY,,26,YIELD,BRANCH
FIELD CROPS,64.8,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, CALHOUN",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,025,MICHIGAN,SOUTH CENTRAL,025,SURVEY,,26,YIELD,CALHOUN
FIELD CROPS,55,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, CLINTON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,037,MICHIGAN,SOUTH CENTRAL,037,SURVEY,,26,YIELD,CLINTON
FIELD CROPS,62.5,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, EATON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,045,MICHIGAN,SOUTH CENTRAL,045,SURVEY,,26,YIELD,EATON
FIELD CROPS,68.2,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,059,MICHIGAN,SOUTH CENTRAL,059,SURVEY,,26,YIELD,HILLSDALE
FIELD CROPS,65.7,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, INGHAM",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,065,MICHIGAN,SOUTH CENTRAL,065,SURVEY,,26,YIELD,INGHAM
FIELD CROPS,56.8,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, IONIA",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,067,MICHIGAN,SOUTH CENTRAL,067,SURVEY,,26,YIELD,IONIA
FIELD CROPS,60.9,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, JACKSON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,075,MICHIGAN,SOUTH CENTRAL,075,SURVEY,,26,YIELD,JACKSON
FIELD CROPS,62.8,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,149,MICHIGAN,SOUTH CENTRAL,149,SURVEY,,26,YIELD,ST JOSEPH
FIELD CROPS,67.7,26,GRAIN,CROPS,00000000,80,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,155,MICHIGAN,SOUTH CENTRAL,155,SURVEY,,26,YIELD,SHIAWASSEE
FIELD CROPS,54.6,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, GENESEE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,049,MICHIGAN,SOUTHEAST,049,SURVEY,,26,YIELD,GENESEE
FIELD CROPS,57.8,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, LAPEER",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,087,MICHIGAN,SOUTHEAST,087,SURVEY,,26,YIELD,LAPEER
FIELD CROPS,83.2,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, LENAWEE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,091,MICHIGAN,SOUTHEAST,091,SURVEY,,26,YIELD,LENAWEE
FIELD CROPS,63.1,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, LIVINGSTON",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,093,MICHIGAN,SOUTHEAST,093,SURVEY,,26,YIELD,LIVINGSTON
FIELD CROPS,60.7,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, MACOMB",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,099,MICHIGAN,SOUTHEAST,099,SURVEY,,26,YIELD,MACOMB
FIELD CROPS,77.8,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, MONROE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,115,MICHIGAN,SOUTHEAST,115,SURVEY,,26,YIELD,MONROE
FIELD CROPS,62,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, OAKLAND",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,125,MICHIGAN,SOUTHEAST,125,SURVEY,,26,YIELD,OAKLAND
FIELD CROPS,53,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, ST CLAIR",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,147,MICHIGAN,SOUTHEAST,147,SURVEY,,26,YIELD,ST CLAIR
FIELD CROPS,66.5,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, WASHTENAW",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,161,MICHIGAN,SOUTHEAST,161,SURVEY,,26,YIELD,WASHTENAW
FIELD CROPS,70.5,26,GRAIN,CROPS,00000000,90,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,ALL PRODUCTION PRACTICES,,"MICHIGAN, SOUTHEAST, WAYNE",CORN,ANNUAL,NOT SPECIFIED,,,COUNTY,BU / ACRE,YEAR,2012-01-01 00:00:00.000,ALL CLASSES,00,TOTAL,1962,9000,UNITED STATES,,MI,163,MICHIGAN,SOUTHEAST,163,SURVEY,,26,YIELD,WAYNE
