location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,congr_district_code,region_desc,asd_desc,unit_desc,reference_period_desc,domaincat_desc,week_ending,Value,end_code,county_ansi,prodn_practice_desc,sector_desc,CV (%),asd_code,statisticcat_desc,agg_level_desc,county_name,group_desc,short_desc,freq_desc,watershed_code,watershed_desc,year,begin_code,load_time,country_code,class_desc,state_alpha,commodity_desc,country_name
"MICHIGAN, WEST CENTRAL, NEWAYGO",123,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,52,00,123,ALL PRODUCTION PRACTICES,CROPS,,40,YIELD,COUNTY,NEWAYGO,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, WEST CENTRAL, OCEANA",127,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,65,00,127,ALL PRODUCTION PRACTICES,CROPS,,40,YIELD,COUNTY,OCEANA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, CLARE",035,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,60,00,035,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,CLARE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, GLADWIN",051,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,65.9,00,051,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,GLADWIN,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, GRATIOT",057,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,74,00,057,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,GRATIOT,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, ISABELLA",073,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,58,00,073,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,ISABELLA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, MECOSTA",107,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,54.9,00,107,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,MECOSTA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, MIDLAND",111,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,65,00,111,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,MIDLAND,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, MONTCALM",117,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,69,00,117,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,MONTCALM,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, CENTRAL, OSCEOLA",133,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,57,00,133,ALL PRODUCTION PRACTICES,CROPS,,50,YIELD,COUNTY,OSCEOLA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, ARENAC",011,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,70,00,011,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,ARENAC,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, BAY",017,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,71,00,017,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,BAY,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, HURON",063,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,76,00,063,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,HURON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, SAGINAW",145,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,65,00,145,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,SAGINAW,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, SANILAC",151,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,75.7,00,151,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,SANILAC,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, EAST CENTRAL, TUSCOLA",157,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,67,00,157,ALL PRODUCTION PRACTICES,CROPS,,60,YIELD,COUNTY,TUSCOLA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, ALLEGAN",005,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,66.1,00,005,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,ALLEGAN,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, BERRIEN",021,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,78,00,021,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,BERRIEN,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, CASS",027,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,68,00,027,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,CASS,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, KALAMAZOO",077,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,58,00,077,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,KALAMAZOO,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, KENT",081,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,64,00,081,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,KENT,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, OTTAWA",139,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,65,00,139,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,OTTAWA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHWEST, VAN BUREN",159,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED,,58,00,159,ALL PRODUCTION PRACTICES,CROPS,,70,YIELD,COUNTY,VAN BUREN,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, BARRY",015,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,60,00,015,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,BARRY,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, BRANCH",023,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,49,00,023,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,BRANCH,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, CALHOUN",025,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,61,00,025,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,CALHOUN,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, CLINTON",037,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,69,00,037,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,CLINTON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, EATON",045,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,67,00,045,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,EATON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, HILLSDALE",059,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,66,00,059,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,HILLSDALE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, INGHAM",065,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,77,00,065,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,INGHAM,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, IONIA",067,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,69,00,067,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,IONIA,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, JACKSON",075,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,65.3,00,075,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,JACKSON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",149,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,63,00,149,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,ST JOSEPH,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",155,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,54,00,155,ALL PRODUCTION PRACTICES,CROPS,,80,YIELD,COUNTY,SHIAWASSEE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, GENESEE",049,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,68,00,049,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,GENESEE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, LAPEER",087,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,74,00,087,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,LAPEER,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, LENAWEE",091,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,84,00,091,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,LENAWEE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, LIVINGSTON",093,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,62,00,093,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,LIVINGSTON,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, MACOMB",099,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,73,00,099,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,MACOMB,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, MONROE",115,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,86,00,115,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,MONROE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, OAKLAND",125,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,68,00,125,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,OAKLAND,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, ST CLAIR",147,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,67,00,147,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,ST CLAIR,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, WASHTENAW",161,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,79,00,161,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,WASHTENAW,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
"MICHIGAN, SOUTHEAST, WAYNE",163,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,65,00,163,ALL PRODUCTION PRACTICES,CROPS,,90,YIELD,COUNTY,WAYNE,FIELD CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,,1966,00,2012-01-01 00:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES
