domaincat_desc,reference_period_desc,unit_desc,asd_desc,region_desc,congr_district_code,util_practice_desc,zip_5,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,country_name,commodity_desc,state_alpha,class_desc,country_code,load_time,begin_code,year,watershed_desc,watershed_code,short_desc,freq_desc,group_desc,agg_level_desc,county_name,asd_code,statisticcat_desc,CV (%),sector_desc,prodn_practice_desc,county_ansi,end_code,week_ending,Value
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,079,TOTAL,"MICHIGAN, NORTHWEST, KALKASKA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,KALKASKA,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,079,00,,37.8
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,089,TOTAL,"MICHIGAN, NORTHWEST, LEELANAU",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,LEELANAU,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,089,00,,41.4
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,101,TOTAL,"MICHIGAN, NORTHWEST, MANISTEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MANISTEE,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,101,00,,41.4
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,113,TOTAL,"MICHIGAN, NORTHWEST, MISSAUKEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MISSAUKEE,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,113,00,,47.7
NOT SPECIFIED,YEAR,BU / ACRE,NORTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,165,TOTAL,"MICHIGAN, NORTHWEST, WEXFORD",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,WEXFORD,20,YIELD,,CROPS,ALL PRODUCTION PRACTICES,165,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,001,TOTAL,"MICHIGAN, NORTHEAST, ALCONA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ALCONA,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,001,00,,30
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,007,TOTAL,"MICHIGAN, NORTHEAST, ALPENA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ALPENA,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,007,00,,51.5
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,031,TOTAL,"MICHIGAN, NORTHEAST, CHEBOYGAN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CHEBOYGAN,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,031,00,,30
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,069,TOTAL,"MICHIGAN, NORTHEAST, IOSCO",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,IOSCO,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,069,00,,51.2
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,119,TOTAL,"MICHIGAN, NORTHEAST, MONTMORENCY",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MONTMORENCY,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,119,00,,27.5
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,129,TOTAL,"MICHIGAN, NORTHEAST, OGEMAW",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OGEMAW,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,129,00,,46.3
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,135,TOTAL,"MICHIGAN, NORTHEAST, OSCODA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OSCODA,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,135,00,,56.7
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,137,TOTAL,"MICHIGAN, NORTHEAST, OTSEGO",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OTSEGO,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,137,00,,32.1
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,141,TOTAL,"MICHIGAN, NORTHEAST, PRESQUE ISLE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,PRESQUE ISLE,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,141,00,,26.7
NOT SPECIFIED,YEAR,BU / ACRE,NORTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,143,TOTAL,"MICHIGAN, NORTHEAST, ROSCOMMON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ROSCOMMON,30,YIELD,,CROPS,ALL PRODUCTION PRACTICES,143,00,,40
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,085,TOTAL,"MICHIGAN, WEST CENTRAL, LAKE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,LAKE,40,YIELD,,CROPS,ALL PRODUCTION PRACTICES,085,00,,32.5
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,105,TOTAL,"MICHIGAN, WEST CENTRAL, MASON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MASON,40,YIELD,,CROPS,ALL PRODUCTION PRACTICES,105,00,,52.7
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,121,TOTAL,"MICHIGAN, WEST CENTRAL, MUSKEGON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MUSKEGON,40,YIELD,,CROPS,ALL PRODUCTION PRACTICES,121,00,,45.7
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,123,TOTAL,"MICHIGAN, WEST CENTRAL, NEWAYGO",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,NEWAYGO,40,YIELD,,CROPS,ALL PRODUCTION PRACTICES,123,00,,50.2
NOT SPECIFIED,YEAR,BU / ACRE,WEST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,127,TOTAL,"MICHIGAN, WEST CENTRAL, OCEANA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OCEANA,40,YIELD,,CROPS,ALL PRODUCTION PRACTICES,127,00,,44.7
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,035,TOTAL,"MICHIGAN, CENTRAL, CLARE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CLARE,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,035,00,,54.5
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,051,TOTAL,"MICHIGAN, CENTRAL, GLADWIN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,GLADWIN,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,051,00,,49.5
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,057,TOTAL,"MICHIGAN, CENTRAL, GRATIOT",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,GRATIOT,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,057,00,,64.7
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,073,TOTAL,"MICHIGAN, CENTRAL, ISABELLA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ISABELLA,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,073,00,,56.8
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,107,TOTAL,"MICHIGAN, CENTRAL, MECOSTA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MECOSTA,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,107,00,,50.5
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,111,TOTAL,"MICHIGAN, CENTRAL, MIDLAND",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MIDLAND,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,111,00,,53.1
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,117,TOTAL,"MICHIGAN, CENTRAL, MONTCALM",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MONTCALM,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,117,00,,64
NOT SPECIFIED,YEAR,BU / ACRE,CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,133,TOTAL,"MICHIGAN, CENTRAL, OSCEOLA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OSCEOLA,50,YIELD,,CROPS,ALL PRODUCTION PRACTICES,133,00,,46.4
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,011,TOTAL,"MICHIGAN, EAST CENTRAL, ARENAC",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ARENAC,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,011,00,,44.8
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,017,TOTAL,"MICHIGAN, EAST CENTRAL, BAY",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,BAY,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,017,00,,64.6
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,063,TOTAL,"MICHIGAN, EAST CENTRAL, HURON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,HURON,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,063,00,,62.6
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,145,TOTAL,"MICHIGAN, EAST CENTRAL, SAGINAW",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,SAGINAW,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,145,00,,59.6
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,151,TOTAL,"MICHIGAN, EAST CENTRAL, SANILAC",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,SANILAC,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,151,00,,50
NOT SPECIFIED,YEAR,BU / ACRE,EAST CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,157,TOTAL,"MICHIGAN, EAST CENTRAL, TUSCOLA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,TUSCOLA,60,YIELD,,CROPS,ALL PRODUCTION PRACTICES,157,00,,62.8
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,005,TOTAL,"MICHIGAN, SOUTHWEST, ALLEGAN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ALLEGAN,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,005,00,,49.3
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,021,TOTAL,"MICHIGAN, SOUTHWEST, BERRIEN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,BERRIEN,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,021,00,,61.9
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,027,TOTAL,"MICHIGAN, SOUTHWEST, CASS",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CASS,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,027,00,,50.6
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,077,TOTAL,"MICHIGAN, SOUTHWEST, KALAMAZOO",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,KALAMAZOO,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,077,00,,49.9
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,081,TOTAL,"MICHIGAN, SOUTHWEST, KENT",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,KENT,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,081,00,,48.3
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,139,TOTAL,"MICHIGAN, SOUTHWEST, OTTAWA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OTTAWA,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,139,00,,44.9
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHWEST,,,GRAIN,,26,SURVEY,26,MICHIGAN,159,TOTAL,"MICHIGAN, SOUTHWEST, VAN BUREN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,VAN BUREN,70,YIELD,,CROPS,ALL PRODUCTION PRACTICES,159,00,,43.2
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,015,TOTAL,"MICHIGAN, SOUTH CENTRAL, BARRY",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,BARRY,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,015,00,,51
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,023,TOTAL,"MICHIGAN, SOUTH CENTRAL, BRANCH",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,BRANCH,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,023,00,,59.3
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,025,TOTAL,"MICHIGAN, SOUTH CENTRAL, CALHOUN",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CALHOUN,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,025,00,,58.1
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,037,TOTAL,"MICHIGAN, SOUTH CENTRAL, CLINTON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,CLINTON,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,037,00,,54.4
