commodity_desc,country_name,country_code,class_desc,state_alpha,load_time,begin_code,freq_desc,short_desc,watershed_code,year,watershed_desc,agg_level_desc,county_name,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,asd_code,CV (%),statisticcat_desc,week_ending,Value,reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,zip_5,util_practice_desc,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MARQUETTE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,103,CROPS,10,,YIELD,,26.9,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MARQUETTE",TOTAL,103
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MENOMINEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,109,CROPS,10,,YIELD,,48.6,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",TOTAL,109
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ONTONAGON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,131,CROPS,10,,YIELD,,34,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, ONTONAGON",TOTAL,131
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,SCHOOLCRAFT,FIELD CROPS,00,ALL PRODUCTION PRACTICES,153,CROPS,10,,YIELD,,28.6,YEAR,NOT SPECIFIED,BU / ACRE,UPPER PENINSULA,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",TOTAL,153
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ANTRIM,FIELD CROPS,00,ALL PRODUCTION PRACTICES,009,CROPS,20,,YIELD,,39.8,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, ANTRIM",TOTAL,009
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,BENZIE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,019,CROPS,20,,YIELD,,33.2,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, BENZIE",TOTAL,019
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,CHARLEVOIX,FIELD CROPS,00,ALL PRODUCTION PRACTICES,029,CROPS,20,,YIELD,,34.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",TOTAL,029
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,EMMET,FIELD CROPS,00,ALL PRODUCTION PRACTICES,047,CROPS,20,,YIELD,,34.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, EMMET",TOTAL,047
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,GRAND TRAVERSE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,055,CROPS,20,,YIELD,,41.8,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",TOTAL,055
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,KALKASKA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,079,CROPS,20,,YIELD,,34.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, KALKASKA",TOTAL,079
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,LEELANAU,FIELD CROPS,00,ALL PRODUCTION PRACTICES,089,CROPS,20,,YIELD,,38.9,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, LEELANAU",TOTAL,089
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MANISTEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,101,CROPS,20,,YIELD,,34,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, MANISTEE",TOTAL,101
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MISSAUKEE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,113,CROPS,20,,YIELD,,38.9,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, MISSAUKEE",TOTAL,113
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,WEXFORD,FIELD CROPS,00,ALL PRODUCTION PRACTICES,165,CROPS,20,,YIELD,,33.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, WEXFORD",TOTAL,165
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ALCONA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,001,CROPS,30,,YIELD,,34,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALCONA",TOTAL,001
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ALPENA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,007,CROPS,30,,YIELD,,36.9,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALPENA",TOTAL,007
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,CHEBOYGAN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,031,CROPS,30,,YIELD,,33.2,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, CHEBOYGAN",TOTAL,031
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,CRAWFORD,FIELD CROPS,00,ALL PRODUCTION PRACTICES,039,CROPS,30,,YIELD,,31,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, CRAWFORD",TOTAL,039
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,IOSCO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,069,CROPS,30,,YIELD,,40.7,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, IOSCO",TOTAL,069
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MONTMORENCY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,119,CROPS,30,,YIELD,,34,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, MONTMORENCY",TOTAL,119
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,OGEMAW,FIELD CROPS,00,ALL PRODUCTION PRACTICES,129,CROPS,30,,YIELD,,42.9,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OGEMAW",TOTAL,129
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,OSCODA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,135,CROPS,30,,YIELD,,31.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OSCODA",TOTAL,135
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,OTSEGO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,137,CROPS,30,,YIELD,,32.1,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OTSEGO",TOTAL,137
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,PRESQUE ISLE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,141,CROPS,30,,YIELD,,35,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",TOTAL,141
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ROSCOMMON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,143,CROPS,30,,YIELD,,39,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ROSCOMMON",TOTAL,143
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,LAKE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,085,CROPS,40,,YIELD,,31.2,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, LAKE",TOTAL,085
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MASON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,105,CROPS,40,,YIELD,,45.7,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MASON",TOTAL,105
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MUSKEGON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,121,CROPS,40,,YIELD,,40.8,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",TOTAL,121
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,NEWAYGO,FIELD CROPS,00,ALL PRODUCTION PRACTICES,123,CROPS,40,,YIELD,,41.8,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",TOTAL,123
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,OCEANA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,127,CROPS,40,,YIELD,,39.9,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, OCEANA",TOTAL,127
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,CLARE,FIELD CROPS,00,ALL PRODUCTION PRACTICES,035,CROPS,50,,YIELD,,43.8,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, CLARE",TOTAL,035
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,GLADWIN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,051,CROPS,50,,YIELD,,40.8,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, GLADWIN",TOTAL,051
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,GRATIOT,FIELD CROPS,00,ALL PRODUCTION PRACTICES,057,CROPS,50,,YIELD,,51.6,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, GRATIOT",TOTAL,057
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ISABELLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,073,CROPS,50,,YIELD,,49.6,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, ISABELLA",TOTAL,073
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MECOSTA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,107,CROPS,50,,YIELD,,41.8,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MECOSTA",TOTAL,107
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MIDLAND,FIELD CROPS,00,ALL PRODUCTION PRACTICES,111,CROPS,50,,YIELD,,53.5,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MIDLAND",TOTAL,111
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,MONTCALM,FIELD CROPS,00,ALL PRODUCTION PRACTICES,117,CROPS,50,,YIELD,,46.7,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MONTCALM",TOTAL,117
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,OSCEOLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,133,CROPS,50,,YIELD,,35,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, OSCEOLA",TOTAL,133
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ARENAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,011,CROPS,60,,YIELD,,46.7,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, ARENAC",TOTAL,011
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,BAY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,017,CROPS,60,,YIELD,,48.6,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, BAY",TOTAL,017
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,HURON,FIELD CROPS,00,ALL PRODUCTION PRACTICES,063,CROPS,60,,YIELD,,53.5,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, HURON",TOTAL,063
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,SAGINAW,FIELD CROPS,00,ALL PRODUCTION PRACTICES,145,CROPS,60,,YIELD,,52.5,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SAGINAW",TOTAL,145
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,SANILAC,FIELD CROPS,00,ALL PRODUCTION PRACTICES,151,CROPS,60,,YIELD,,38.9,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SANILAC",TOTAL,151
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,TUSCOLA,FIELD CROPS,00,ALL PRODUCTION PRACTICES,157,CROPS,60,,YIELD,,55.5,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",TOTAL,157
CORN,UNITED STATES,9000,ALL CLASSES,MI,2012-01-01 00:00:00.000,00,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,1953,,COUNTY,ALLEGAN,FIELD CROPS,00,ALL PRODUCTION PRACTICES,005,CROPS,70,,YIELD,,38.9,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, ALLEGAN",TOTAL,005
