begin_code,CV (%),end_code,domaincat_desc,statisticcat_desc,source_desc,Value,freq_desc,congr_district_code,unit_desc,state_alpha,watershed_code,domain_desc,commodity_desc,class_desc,load_time,short_desc,state_name,reference_period_desc,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,sector_desc,state_fips_code,year,agg_level_desc,county_code,week_ending,asd_desc,country_code,asd_code,location_desc,util_practice_desc,state_ansi,zip_5,group_desc,region_desc
00,,00,NOT SPECIFIED,YIELD,SURVEY,83,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,131,UNITED STATES,,ONTONAGON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,131,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, ONTONAGON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,83,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,153,UNITED STATES,,SCHOOLCRAFT,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,153,,UPPER PENINSULA,9000,10,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,74.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,009,UNITED STATES,,ANTRIM,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,009,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, ANTRIM",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,62.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,019,UNITED STATES,,BENZIE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,019,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, BENZIE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,71.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,029,UNITED STATES,,CHARLEVOIX,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,029,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, CHARLEVOIX",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,69.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,047,UNITED STATES,,EMMET,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,047,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, EMMET",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,72.8,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,055,UNITED STATES,,GRAND TRAVERSE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,055,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,73.3,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,079,UNITED STATES,,KALKASKA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,079,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, KALKASKA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,74.5,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,089,UNITED STATES,,LEELANAU,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,089,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, LEELANAU",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,56.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,101,UNITED STATES,,MANISTEE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,101,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, MANISTEE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,72.3,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,113,UNITED STATES,,MISSAUKEE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,113,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, MISSAUKEE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,56.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,165,UNITED STATES,,WEXFORD,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,165,,NORTHWEST,9000,20,"MICHIGAN, NORTHWEST, WEXFORD",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,62.5,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,001,UNITED STATES,,ALCONA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,001,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, ALCONA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,48.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,007,UNITED STATES,,ALPENA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,007,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, ALPENA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,55.6,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,031,UNITED STATES,,CHEBOYGAN,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,031,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, CHEBOYGAN",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,57,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,039,UNITED STATES,,CRAWFORD,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,039,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, CRAWFORD",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,60,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,069,UNITED STATES,,IOSCO,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,069,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, IOSCO",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,43.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,119,UNITED STATES,,MONTMORENCY,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,119,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, MONTMORENCY",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,61.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,129,UNITED STATES,,OGEMAW,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,129,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, OGEMAW",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,57.6,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,135,UNITED STATES,,OSCODA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,135,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, OSCODA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59.8,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,137,UNITED STATES,,OTSEGO,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,137,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, OTSEGO",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,71.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,141,UNITED STATES,,PRESQUE ISLE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,141,,NORTHEAST,9000,30,"MICHIGAN, NORTHEAST, PRESQUE ISLE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,52.8,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,085,UNITED STATES,,LAKE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,085,,WEST CENTRAL,9000,40,"MICHIGAN, WEST CENTRAL, LAKE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,61.7,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,105,UNITED STATES,,MASON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,105,,WEST CENTRAL,9000,40,"MICHIGAN, WEST CENTRAL, MASON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,40.9,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,121,UNITED STATES,,MUSKEGON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,121,,WEST CENTRAL,9000,40,"MICHIGAN, WEST CENTRAL, MUSKEGON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,61.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,123,UNITED STATES,,NEWAYGO,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,123,,WEST CENTRAL,9000,40,"MICHIGAN, WEST CENTRAL, NEWAYGO",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,56.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,127,UNITED STATES,,OCEANA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,127,,WEST CENTRAL,9000,40,"MICHIGAN, WEST CENTRAL, OCEANA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,57.5,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,035,UNITED STATES,,CLARE,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,035,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, CLARE",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59.6,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,051,UNITED STATES,,GLADWIN,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,051,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, GLADWIN",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,76.6,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,057,UNITED STATES,,GRATIOT,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,057,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, GRATIOT",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,60.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,073,UNITED STATES,,ISABELLA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,073,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, ISABELLA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,54.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,107,UNITED STATES,,MECOSTA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,107,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, MECOSTA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,67.7,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,111,UNITED STATES,,MIDLAND,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,111,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, MIDLAND",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,59.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,117,UNITED STATES,,MONTCALM,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,117,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, MONTCALM",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,63.8,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,133,UNITED STATES,,OSCEOLA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,133,,CENTRAL,9000,50,"MICHIGAN, CENTRAL, OSCEOLA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,63.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,011,UNITED STATES,,ARENAC,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,011,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, ARENAC",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,73.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,017,UNITED STATES,,BAY,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,017,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, BAY",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,69.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,063,UNITED STATES,,HURON,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,063,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, HURON",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,78.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,145,UNITED STATES,,SAGINAW,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,145,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, SAGINAW",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,69,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,151,UNITED STATES,,SANILAC,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,151,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, SANILAC",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,78.2,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,157,UNITED STATES,,TUSCOLA,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,157,,EAST CENTRAL,9000,60,"MICHIGAN, EAST CENTRAL, TUSCOLA",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,58.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,005,UNITED STATES,,ALLEGAN,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,005,,SOUTHWEST,9000,70,"MICHIGAN, SOUTHWEST, ALLEGAN",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,49.1,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,021,UNITED STATES,,BERRIEN,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,021,,SOUTHWEST,9000,70,"MICHIGAN, SOUTHWEST, BERRIEN",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,52.7,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,027,UNITED STATES,,CASS,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,027,,SOUTHWEST,9000,70,"MICHIGAN, SOUTHWEST, CASS",GRAIN,26,,FIELD CROPS,
00,,00,NOT SPECIFIED,YIELD,SURVEY,47.4,ANNUAL,,BU / ACRE,MI,00000000,TOTAL,CORN,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,077,UNITED STATES,,KALAMAZOO,ALL PRODUCTION PRACTICES,CROPS,26,1974,COUNTY,077,,SOUTHWEST,9000,70,"MICHIGAN, SOUTHWEST, KALAMAZOO",GRAIN,26,,FIELD CROPS,
