county_name,state_fips_code,county_ansi,load_time,end_code,reference_period_desc,watershed_code,state_name,freq_desc,year,util_practice_desc,unit_desc,Value,group_desc,agg_level_desc,asd_desc,week_ending,state_ansi,prodn_practice_desc,sector_desc,begin_code,region_desc,country_name,domain_desc,commodity_desc,zip_5,domaincat_desc,state_alpha,CV (%),congr_district_code,asd_code,location_desc,class_desc,country_code,statisticcat_desc,short_desc,source_desc,watershed_desc,county_code
MISSAUKEE,26,113,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,136,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, MISSAUKEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,113
WEXFORD,26,165,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,97,FIELD CROPS,COUNTY,NORTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,20,"MICHIGAN, NORTHWEST, WEXFORD",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,165
OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,105,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,998
ALPENA,26,007,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,130,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, ALPENA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,007
IOSCO,26,069,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,138,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, IOSCO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,069
MONTMORENCY,26,119,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,125,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, MONTMORENCY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,119
OGEMAW,26,129,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,131,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, OGEMAW",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,129
OTSEGO,26,137,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,107,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, OTSEGO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,137
PRESQUE ISLE,26,141,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,117,FIELD CROPS,COUNTY,NORTHEAST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,30,"MICHIGAN, NORTHEAST, PRESQUE ISLE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,141
OTHER (COMBINED) COUNTIES,26,,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,124,FIELD CROPS,COUNTY,WEST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,40,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,998
MASON,26,105,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,116,FIELD CROPS,COUNTY,WEST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,40,"MICHIGAN, WEST CENTRAL, MASON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,105
NEWAYGO,26,123,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,132,FIELD CROPS,COUNTY,WEST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,40,"MICHIGAN, WEST CENTRAL, NEWAYGO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,123
OCEANA,26,127,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,119,FIELD CROPS,COUNTY,WEST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,40,"MICHIGAN, WEST CENTRAL, OCEANA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,127
CLARE,26,035,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,112,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, CLARE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,035
GLADWIN,26,051,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,134,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, GLADWIN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,051
GRATIOT,26,057,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,141,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, GRATIOT",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,057
ISABELLA,26,073,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,136,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, ISABELLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,073
MECOSTA,26,107,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,132,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, MECOSTA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,107
MIDLAND,26,111,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,136,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, MIDLAND",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,111
MONTCALM,26,117,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,134,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, MONTCALM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,117
OSCEOLA,26,133,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,132,FIELD CROPS,COUNTY,CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,50,"MICHIGAN, CENTRAL, OSCEOLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,133
ARENAC,26,011,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,129,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, ARENAC",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,011
BAY,26,017,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,138,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, BAY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,017
HURON,26,063,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,167,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, HURON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,063
SAGINAW,26,145,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,143,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, SAGINAW",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,145
SANILAC,26,151,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,168,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, SANILAC",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,151
TUSCOLA,26,157,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,154,FIELD CROPS,COUNTY,EAST CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,60,"MICHIGAN, EAST CENTRAL, TUSCOLA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,157
ALLEGAN,26,005,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,145,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, ALLEGAN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,005
BERRIEN,26,021,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,154,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, BERRIEN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,021
CASS,26,027,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,159,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, CASS",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,027
KALAMAZOO,26,077,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,148,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, KALAMAZOO",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,077
KENT,26,081,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,140,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, KENT",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,081
OTTAWA,26,139,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,157,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, OTTAWA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,139
VAN BUREN,26,159,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,138,FIELD CROPS,COUNTY,SOUTHWEST,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,70,"MICHIGAN, SOUTHWEST, VAN BUREN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,159
BARRY,26,015,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,148,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, BARRY",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,015
BRANCH,26,023,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,150,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, BRANCH",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,023
CALHOUN,26,025,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,140,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, CALHOUN",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,025
CLINTON,26,037,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,149,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, CLINTON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,037
EATON,26,045,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,144,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, EATON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,045
HILLSDALE,26,059,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,149,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,059
INGHAM,26,065,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,151,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, INGHAM",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,065
IONIA,26,067,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,147,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, IONIA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,067
JACKSON,26,075,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,134,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, JACKSON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,075
ST JOSEPH,26,149,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,161,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,149
SHIAWASSEE,26,155,2012-01-01 00:00:00.000,00,YEAR,00000000,MICHIGAN,ANNUAL,2006,GRAIN,BU / ACRE,141,FIELD CROPS,COUNTY,SOUTH CENTRAL,,26,ALL PRODUCTION PRACTICES,CROPS,00,,UNITED STATES,TOTAL,CORN,,NOT SPECIFIED,MI,,,80,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SURVEY,,155
