state_fips_code,county_name,statisticcat_desc,CV (%),source_desc,county_ansi,state_name,asd_desc,state_alpha,county_code,watershed_desc,country_name,year,country_code,load_time,domain_desc,end_code,class_desc,reference_period_desc,week_ending,unit_desc,agg_level_desc,domaincat_desc,freq_desc,commodity_desc,congr_district_code,region_desc,location_desc,prodn_practice_desc,short_desc,zip_5,begin_code,watershed_code,sector_desc,asd_code,Value,group_desc,util_practice_desc,state_ansi
26,ALCONA,YIELD,,SURVEY,001,MICHIGAN,NORTHEAST,MI,001,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, ALCONA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,133.3,FIELD CROPS,GRAIN,26
26,ALPENA,YIELD,,SURVEY,007,MICHIGAN,NORTHEAST,MI,007,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, ALPENA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,104.3,FIELD CROPS,GRAIN,26
26,IOSCO,YIELD,,SURVEY,069,MICHIGAN,NORTHEAST,MI,069,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, IOSCO",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,141.8,FIELD CROPS,GRAIN,26
26,MONTMORENCY,YIELD,,SURVEY,119,MICHIGAN,NORTHEAST,MI,119,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, MONTMORENCY",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,140,FIELD CROPS,GRAIN,26
26,OGEMAW,YIELD,,SURVEY,129,MICHIGAN,NORTHEAST,MI,129,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, NORTHEAST, OGEMAW",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,30,153.5,FIELD CROPS,GRAIN,26
26,OTHER (COMBINED) COUNTIES,YIELD,,SURVEY,,MICHIGAN,WEST CENTRAL,MI,998,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,40,142.2,FIELD CROPS,GRAIN,26
26,MASON,YIELD,,SURVEY,105,MICHIGAN,WEST CENTRAL,MI,105,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, WEST CENTRAL, MASON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,40,164.8,FIELD CROPS,GRAIN,26
26,NEWAYGO,YIELD,,SURVEY,123,MICHIGAN,WEST CENTRAL,MI,123,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, WEST CENTRAL, NEWAYGO",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,40,139.3,FIELD CROPS,GRAIN,26
26,OCEANA,YIELD,,SURVEY,127,MICHIGAN,WEST CENTRAL,MI,127,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, WEST CENTRAL, OCEANA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,40,137.2,FIELD CROPS,GRAIN,26
26,CLARE,YIELD,,SURVEY,035,MICHIGAN,CENTRAL,MI,035,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, CLARE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,145,FIELD CROPS,GRAIN,26
26,GLADWIN,YIELD,,SURVEY,051,MICHIGAN,CENTRAL,MI,051,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, GLADWIN",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,150,FIELD CROPS,GRAIN,26
26,GRATIOT,YIELD,,SURVEY,057,MICHIGAN,CENTRAL,MI,057,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, GRATIOT",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,157.7,FIELD CROPS,GRAIN,26
26,ISABELLA,YIELD,,SURVEY,073,MICHIGAN,CENTRAL,MI,073,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, ISABELLA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,150.7,FIELD CROPS,GRAIN,26
26,MECOSTA,YIELD,,SURVEY,107,MICHIGAN,CENTRAL,MI,107,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, MECOSTA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,133.2,FIELD CROPS,GRAIN,26
26,MIDLAND,YIELD,,SURVEY,111,MICHIGAN,CENTRAL,MI,111,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, MIDLAND",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,167.8,FIELD CROPS,GRAIN,26
26,MONTCALM,YIELD,,SURVEY,117,MICHIGAN,CENTRAL,MI,117,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, MONTCALM",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,134.2,FIELD CROPS,GRAIN,26
26,OSCEOLA,YIELD,,SURVEY,133,MICHIGAN,CENTRAL,MI,133,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, CENTRAL, OSCEOLA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,50,133.8,FIELD CROPS,GRAIN,26
26,ARENAC,YIELD,,SURVEY,011,MICHIGAN,EAST CENTRAL,MI,011,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, ARENAC",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,156.7,FIELD CROPS,GRAIN,26
26,BAY,YIELD,,SURVEY,017,MICHIGAN,EAST CENTRAL,MI,017,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, BAY",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,160.9,FIELD CROPS,GRAIN,26
26,HURON,YIELD,,SURVEY,063,MICHIGAN,EAST CENTRAL,MI,063,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, HURON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,197.9,FIELD CROPS,GRAIN,26
26,SAGINAW,YIELD,,SURVEY,145,MICHIGAN,EAST CENTRAL,MI,145,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, SAGINAW",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,164,FIELD CROPS,GRAIN,26
26,SANILAC,YIELD,,SURVEY,151,MICHIGAN,EAST CENTRAL,MI,151,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, SANILAC",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,185.5,FIELD CROPS,GRAIN,26
26,TUSCOLA,YIELD,,SURVEY,157,MICHIGAN,EAST CENTRAL,MI,157,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, EAST CENTRAL, TUSCOLA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,60,172.1,FIELD CROPS,GRAIN,26
26,OTHER (COMBINED) COUNTIES,YIELD,,SURVEY,,MICHIGAN,SOUTHWEST,MI,998,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,166.1,FIELD CROPS,GRAIN,26
26,ALLEGAN,YIELD,,SURVEY,005,MICHIGAN,SOUTHWEST,MI,005,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, ALLEGAN",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,177.2,FIELD CROPS,GRAIN,26
26,BERRIEN,YIELD,,SURVEY,021,MICHIGAN,SOUTHWEST,MI,021,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, BERRIEN",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,176.1,FIELD CROPS,GRAIN,26
26,CASS,YIELD,,SURVEY,027,MICHIGAN,SOUTHWEST,MI,027,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, CASS",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,158.3,FIELD CROPS,GRAIN,26
26,KALAMAZOO,YIELD,,SURVEY,077,MICHIGAN,SOUTHWEST,MI,077,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, KALAMAZOO",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,157.7,FIELD CROPS,GRAIN,26
26,KENT,YIELD,,SURVEY,081,MICHIGAN,SOUTHWEST,MI,081,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHWEST, KENT",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,70,162.5,FIELD CROPS,GRAIN,26
26,BARRY,YIELD,,SURVEY,015,MICHIGAN,SOUTH CENTRAL,MI,015,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, BARRY",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,170.3,FIELD CROPS,GRAIN,26
26,BRANCH,YIELD,,SURVEY,023,MICHIGAN,SOUTH CENTRAL,MI,023,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, BRANCH",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,155,FIELD CROPS,GRAIN,26
26,CALHOUN,YIELD,,SURVEY,025,MICHIGAN,SOUTH CENTRAL,MI,025,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, CALHOUN",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,129.6,FIELD CROPS,GRAIN,26
26,CLINTON,YIELD,,SURVEY,037,MICHIGAN,SOUTH CENTRAL,MI,037,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, CLINTON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,146.6,FIELD CROPS,GRAIN,26
26,EATON,YIELD,,SURVEY,045,MICHIGAN,SOUTH CENTRAL,MI,045,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, EATON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,166.7,FIELD CROPS,GRAIN,26
26,HILLSDALE,YIELD,,SURVEY,059,MICHIGAN,SOUTH CENTRAL,MI,059,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,154.8,FIELD CROPS,GRAIN,26
26,INGHAM,YIELD,,SURVEY,065,MICHIGAN,SOUTH CENTRAL,MI,065,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, INGHAM",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,153.3,FIELD CROPS,GRAIN,26
26,IONIA,YIELD,,SURVEY,067,MICHIGAN,SOUTH CENTRAL,MI,067,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, IONIA",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,170.3,FIELD CROPS,GRAIN,26
26,JACKSON,YIELD,,SURVEY,075,MICHIGAN,SOUTH CENTRAL,MI,075,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, JACKSON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,128.7,FIELD CROPS,GRAIN,26
26,ST JOSEPH,YIELD,,SURVEY,149,MICHIGAN,SOUTH CENTRAL,MI,149,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,122,FIELD CROPS,GRAIN,26
26,SHIAWASSEE,YIELD,,SURVEY,155,MICHIGAN,SOUTH CENTRAL,MI,155,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,80,152.3,FIELD CROPS,GRAIN,26
26,GENESEE,YIELD,,SURVEY,049,MICHIGAN,SOUTHEAST,MI,049,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHEAST, GENESEE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,90,148.9,FIELD CROPS,GRAIN,26
26,LAPEER,YIELD,,SURVEY,087,MICHIGAN,SOUTHEAST,MI,087,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHEAST, LAPEER",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,90,186.4,FIELD CROPS,GRAIN,26
26,LENAWEE,YIELD,,SURVEY,091,MICHIGAN,SOUTHEAST,MI,091,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHEAST, LENAWEE",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,90,182.8,FIELD CROPS,GRAIN,26
26,LIVINGSTON,YIELD,,SURVEY,093,MICHIGAN,SOUTHEAST,MI,093,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHEAST, LIVINGSTON",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,90,158.1,FIELD CROPS,GRAIN,26
26,MACOMB,YIELD,,SURVEY,099,MICHIGAN,SOUTHEAST,MI,099,,UNITED STATES,2017,9000,2018-02-22 15:08:35.000,TOTAL,00,ALL CLASSES,YEAR,,BU / ACRE,COUNTY,NOT SPECIFIED,ANNUAL,CORN,,,"MICHIGAN, SOUTHEAST, MACOMB",ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00,00000000,CROPS,90,170.5,FIELD CROPS,GRAIN,26
