county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,short_desc,state_name,reference_period_desc,class_desc,load_time,commodity_desc,domain_desc,state_alpha,watershed_code,unit_desc,freq_desc,congr_district_code,source_desc,Value,statisticcat_desc,end_code,domaincat_desc,CV (%),begin_code,region_desc,group_desc,zip_5,state_ansi,location_desc,util_practice_desc,asd_code,country_code,asd_desc,year,sector_desc,state_fips_code,agg_level_desc,county_code,week_ending
MARQUETTE,ALL PRODUCTION PRACTICES,UNITED STATES,,103,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.5,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, MARQUETTE",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,103,
MENOMINEE,ALL PRODUCTION PRACTICES,UNITED STATES,,109,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.2,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, MENOMINEE",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,109,
ONTONAGON,ALL PRODUCTION PRACTICES,UNITED STATES,,131,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, ONTONAGON",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,131,
SCHOOLCRAFT,ALL PRODUCTION PRACTICES,UNITED STATES,,153,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.5,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, UPPER PENINSULA, SCHOOLCRAFT",GRAIN,10,9000,UPPER PENINSULA,1973,CROPS,26,COUNTY,153,
ANTRIM,ALL PRODUCTION PRACTICES,UNITED STATES,,009,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,82.2,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, ANTRIM",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,009,
BENZIE,ALL PRODUCTION PRACTICES,UNITED STATES,,019,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,55.2,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, BENZIE",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,019,
CHARLEVOIX,ALL PRODUCTION PRACTICES,UNITED STATES,,029,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,72,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, CHARLEVOIX",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,029,
EMMET,ALL PRODUCTION PRACTICES,UNITED STATES,,047,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,78,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, EMMET",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,047,
GRAND TRAVERSE,ALL PRODUCTION PRACTICES,UNITED STATES,,055,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,69.6,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,055,
KALKASKA,ALL PRODUCTION PRACTICES,UNITED STATES,,079,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, KALKASKA",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,079,
LEELANAU,ALL PRODUCTION PRACTICES,UNITED STATES,,089,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, LEELANAU",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,089,
MANISTEE,ALL PRODUCTION PRACTICES,UNITED STATES,,101,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,52,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, MANISTEE",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,101,
MISSAUKEE,ALL PRODUCTION PRACTICES,UNITED STATES,,113,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,78,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, MISSAUKEE",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,113,
WEXFORD,ALL PRODUCTION PRACTICES,UNITED STATES,,165,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,63.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHWEST, WEXFORD",GRAIN,20,9000,NORTHWEST,1973,CROPS,26,COUNTY,165,
ALCONA,ALL PRODUCTION PRACTICES,UNITED STATES,,001,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,77.9,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, ALCONA",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,001,
ALPENA,ALL PRODUCTION PRACTICES,UNITED STATES,,007,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,74.7,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, ALPENA",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,007,
CHEBOYGAN,ALL PRODUCTION PRACTICES,UNITED STATES,,031,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, CHEBOYGAN",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,031,
IOSCO,ALL PRODUCTION PRACTICES,UNITED STATES,,069,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,77.2,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, IOSCO",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,069,
MONTMORENCY,ALL PRODUCTION PRACTICES,UNITED STATES,,119,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,56,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, MONTMORENCY",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,119,
OGEMAW,ALL PRODUCTION PRACTICES,UNITED STATES,,129,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, OGEMAW",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,129,
OSCODA,ALL PRODUCTION PRACTICES,UNITED STATES,,135,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, OSCODA",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,135,
OTSEGO,ALL PRODUCTION PRACTICES,UNITED STATES,,137,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,68.6,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, OTSEGO",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,137,
PRESQUE ISLE,ALL PRODUCTION PRACTICES,UNITED STATES,,141,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,68.1,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",GRAIN,30,9000,NORTHEAST,1973,CROPS,26,COUNTY,141,
LAKE,ALL PRODUCTION PRACTICES,UNITED STATES,,085,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,57.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, WEST CENTRAL, LAKE",GRAIN,40,9000,WEST CENTRAL,1973,CROPS,26,COUNTY,085,
MASON,ALL PRODUCTION PRACTICES,UNITED STATES,,105,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70.5,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, WEST CENTRAL, MASON",GRAIN,40,9000,WEST CENTRAL,1973,CROPS,26,COUNTY,105,
MUSKEGON,ALL PRODUCTION PRACTICES,UNITED STATES,,121,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,64.6,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",GRAIN,40,9000,WEST CENTRAL,1973,CROPS,26,COUNTY,121,
NEWAYGO,ALL PRODUCTION PRACTICES,UNITED STATES,,123,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,59.4,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",GRAIN,40,9000,WEST CENTRAL,1973,CROPS,26,COUNTY,123,
OCEANA,ALL PRODUCTION PRACTICES,UNITED STATES,,127,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,65.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, WEST CENTRAL, OCEANA",GRAIN,40,9000,WEST CENTRAL,1973,CROPS,26,COUNTY,127,
CLARE,ALL PRODUCTION PRACTICES,UNITED STATES,,035,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,70.9,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, CLARE",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,035,
GLADWIN,ALL PRODUCTION PRACTICES,UNITED STATES,,051,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,66.1,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, GLADWIN",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,051,
GRATIOT,ALL PRODUCTION PRACTICES,UNITED STATES,,057,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,81.2,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, GRATIOT",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,057,
ISABELLA,ALL PRODUCTION PRACTICES,UNITED STATES,,073,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,69.8,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, ISABELLA",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,073,
MECOSTA,ALL PRODUCTION PRACTICES,UNITED STATES,,107,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,67.1,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, MECOSTA",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,107,
MIDLAND,ALL PRODUCTION PRACTICES,UNITED STATES,,111,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,79.4,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, MIDLAND",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,111,
MONTCALM,ALL PRODUCTION PRACTICES,UNITED STATES,,117,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,71.4,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, MONTCALM",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,117,
OSCEOLA,ALL PRODUCTION PRACTICES,UNITED STATES,,133,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,69.9,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, CENTRAL, OSCEOLA",GRAIN,50,9000,CENTRAL,1973,CROPS,26,COUNTY,133,
ARENAC,ALL PRODUCTION PRACTICES,UNITED STATES,,011,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,83.4,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, ARENAC",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,011,
BAY,ALL PRODUCTION PRACTICES,UNITED STATES,,017,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,79.7,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, BAY",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,017,
HURON,ALL PRODUCTION PRACTICES,UNITED STATES,,063,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,83.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, HURON",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,063,
SAGINAW,ALL PRODUCTION PRACTICES,UNITED STATES,,145,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,82.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, SAGINAW",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,145,
SANILAC,ALL PRODUCTION PRACTICES,UNITED STATES,,151,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,76.6,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, SANILAC",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,151,
TUSCOLA,ALL PRODUCTION PRACTICES,UNITED STATES,,157,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,85,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",GRAIN,60,9000,EAST CENTRAL,1973,CROPS,26,COUNTY,157,
ALLEGAN,ALL PRODUCTION PRACTICES,UNITED STATES,,005,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,73.7,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, SOUTHWEST, ALLEGAN",GRAIN,70,9000,SOUTHWEST,1973,CROPS,26,COUNTY,005,
BERRIEN,ALL PRODUCTION PRACTICES,UNITED STATES,,021,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,64,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, SOUTHWEST, BERRIEN",GRAIN,70,9000,SOUTHWEST,1973,CROPS,26,COUNTY,021,
CASS,ALL PRODUCTION PRACTICES,UNITED STATES,,027,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2012-01-01 00:00:00.000,CORN,TOTAL,MI,00000000,BU / ACRE,ANNUAL,,SURVEY,71.3,YIELD,00,NOT SPECIFIED,,00,,FIELD CROPS,,26,"MICHIGAN, SOUTHWEST, CASS",GRAIN,70,9000,SOUTHWEST,1973,CROPS,26,COUNTY,027,
