county_name,location_desc,sector_desc,country_code,county_code,statisticcat_desc,zip_5,region_desc,congr_district_code,Value,group_desc,domain_desc,freq_desc,class_desc,domaincat_desc,watershed_desc,year,county_ansi,util_practice_desc,agg_level_desc,week_ending,country_name,unit_desc,source_desc,CV (%),state_ansi,prodn_practice_desc,end_code,load_time,state_alpha,asd_code,state_fips_code,reference_period_desc,watershed_code,state_name,commodity_desc,asd_desc,begin_code,short_desc
EMMET,"MICHIGAN, NORTHWEST, EMMET",CROPS,9000,047,YIELD,,,,60,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,047,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
GRAND TRAVERSE,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",CROPS,9000,055,YIELD,,,,70.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,055,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
KALKASKA,"MICHIGAN, NORTHWEST, KALKASKA",CROPS,9000,079,YIELD,,,,60,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,079,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
LEELANAU,"MICHIGAN, NORTHWEST, LEELANAU",CROPS,9000,089,YIELD,,,,77.8,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,089,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MANISTEE,"MICHIGAN, NORTHWEST, MANISTEE",CROPS,9000,101,YIELD,,,,83.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,101,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MISSAUKEE,"MICHIGAN, NORTHWEST, MISSAUKEE",CROPS,9000,113,YIELD,,,,80.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,113,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
WEXFORD,"MICHIGAN, NORTHWEST, WEXFORD",CROPS,9000,165,YIELD,,,,74.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,165,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,20,26,YEAR,00000000,MICHIGAN,CORN,NORTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OTHER (COMBINED) COUNTIES,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",CROPS,9000,998,YIELD,,,,77.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ALCONA,"MICHIGAN, NORTHEAST, ALCONA",CROPS,9000,001,YIELD,,,,76.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,001,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ALPENA,"MICHIGAN, NORTHEAST, ALPENA",CROPS,9000,007,YIELD,,,,73.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,007,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CHEBOYGAN,"MICHIGAN, NORTHEAST, CHEBOYGAN",CROPS,9000,031,YIELD,,,,78.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,031,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
IOSCO,"MICHIGAN, NORTHEAST, IOSCO",CROPS,9000,069,YIELD,,,,80.7,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,069,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MONTMORENCY,"MICHIGAN, NORTHEAST, MONTMORENCY",CROPS,9000,119,YIELD,,,,79.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,119,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OGEMAW,"MICHIGAN, NORTHEAST, OGEMAW",CROPS,9000,129,YIELD,,,,83.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,129,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OSCODA,"MICHIGAN, NORTHEAST, OSCODA",CROPS,9000,135,YIELD,,,,73.3,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,135,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OTSEGO,"MICHIGAN, NORTHEAST, OTSEGO",CROPS,9000,137,YIELD,,,,71.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,137,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
PRESQUE ISLE,"MICHIGAN, NORTHEAST, PRESQUE ISLE",CROPS,9000,141,YIELD,,,,74.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,141,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,30,26,YEAR,00000000,MICHIGAN,CORN,NORTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
LAKE,"MICHIGAN, WEST CENTRAL, LAKE",CROPS,9000,085,YIELD,,,,80,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,085,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,40,26,YEAR,00000000,MICHIGAN,CORN,WEST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MASON,"MICHIGAN, WEST CENTRAL, MASON",CROPS,9000,105,YIELD,,,,85.7,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,105,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,40,26,YEAR,00000000,MICHIGAN,CORN,WEST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MUSKEGON,"MICHIGAN, WEST CENTRAL, MUSKEGON",CROPS,9000,121,YIELD,,,,80.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,121,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,40,26,YEAR,00000000,MICHIGAN,CORN,WEST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
NEWAYGO,"MICHIGAN, WEST CENTRAL, NEWAYGO",CROPS,9000,123,YIELD,,,,83.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,123,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,40,26,YEAR,00000000,MICHIGAN,CORN,WEST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OCEANA,"MICHIGAN, WEST CENTRAL, OCEANA",CROPS,9000,127,YIELD,,,,88.8,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,127,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,40,26,YEAR,00000000,MICHIGAN,CORN,WEST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CLARE,"MICHIGAN, CENTRAL, CLARE",CROPS,9000,035,YIELD,,,,81.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,035,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
GLADWIN,"MICHIGAN, CENTRAL, GLADWIN",CROPS,9000,051,YIELD,,,,79.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,051,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
GRATIOT,"MICHIGAN, CENTRAL, GRATIOT",CROPS,9000,057,YIELD,,,,102.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,057,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ISABELLA,"MICHIGAN, CENTRAL, ISABELLA",CROPS,9000,073,YIELD,,,,79.7,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,073,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MECOSTA,"MICHIGAN, CENTRAL, MECOSTA",CROPS,9000,107,YIELD,,,,81.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,107,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MIDLAND,"MICHIGAN, CENTRAL, MIDLAND",CROPS,9000,111,YIELD,,,,100.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,111,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MONTCALM,"MICHIGAN, CENTRAL, MONTCALM",CROPS,9000,117,YIELD,,,,90.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,117,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OSCEOLA,"MICHIGAN, CENTRAL, OSCEOLA",CROPS,9000,133,YIELD,,,,87.8,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,133,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,50,26,YEAR,00000000,MICHIGAN,CORN,CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ARENAC,"MICHIGAN, EAST CENTRAL, ARENAC",CROPS,9000,011,YIELD,,,,92.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,011,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
BAY,"MICHIGAN, EAST CENTRAL, BAY",CROPS,9000,017,YIELD,,,,94.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,017,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
HURON,"MICHIGAN, EAST CENTRAL, HURON",CROPS,9000,063,YIELD,,,,105.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,063,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
SAGINAW,"MICHIGAN, EAST CENTRAL, SAGINAW",CROPS,9000,145,YIELD,,,,90.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,145,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
SANILAC,"MICHIGAN, EAST CENTRAL, SANILAC",CROPS,9000,151,YIELD,,,,101.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,151,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
TUSCOLA,"MICHIGAN, EAST CENTRAL, TUSCOLA",CROPS,9000,157,YIELD,,,,103.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,157,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,60,26,YEAR,00000000,MICHIGAN,CORN,EAST CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ALLEGAN,"MICHIGAN, SOUTHWEST, ALLEGAN",CROPS,9000,005,YIELD,,,,84.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,005,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
BERRIEN,"MICHIGAN, SOUTHWEST, BERRIEN",CROPS,9000,021,YIELD,,,,85.2,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,021,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CASS,"MICHIGAN, SOUTHWEST, CASS",CROPS,9000,027,YIELD,,,,86.8,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,027,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
KALAMAZOO,"MICHIGAN, SOUTHWEST, KALAMAZOO",CROPS,9000,077,YIELD,,,,94.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,077,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
KENT,"MICHIGAN, SOUTHWEST, KENT",CROPS,9000,081,YIELD,,,,92.7,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,081,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OTTAWA,"MICHIGAN, SOUTHWEST, OTTAWA",CROPS,9000,139,YIELD,,,,89.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,139,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
VAN BUREN,"MICHIGAN, SOUTHWEST, VAN BUREN",CROPS,9000,159,YIELD,,,,89.4,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,159,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,70,26,YEAR,00000000,MICHIGAN,CORN,SOUTHWEST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
BARRY,"MICHIGAN, SOUTH CENTRAL, BARRY",CROPS,9000,015,YIELD,,,,89.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,015,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
BRANCH,"MICHIGAN, SOUTH CENTRAL, BRANCH",CROPS,9000,023,YIELD,,,,102.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,023,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
