asd_code,country_code,asd_desc,year,state_fips_code,sector_desc,county_code,agg_level_desc,week_ending,region_desc,zip_5,group_desc,state_ansi,util_practice_desc,location_desc,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc,domaincat_desc,end_code,CV (%),begin_code,county_name,prodn_practice_desc,country_name,watershed_desc,county_ansi,short_desc,state_name,reference_period_desc,class_desc,load_time,commodity_desc,domain_desc,state_alpha,watershed_code
40,9000,WEST CENTRAL,2018,26,CROPS,127,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, WEST CENTRAL, OCEANA",BU / ACRE,,ANNUAL,123,SURVEY,YIELD,NOT SPECIFIED,00,,00,OCEANA,ALL PRODUCTION PRACTICES,UNITED STATES,,127,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,035,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, CLARE",BU / ACRE,,ANNUAL,105,SURVEY,YIELD,NOT SPECIFIED,00,,00,CLARE,ALL PRODUCTION PRACTICES,UNITED STATES,,035,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,051,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, GLADWIN",BU / ACRE,,ANNUAL,155.2,SURVEY,YIELD,NOT SPECIFIED,00,,00,GLADWIN,ALL PRODUCTION PRACTICES,UNITED STATES,,051,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,057,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, GRATIOT",BU / ACRE,,ANNUAL,165.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,GRATIOT,ALL PRODUCTION PRACTICES,UNITED STATES,,057,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,073,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, ISABELLA",BU / ACRE,,ANNUAL,142.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,ISABELLA,ALL PRODUCTION PRACTICES,UNITED STATES,,073,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,107,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, MECOSTA",BU / ACRE,,ANNUAL,112.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,MECOSTA,ALL PRODUCTION PRACTICES,UNITED STATES,,107,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,111,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, MIDLAND",BU / ACRE,,ANNUAL,163.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,MIDLAND,ALL PRODUCTION PRACTICES,UNITED STATES,,111,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,117,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, MONTCALM",BU / ACRE,,ANNUAL,153.8,SURVEY,YIELD,NOT SPECIFIED,00,,00,MONTCALM,ALL PRODUCTION PRACTICES,UNITED STATES,,117,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
50,9000,CENTRAL,2018,26,CROPS,133,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, CENTRAL, OSCEOLA",BU / ACRE,,ANNUAL,99,SURVEY,YIELD,NOT SPECIFIED,00,,00,OSCEOLA,ALL PRODUCTION PRACTICES,UNITED STATES,,133,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,011,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, ARENAC",BU / ACRE,,ANNUAL,157.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,ARENAC,ALL PRODUCTION PRACTICES,UNITED STATES,,011,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,017,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, BAY",BU / ACRE,,ANNUAL,172.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,BAY,ALL PRODUCTION PRACTICES,UNITED STATES,,017,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,063,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, HURON",BU / ACRE,,ANNUAL,177,SURVEY,YIELD,NOT SPECIFIED,00,,00,HURON,ALL PRODUCTION PRACTICES,UNITED STATES,,063,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,145,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, SAGINAW",BU / ACRE,,ANNUAL,172.2,SURVEY,YIELD,NOT SPECIFIED,00,,00,SAGINAW,ALL PRODUCTION PRACTICES,UNITED STATES,,145,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,151,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, SANILAC",BU / ACRE,,ANNUAL,168.1,SURVEY,YIELD,NOT SPECIFIED,00,,00,SANILAC,ALL PRODUCTION PRACTICES,UNITED STATES,,151,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
60,9000,EAST CENTRAL,2018,26,CROPS,157,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, EAST CENTRAL, TUSCOLA",BU / ACRE,,ANNUAL,171.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,TUSCOLA,ALL PRODUCTION PRACTICES,UNITED STATES,,157,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,998,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",BU / ACRE,,ANNUAL,144.5,SURVEY,YIELD,NOT SPECIFIED,00,,00,OTHER (COMBINED) COUNTIES,ALL PRODUCTION PRACTICES,UNITED STATES,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,005,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, ALLEGAN",BU / ACRE,,ANNUAL,156.4,SURVEY,YIELD,NOT SPECIFIED,00,,00,ALLEGAN,ALL PRODUCTION PRACTICES,UNITED STATES,,005,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,021,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, BERRIEN",BU / ACRE,,ANNUAL,162.6,SURVEY,YIELD,NOT SPECIFIED,00,,00,BERRIEN,ALL PRODUCTION PRACTICES,UNITED STATES,,021,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,027,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, CASS",BU / ACRE,,ANNUAL,144.7,SURVEY,YIELD,NOT SPECIFIED,00,,00,CASS,ALL PRODUCTION PRACTICES,UNITED STATES,,027,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,081,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, KENT",BU / ACRE,,ANNUAL,153.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,KENT,ALL PRODUCTION PRACTICES,UNITED STATES,,081,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
70,9000,SOUTHWEST,2018,26,CROPS,139,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHWEST, OTTAWA",BU / ACRE,,ANNUAL,151,SURVEY,YIELD,NOT SPECIFIED,00,,00,OTTAWA,ALL PRODUCTION PRACTICES,UNITED STATES,,139,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,998,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",BU / ACRE,,ANNUAL,137.8,SURVEY,YIELD,NOT SPECIFIED,00,,00,OTHER (COMBINED) COUNTIES,ALL PRODUCTION PRACTICES,UNITED STATES,,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,015,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, BARRY",BU / ACRE,,ANNUAL,148.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,BARRY,ALL PRODUCTION PRACTICES,UNITED STATES,,015,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,023,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, BRANCH",BU / ACRE,,ANNUAL,151.6,SURVEY,YIELD,NOT SPECIFIED,00,,00,BRANCH,ALL PRODUCTION PRACTICES,UNITED STATES,,023,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,025,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, CALHOUN",BU / ACRE,,ANNUAL,143.1,SURVEY,YIELD,NOT SPECIFIED,00,,00,CALHOUN,ALL PRODUCTION PRACTICES,UNITED STATES,,025,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,045,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, EATON",BU / ACRE,,ANNUAL,148.5,SURVEY,YIELD,NOT SPECIFIED,00,,00,EATON,ALL PRODUCTION PRACTICES,UNITED STATES,,045,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,059,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",BU / ACRE,,ANNUAL,153.4,SURVEY,YIELD,NOT SPECIFIED,00,,00,HILLSDALE,ALL PRODUCTION PRACTICES,UNITED STATES,,059,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,065,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, INGHAM",BU / ACRE,,ANNUAL,141.7,SURVEY,YIELD,NOT SPECIFIED,00,,00,INGHAM,ALL PRODUCTION PRACTICES,UNITED STATES,,065,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,067,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, IONIA",BU / ACRE,,ANNUAL,157.5,SURVEY,YIELD,NOT SPECIFIED,00,,00,IONIA,ALL PRODUCTION PRACTICES,UNITED STATES,,067,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,075,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, JACKSON",BU / ACRE,,ANNUAL,126.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,JACKSON,ALL PRODUCTION PRACTICES,UNITED STATES,,075,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
80,9000,SOUTH CENTRAL,2018,26,CROPS,149,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",BU / ACRE,,ANNUAL,123.1,SURVEY,YIELD,NOT SPECIFIED,00,,00,ST JOSEPH,ALL PRODUCTION PRACTICES,UNITED STATES,,149,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,049,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, GENESEE",BU / ACRE,,ANNUAL,143.6,SURVEY,YIELD,NOT SPECIFIED,00,,00,GENESEE,ALL PRODUCTION PRACTICES,UNITED STATES,,049,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,087,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, LAPEER",BU / ACRE,,ANNUAL,172,SURVEY,YIELD,NOT SPECIFIED,00,,00,LAPEER,ALL PRODUCTION PRACTICES,UNITED STATES,,087,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,091,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, LENAWEE",BU / ACRE,,ANNUAL,164.1,SURVEY,YIELD,NOT SPECIFIED,00,,00,LENAWEE,ALL PRODUCTION PRACTICES,UNITED STATES,,091,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,093,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, LIVINGSTON",BU / ACRE,,ANNUAL,143.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,LIVINGSTON,ALL PRODUCTION PRACTICES,UNITED STATES,,093,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,099,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, MACOMB",BU / ACRE,,ANNUAL,171.8,SURVEY,YIELD,NOT SPECIFIED,00,,00,MACOMB,ALL PRODUCTION PRACTICES,UNITED STATES,,099,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,115,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, MONROE",BU / ACRE,,ANNUAL,166.6,SURVEY,YIELD,NOT SPECIFIED,00,,00,MONROE,ALL PRODUCTION PRACTICES,UNITED STATES,,115,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,125,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, OAKLAND",BU / ACRE,,ANNUAL,151.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,OAKLAND,ALL PRODUCTION PRACTICES,UNITED STATES,,125,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,147,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, ST CLAIR",BU / ACRE,,ANNUAL,174.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,ST CLAIR,ALL PRODUCTION PRACTICES,UNITED STATES,,147,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,161,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, WASHTENAW",BU / ACRE,,ANNUAL,141.9,SURVEY,YIELD,NOT SPECIFIED,00,,00,WASHTENAW,ALL PRODUCTION PRACTICES,UNITED STATES,,161,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
90,9000,SOUTHEAST,2018,26,CROPS,163,COUNTY,,,,FIELD CROPS,26,GRAIN,"MICHIGAN, SOUTHEAST, WAYNE",BU / ACRE,,ANNUAL,113.3,SURVEY,YIELD,NOT SPECIFIED,00,,00,WAYNE,ALL PRODUCTION PRACTICES,UNITED STATES,,163,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",MICHIGAN,YEAR,ALL CLASSES,2024-02-23 15:00:00.000,CORN,TOTAL,MI,00000000
