domain_desc,class_desc,end_code,load_time,country_code,year,country_name,watershed_desc,county_code,state_alpha,source_desc,asd_desc,state_name,county_ansi,CV (%),statisticcat_desc,county_name,state_fips_code,util_practice_desc,state_ansi,Value,group_desc,asd_code,watershed_code,sector_desc,begin_code,zip_5,short_desc,prodn_practice_desc,location_desc,region_desc,congr_district_code,domaincat_desc,freq_desc,commodity_desc,unit_desc,agg_level_desc,week_ending,reference_period_desc
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,135,MI,SURVEY,NORTHEAST,MICHIGAN,135,,YIELD,OSCODA,26,GRAIN,26,64,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, OSCODA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,137,MI,SURVEY,NORTHEAST,MICHIGAN,137,,YIELD,OTSEGO,26,GRAIN,26,68.6,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, OTSEGO",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,141,MI,SURVEY,NORTHEAST,MICHIGAN,141,,YIELD,PRESQUE ISLE,26,GRAIN,26,51.4,FIELD CROPS,30,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,085,MI,SURVEY,WEST CENTRAL,MICHIGAN,085,,YIELD,LAKE,26,GRAIN,26,52,FIELD CROPS,40,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, WEST CENTRAL, LAKE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,105,MI,SURVEY,WEST CENTRAL,MICHIGAN,105,,YIELD,MASON,26,GRAIN,26,55.9,FIELD CROPS,40,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, WEST CENTRAL, MASON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,121,MI,SURVEY,WEST CENTRAL,MICHIGAN,121,,YIELD,MUSKEGON,26,GRAIN,26,56.3,FIELD CROPS,40,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, WEST CENTRAL, MUSKEGON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,123,MI,SURVEY,WEST CENTRAL,MICHIGAN,123,,YIELD,NEWAYGO,26,GRAIN,26,47,FIELD CROPS,40,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, WEST CENTRAL, NEWAYGO",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,127,MI,SURVEY,WEST CENTRAL,MICHIGAN,127,,YIELD,OCEANA,26,GRAIN,26,55.1,FIELD CROPS,40,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, WEST CENTRAL, OCEANA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,035,MI,SURVEY,CENTRAL,MICHIGAN,035,,YIELD,CLARE,26,GRAIN,26,40,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, CLARE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,051,MI,SURVEY,CENTRAL,MICHIGAN,051,,YIELD,GLADWIN,26,GRAIN,26,47.9,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, GLADWIN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,057,MI,SURVEY,CENTRAL,MICHIGAN,057,,YIELD,GRATIOT,26,GRAIN,26,65.1,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, GRATIOT",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,073,MI,SURVEY,CENTRAL,MICHIGAN,073,,YIELD,ISABELLA,26,GRAIN,26,56,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, ISABELLA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,107,MI,SURVEY,CENTRAL,MICHIGAN,107,,YIELD,MECOSTA,26,GRAIN,26,43,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, MECOSTA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,111,MI,SURVEY,CENTRAL,MICHIGAN,111,,YIELD,MIDLAND,26,GRAIN,26,60,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, MIDLAND",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,117,MI,SURVEY,CENTRAL,MICHIGAN,117,,YIELD,MONTCALM,26,GRAIN,26,49,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, MONTCALM",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,133,MI,SURVEY,CENTRAL,MICHIGAN,133,,YIELD,OSCEOLA,26,GRAIN,26,54,FIELD CROPS,50,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, CENTRAL, OSCEOLA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,011,MI,SURVEY,EAST CENTRAL,MICHIGAN,011,,YIELD,ARENAC,26,GRAIN,26,67,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, ARENAC",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,017,MI,SURVEY,EAST CENTRAL,MICHIGAN,017,,YIELD,BAY,26,GRAIN,26,73,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, BAY",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,063,MI,SURVEY,EAST CENTRAL,MICHIGAN,063,,YIELD,HURON,26,GRAIN,26,91,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, HURON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,145,MI,SURVEY,EAST CENTRAL,MICHIGAN,145,,YIELD,SAGINAW,26,GRAIN,26,66,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, SAGINAW",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,151,MI,SURVEY,EAST CENTRAL,MICHIGAN,151,,YIELD,SANILAC,26,GRAIN,26,64,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, SANILAC",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,157,MI,SURVEY,EAST CENTRAL,MICHIGAN,157,,YIELD,TUSCOLA,26,GRAIN,26,68,FIELD CROPS,60,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, EAST CENTRAL, TUSCOLA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,005,MI,SURVEY,SOUTHWEST,MICHIGAN,005,,YIELD,ALLEGAN,26,GRAIN,26,76,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, ALLEGAN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,021,MI,SURVEY,SOUTHWEST,MICHIGAN,021,,YIELD,BERRIEN,26,GRAIN,26,71,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, BERRIEN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,027,MI,SURVEY,SOUTHWEST,MICHIGAN,027,,YIELD,CASS,26,GRAIN,26,55,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, CASS",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,077,MI,SURVEY,SOUTHWEST,MICHIGAN,077,,YIELD,KALAMAZOO,26,GRAIN,26,70,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, KALAMAZOO",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,081,MI,SURVEY,SOUTHWEST,MICHIGAN,081,,YIELD,KENT,26,GRAIN,26,65,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, KENT",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,139,MI,SURVEY,SOUTHWEST,MICHIGAN,139,,YIELD,OTTAWA,26,GRAIN,26,63,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, OTTAWA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,159,MI,SURVEY,SOUTHWEST,MICHIGAN,159,,YIELD,VAN BUREN,26,GRAIN,26,73,FIELD CROPS,70,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHWEST, VAN BUREN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,015,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,015,,YIELD,BARRY,26,GRAIN,26,78,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, BARRY",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,023,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,023,,YIELD,BRANCH,26,GRAIN,26,78,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, BRANCH",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,025,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,025,,YIELD,CALHOUN,26,GRAIN,26,70,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, CALHOUN",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,037,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,037,,YIELD,CLINTON,26,GRAIN,26,76,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, CLINTON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,045,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,045,,YIELD,EATON,26,GRAIN,26,86,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, EATON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,059,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,059,,YIELD,HILLSDALE,26,GRAIN,26,75,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,065,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,065,,YIELD,INGHAM,26,GRAIN,26,78,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, INGHAM",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,067,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,067,,YIELD,IONIA,26,GRAIN,26,73,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, IONIA",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,075,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,075,,YIELD,JACKSON,26,GRAIN,26,70,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, JACKSON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
