statisticcat_desc,Value,source_desc,freq_desc,congr_district_code,unit_desc,begin_code,CV (%),end_code,domaincat_desc,county_ansi,country_name,watershed_desc,county_name,prodn_practice_desc,state_alpha,watershed_code,commodity_desc,domain_desc,class_desc,load_time,short_desc,reference_period_desc,state_name,asd_code,state_fips_code,sector_desc,year,agg_level_desc,county_code,week_ending,asd_desc,country_code,state_ansi,group_desc,zip_5,region_desc,location_desc,util_practice_desc
YIELD,70.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,019,UNITED STATES,,BENZIE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,019,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, BENZIE",GRAIN
YIELD,91.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,029,UNITED STATES,,CHARLEVOIX,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,029,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, CHARLEVOIX",GRAIN
YIELD,80,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,047,UNITED STATES,,EMMET,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,047,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, EMMET",GRAIN
YIELD,74.1,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,055,UNITED STATES,,GRAND TRAVERSE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,055,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",GRAIN
YIELD,81.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,079,UNITED STATES,,KALKASKA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,079,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, KALKASKA",GRAIN
YIELD,91.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,089,UNITED STATES,,LEELANAU,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,089,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, LEELANAU",GRAIN
YIELD,67.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,101,UNITED STATES,,MANISTEE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,101,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, MANISTEE",GRAIN
YIELD,78.1,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,113,UNITED STATES,,MISSAUKEE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,113,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, MISSAUKEE",GRAIN
YIELD,82,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,165,UNITED STATES,,WEXFORD,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,20,26,CROPS,1984,COUNTY,165,,NORTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHWEST, WEXFORD",GRAIN
YIELD,84,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,001,UNITED STATES,,ALCONA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,001,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, ALCONA",GRAIN
YIELD,86.1,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,007,UNITED STATES,,ALPENA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,007,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, ALPENA",GRAIN
YIELD,86.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,031,UNITED STATES,,CHEBOYGAN,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,031,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, CHEBOYGAN",GRAIN
YIELD,94.7,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,069,UNITED STATES,,IOSCO,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,069,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, IOSCO",GRAIN
YIELD,68.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,119,UNITED STATES,,MONTMORENCY,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,119,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, MONTMORENCY",GRAIN
YIELD,74,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,129,UNITED STATES,,OGEMAW,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,129,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, OGEMAW",GRAIN
YIELD,68.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,135,UNITED STATES,,OSCODA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,135,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, OSCODA",GRAIN
YIELD,88.7,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,137,UNITED STATES,,OTSEGO,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,137,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, OTSEGO",GRAIN
YIELD,94.1,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,141,UNITED STATES,,PRESQUE ISLE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,141,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, PRESQUE ISLE",GRAIN
YIELD,66.7,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,143,UNITED STATES,,ROSCOMMON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,30,26,CROPS,1984,COUNTY,143,,NORTHEAST,9000,26,FIELD CROPS,,,"MICHIGAN, NORTHEAST, ROSCOMMON",GRAIN
YIELD,60.5,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,085,UNITED STATES,,LAKE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,40,26,CROPS,1984,COUNTY,085,,WEST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, WEST CENTRAL, LAKE",GRAIN
YIELD,80,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,105,UNITED STATES,,MASON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,40,26,CROPS,1984,COUNTY,105,,WEST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, WEST CENTRAL, MASON",GRAIN
YIELD,83.2,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,121,UNITED STATES,,MUSKEGON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,40,26,CROPS,1984,COUNTY,121,,WEST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, WEST CENTRAL, MUSKEGON",GRAIN
YIELD,76,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,123,UNITED STATES,,NEWAYGO,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,40,26,CROPS,1984,COUNTY,123,,WEST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, WEST CENTRAL, NEWAYGO",GRAIN
YIELD,60.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,127,UNITED STATES,,OCEANA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,40,26,CROPS,1984,COUNTY,127,,WEST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, WEST CENTRAL, OCEANA",GRAIN
YIELD,55,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,035,UNITED STATES,,CLARE,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,035,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, CLARE",GRAIN
YIELD,63.7,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,051,UNITED STATES,,GLADWIN,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,051,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, GLADWIN",GRAIN
YIELD,103.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,057,UNITED STATES,,GRATIOT,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,057,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, GRATIOT",GRAIN
YIELD,56.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,073,UNITED STATES,,ISABELLA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,073,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, ISABELLA",GRAIN
YIELD,57.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,107,UNITED STATES,,MECOSTA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,107,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, MECOSTA",GRAIN
YIELD,84.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,111,UNITED STATES,,MIDLAND,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,111,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, MIDLAND",GRAIN
YIELD,83.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,117,UNITED STATES,,MONTCALM,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,117,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, MONTCALM",GRAIN
YIELD,72.5,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,133,UNITED STATES,,OSCEOLA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,50,26,CROPS,1984,COUNTY,133,,CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, CENTRAL, OSCEOLA",GRAIN
YIELD,72.8,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,011,UNITED STATES,,ARENAC,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,011,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, ARENAC",GRAIN
YIELD,85.3,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,017,UNITED STATES,,BAY,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,017,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, BAY",GRAIN
YIELD,106,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,063,UNITED STATES,,HURON,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,063,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, HURON",GRAIN
YIELD,102,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,145,UNITED STATES,,SAGINAW,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,145,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, SAGINAW",GRAIN
YIELD,103.9,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,151,UNITED STATES,,SANILAC,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,151,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, SANILAC",GRAIN
YIELD,111.7,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,157,UNITED STATES,,TUSCOLA,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,60,26,CROPS,1984,COUNTY,157,,EAST CENTRAL,9000,26,FIELD CROPS,,,"MICHIGAN, EAST CENTRAL, TUSCOLA",GRAIN
YIELD,73.5,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,005,UNITED STATES,,ALLEGAN,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,70,26,CROPS,1984,COUNTY,005,,SOUTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, SOUTHWEST, ALLEGAN",GRAIN
YIELD,78.4,SURVEY,ANNUAL,,BU / ACRE,00,,00,NOT SPECIFIED,021,UNITED STATES,,BERRIEN,ALL PRODUCTION PRACTICES,MI,00000000,CORN,TOTAL,ALL CLASSES,2012-01-01 00:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,MICHIGAN,70,26,CROPS,1984,COUNTY,021,,SOUTHWEST,9000,26,FIELD CROPS,,,"MICHIGAN, SOUTHWEST, BERRIEN",GRAIN
