week_ending,Value,end_code,prodn_practice_desc,county_ansi,sector_desc,statisticcat_desc,asd_code,CV (%),agg_level_desc,county_name,group_desc,freq_desc,short_desc,year,watershed_code,watershed_desc,begin_code,load_time,country_code,class_desc,state_alpha,commodity_desc,country_name,location_desc,domain_desc,county_code,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc
,110.3,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,30,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,131,00,ALL PRODUCTION PRACTICES,007,CROPS,YIELD,30,,COUNTY,ALPENA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, ALPENA",TOTAL,007,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,117.1,00,ALL PRODUCTION PRACTICES,069,CROPS,YIELD,30,,COUNTY,IOSCO,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, IOSCO",TOTAL,069,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,115,00,ALL PRODUCTION PRACTICES,119,CROPS,YIELD,30,,COUNTY,MONTMORENCY,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, MONTMORENCY",TOTAL,119,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,151.7,00,ALL PRODUCTION PRACTICES,129,CROPS,YIELD,30,,COUNTY,OGEMAW,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, OGEMAW",TOTAL,129,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,127.3,00,ALL PRODUCTION PRACTICES,137,CROPS,YIELD,30,,COUNTY,OTSEGO,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, OTSEGO",TOTAL,137,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,126.8,00,ALL PRODUCTION PRACTICES,141,CROPS,YIELD,30,,COUNTY,PRESQUE ISLE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, NORTHEAST, PRESQUE ISLE",TOTAL,141,MICHIGAN,26,SURVEY,26,GRAIN,,,,NORTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,137.1,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,40,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,153.6,00,ALL PRODUCTION PRACTICES,105,CROPS,YIELD,40,,COUNTY,MASON,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, WEST CENTRAL, MASON",TOTAL,105,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,137,00,ALL PRODUCTION PRACTICES,123,CROPS,YIELD,40,,COUNTY,NEWAYGO,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, WEST CENTRAL, NEWAYGO",TOTAL,123,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,142.6,00,ALL PRODUCTION PRACTICES,127,CROPS,YIELD,40,,COUNTY,OCEANA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, WEST CENTRAL, OCEANA",TOTAL,127,MICHIGAN,26,SURVEY,26,GRAIN,,,,WEST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,143.2,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,50,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,139.7,00,ALL PRODUCTION PRACTICES,073,CROPS,YIELD,50,,COUNTY,ISABELLA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, CENTRAL, ISABELLA",TOTAL,073,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,135.4,00,ALL PRODUCTION PRACTICES,107,CROPS,YIELD,50,,COUNTY,MECOSTA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, CENTRAL, MECOSTA",TOTAL,107,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,143.6,00,ALL PRODUCTION PRACTICES,117,CROPS,YIELD,50,,COUNTY,MONTCALM,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, CENTRAL, MONTCALM",TOTAL,117,MICHIGAN,26,SURVEY,26,GRAIN,,,,CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,133.3,00,ALL PRODUCTION PRACTICES,011,CROPS,YIELD,60,,COUNTY,ARENAC,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, ARENAC",TOTAL,011,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,144.7,00,ALL PRODUCTION PRACTICES,017,CROPS,YIELD,60,,COUNTY,BAY,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, BAY",TOTAL,017,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,172.9,00,ALL PRODUCTION PRACTICES,063,CROPS,YIELD,60,,COUNTY,HURON,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, HURON",TOTAL,063,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,154.1,00,ALL PRODUCTION PRACTICES,145,CROPS,YIELD,60,,COUNTY,SAGINAW,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, SAGINAW",TOTAL,145,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,160.1,00,ALL PRODUCTION PRACTICES,151,CROPS,YIELD,60,,COUNTY,SANILAC,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, SANILAC",TOTAL,151,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,162.1,00,ALL PRODUCTION PRACTICES,157,CROPS,YIELD,60,,COUNTY,TUSCOLA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, EAST CENTRAL, TUSCOLA",TOTAL,157,MICHIGAN,26,SURVEY,26,GRAIN,,,,EAST CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,140.4,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,70,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,134,00,ALL PRODUCTION PRACTICES,005,CROPS,YIELD,70,,COUNTY,ALLEGAN,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHWEST, ALLEGAN",TOTAL,005,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,143.3,00,ALL PRODUCTION PRACTICES,027,CROPS,YIELD,70,,COUNTY,CASS,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHWEST, CASS",TOTAL,027,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,138.4,00,ALL PRODUCTION PRACTICES,077,CROPS,YIELD,70,,COUNTY,KALAMAZOO,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHWEST, KALAMAZOO",TOTAL,077,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,150.5,00,ALL PRODUCTION PRACTICES,081,CROPS,YIELD,70,,COUNTY,KENT,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHWEST, KENT",TOTAL,081,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHWEST,BU / ACRE,YEAR,NOT SPECIFIED
,121.3,00,ALL PRODUCTION PRACTICES,,CROPS,YIELD,80,,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,132.1,00,ALL PRODUCTION PRACTICES,015,CROPS,YIELD,80,,COUNTY,BARRY,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, BARRY",TOTAL,015,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,157.9,00,ALL PRODUCTION PRACTICES,023,CROPS,YIELD,80,,COUNTY,BRANCH,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, BRANCH",TOTAL,023,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,134.9,00,ALL PRODUCTION PRACTICES,025,CROPS,YIELD,80,,COUNTY,CALHOUN,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, CALHOUN",TOTAL,025,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,139,00,ALL PRODUCTION PRACTICES,045,CROPS,YIELD,80,,COUNTY,EATON,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, EATON",TOTAL,045,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,161,00,ALL PRODUCTION PRACTICES,059,CROPS,YIELD,80,,COUNTY,HILLSDALE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",TOTAL,059,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,148.3,00,ALL PRODUCTION PRACTICES,065,CROPS,YIELD,80,,COUNTY,INGHAM,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, INGHAM",TOTAL,065,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,161.7,00,ALL PRODUCTION PRACTICES,067,CROPS,YIELD,80,,COUNTY,IONIA,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, IONIA",TOTAL,067,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,155.9,00,ALL PRODUCTION PRACTICES,075,CROPS,YIELD,80,,COUNTY,JACKSON,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, JACKSON",TOTAL,075,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,145.3,00,ALL PRODUCTION PRACTICES,155,CROPS,YIELD,80,,COUNTY,SHIAWASSEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",TOTAL,155,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED
,138.7,00,ALL PRODUCTION PRACTICES,049,CROPS,YIELD,90,,COUNTY,GENESEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, GENESEE",TOTAL,049,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,146.8,00,ALL PRODUCTION PRACTICES,087,CROPS,YIELD,90,,COUNTY,LAPEER,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, LAPEER",TOTAL,087,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,172.3,00,ALL PRODUCTION PRACTICES,091,CROPS,YIELD,90,,COUNTY,LENAWEE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, LENAWEE",TOTAL,091,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,148,00,ALL PRODUCTION PRACTICES,093,CROPS,YIELD,90,,COUNTY,LIVINGSTON,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, LIVINGSTON",TOTAL,093,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,160.2,00,ALL PRODUCTION PRACTICES,099,CROPS,YIELD,90,,COUNTY,MACOMB,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, MACOMB",TOTAL,099,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,178.7,00,ALL PRODUCTION PRACTICES,115,CROPS,YIELD,90,,COUNTY,MONROE,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, MONROE",TOTAL,115,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,133.3,00,ALL PRODUCTION PRACTICES,125,CROPS,YIELD,90,,COUNTY,OAKLAND,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, OAKLAND",TOTAL,125,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
,146.3,00,ALL PRODUCTION PRACTICES,147,CROPS,YIELD,90,,COUNTY,ST CLAIR,FIELD CROPS,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2019,00000000,,00,2024-02-23 15:00:00.000,9000,ALL CLASSES,MI,CORN,UNITED STATES,"MICHIGAN, SOUTHEAST, ST CLAIR",TOTAL,147,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED
