region_desc,group_desc,zip_5,state_ansi,util_practice_desc,location_desc,asd_code,country_code,asd_desc,county_code,agg_level_desc,week_ending,state_fips_code,sector_desc,year,prodn_practice_desc,county_name,watershed_desc,country_name,county_ansi,state_name,reference_period_desc,short_desc,load_time,class_desc,domain_desc,commodity_desc,watershed_code,state_alpha,unit_desc,congr_district_code,freq_desc,Value,source_desc,statisticcat_desc,domaincat_desc,end_code,CV (%),begin_code
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, GLADWIN",50,9000,CENTRAL,051,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,GLADWIN,,UNITED STATES,051,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,59.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, GRATIOT",50,9000,CENTRAL,057,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,GRATIOT,,UNITED STATES,057,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,82.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, ISABELLA",50,9000,CENTRAL,073,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,ISABELLA,,UNITED STATES,073,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,66.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, MECOSTA",50,9000,CENTRAL,107,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MECOSTA,,UNITED STATES,107,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, MIDLAND",50,9000,CENTRAL,111,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MIDLAND,,UNITED STATES,111,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,68.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, MONTCALM",50,9000,CENTRAL,117,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MONTCALM,,UNITED STATES,117,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,65.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, CENTRAL, OSCEOLA",50,9000,CENTRAL,133,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OSCEOLA,,UNITED STATES,133,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, ARENAC",60,9000,EAST CENTRAL,011,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,ARENAC,,UNITED STATES,011,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,65.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, BAY",60,9000,EAST CENTRAL,017,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,BAY,,UNITED STATES,017,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,75.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, HURON",60,9000,EAST CENTRAL,063,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,HURON,,UNITED STATES,063,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,79.6,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, SAGINAW",60,9000,EAST CENTRAL,145,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,SAGINAW,,UNITED STATES,145,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,77.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, SANILAC",60,9000,EAST CENTRAL,151,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,SANILAC,,UNITED STATES,151,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,65.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, EAST CENTRAL, TUSCOLA",60,9000,EAST CENTRAL,157,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,TUSCOLA,,UNITED STATES,157,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,74.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, ALLEGAN",70,9000,SOUTHWEST,005,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,ALLEGAN,,UNITED STATES,005,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,58.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, BERRIEN",70,9000,SOUTHWEST,021,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,BERRIEN,,UNITED STATES,021,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,73.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, CASS",70,9000,SOUTHWEST,027,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,CASS,,UNITED STATES,027,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,66.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, KALAMAZOO",70,9000,SOUTHWEST,077,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,KALAMAZOO,,UNITED STATES,077,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, KENT",70,9000,SOUTHWEST,081,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,KENT,,UNITED STATES,081,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,61.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, OTTAWA",70,9000,SOUTHWEST,139,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OTTAWA,,UNITED STATES,139,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,62.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHWEST, VAN BUREN",70,9000,SOUTHWEST,159,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,VAN BUREN,,UNITED STATES,159,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,57,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, BARRY",80,9000,SOUTH CENTRAL,015,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,BARRY,,UNITED STATES,015,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,59.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, BRANCH",80,9000,SOUTH CENTRAL,023,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,BRANCH,,UNITED STATES,023,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,60.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, CALHOUN",80,9000,SOUTH CENTRAL,025,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,CALHOUN,,UNITED STATES,025,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, CLINTON",80,9000,SOUTH CENTRAL,037,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,CLINTON,,UNITED STATES,037,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,67.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, EATON",80,9000,SOUTH CENTRAL,045,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,EATON,,UNITED STATES,045,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,65.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",80,9000,SOUTH CENTRAL,059,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,HILLSDALE,,UNITED STATES,059,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,64.6,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, INGHAM",80,9000,SOUTH CENTRAL,065,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,INGHAM,,UNITED STATES,065,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,61.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, IONIA",80,9000,SOUTH CENTRAL,067,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,IONIA,,UNITED STATES,067,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,68.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, JACKSON",80,9000,SOUTH CENTRAL,075,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,JACKSON,,UNITED STATES,075,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,54.2,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",80,9000,SOUTH CENTRAL,149,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,ST JOSEPH,,UNITED STATES,149,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,61.9,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",80,9000,SOUTH CENTRAL,155,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,SHIAWASSEE,,UNITED STATES,155,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,65.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, GENESEE",90,9000,SOUTHEAST,049,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,GENESEE,,UNITED STATES,049,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,52.5,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, LAPEER",90,9000,SOUTHEAST,087,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,LAPEER,,UNITED STATES,087,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,53.8,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, LENAWEE",90,9000,SOUTHEAST,091,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,LENAWEE,,UNITED STATES,091,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,69.7,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, LIVINGSTON",90,9000,SOUTHEAST,093,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,LIVINGSTON,,UNITED STATES,093,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,56.1,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, MACOMB",90,9000,SOUTHEAST,099,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MACOMB,,UNITED STATES,099,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,60.4,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, MONROE",90,9000,SOUTHEAST,115,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,MONROE,,UNITED STATES,115,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,67.6,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, OAKLAND",90,9000,SOUTHEAST,125,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,OAKLAND,,UNITED STATES,125,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,59.4,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, ST CLAIR",90,9000,SOUTHEAST,147,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,ST CLAIR,,UNITED STATES,147,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,55.4,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, WASHTENAW",90,9000,SOUTHEAST,161,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,WASHTENAW,,UNITED STATES,161,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,58.4,SURVEY,YIELD,NOT SPECIFIED,00,,00
,FIELD CROPS,,26,GRAIN,"MICHIGAN, SOUTHEAST, WAYNE",90,9000,SOUTHEAST,163,COUNTY,,26,CROPS,1963,ALL PRODUCTION PRACTICES,WAYNE,,UNITED STATES,163,MICHIGAN,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,ALL CLASSES,TOTAL,CORN,00000000,MI,BU / ACRE,,ANNUAL,56.3,SURVEY,YIELD,NOT SPECIFIED,00,,00
