commodity_desc,country_name,country_code,class_desc,state_alpha,begin_code,load_time,short_desc,freq_desc,watershed_code,year,watershed_desc,county_name,agg_level_desc,group_desc,end_code,prodn_practice_desc,county_ansi,sector_desc,asd_code,statisticcat_desc,CV (%),Value,week_ending,reference_period_desc,domaincat_desc,unit_desc,asd_desc,region_desc,congr_district_code,state_ansi,zip_5,util_practice_desc,source_desc,state_name,state_fips_code,location_desc,domain_desc,county_code
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,WEXFORD,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,165,CROPS,20,YIELD,2.0,100.6,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHWEST, WEXFORD",TOTAL,165
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ALCONA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,001,CROPS,30,YIELD,8.6,132.7,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALCONA",TOTAL,001
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ALPENA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,007,CROPS,30,YIELD,7.8,122,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALPENA",TOTAL,007
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,IOSCO,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,069,CROPS,30,YIELD,7.2,128.5,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, IOSCO",TOTAL,069
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,OGEMAW,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,129,CROPS,30,YIELD,2.7,146.2,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OGEMAW",TOTAL,129
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,OTSEGO,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,137,CROPS,30,YIELD,5.1,115.3,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, OTSEGO",TOTAL,137
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,PRESQUE ISLE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,141,CROPS,30,YIELD,2.1,119.8,,YEAR,NOT SPECIFIED,BU / ACRE,NORTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",TOTAL,141
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MASON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,105,CROPS,40,YIELD,4.4,150.6,,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MASON",TOTAL,105
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MUSKEGON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,121,CROPS,40,YIELD,7.9,138,,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MUSKEGON",TOTAL,121
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,NEWAYGO,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,123,CROPS,40,YIELD,3.5,142.2,,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",TOTAL,123
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,OCEANA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,127,CROPS,40,YIELD,9.6,130,,YEAR,NOT SPECIFIED,BU / ACRE,WEST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, OCEANA",TOTAL,127
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,GLADWIN,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,051,CROPS,50,YIELD,10.0,136.3,,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, GLADWIN",TOTAL,051
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ISABELLA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,073,CROPS,50,YIELD,6.5,133.1,,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, ISABELLA",TOTAL,073
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MECOSTA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,107,CROPS,50,YIELD,5.6,118.9,,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MECOSTA",TOTAL,107
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MIDLAND,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,111,CROPS,50,YIELD,2.8,151.9,,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MIDLAND",TOTAL,111
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,MONTCALM,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,117,CROPS,50,YIELD,6.0,159.4,,YEAR,NOT SPECIFIED,BU / ACRE,CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, CENTRAL, MONTCALM",TOTAL,117
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ARENAC,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,011,CROPS,60,YIELD,3.7,137.9,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, ARENAC",TOTAL,011
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,BAY,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,017,CROPS,60,YIELD,3.1,160.2,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, BAY",TOTAL,017
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,HURON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,063,CROPS,60,YIELD,1.8,185.6,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, HURON",TOTAL,063
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,SAGINAW,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,145,CROPS,60,YIELD,3.3,162.1,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SAGINAW",TOTAL,145
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,SANILAC,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,151,CROPS,60,YIELD,1.5,179.9,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SANILAC",TOTAL,151
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,TUSCOLA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,157,CROPS,60,YIELD,3.3,168.3,,YEAR,NOT SPECIFIED,BU / ACRE,EAST CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",TOTAL,157
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ALLEGAN,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,005,CROPS,70,YIELD,5.3,148.7,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, ALLEGAN",TOTAL,005
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,BERRIEN,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,021,CROPS,70,YIELD,4.7,162.3,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, BERRIEN",TOTAL,021
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,CASS,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,027,CROPS,70,YIELD,4.1,147.5,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, CASS",TOTAL,027
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,KALAMAZOO,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,077,CROPS,70,YIELD,3.0,141.7,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, KALAMAZOO",TOTAL,077
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,KENT,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,081,CROPS,70,YIELD,2.4,158.8,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, KENT",TOTAL,081
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,OTTAWA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,139,CROPS,70,YIELD,5.2,147,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, OTTAWA",TOTAL,139
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,VAN BUREN,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,159,CROPS,70,YIELD,2.6,150.5,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHWEST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHWEST, VAN BUREN",TOTAL,159
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,BARRY,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,015,CROPS,80,YIELD,2.5,153,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, BARRY",TOTAL,015
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,BRANCH,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,023,CROPS,80,YIELD,3.4,159.9,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, BRANCH",TOTAL,023
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,CALHOUN,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,025,CROPS,80,YIELD,3.1,140,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, CALHOUN",TOTAL,025
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,CLINTON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,037,CROPS,80,YIELD,2.8,146,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, CLINTON",TOTAL,037
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,EATON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,045,CROPS,80,YIELD,2.9,147.3,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, EATON",TOTAL,045
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,HILLSDALE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,059,CROPS,80,YIELD,2.8,156.4,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",TOTAL,059
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,INGHAM,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,065,CROPS,80,YIELD,1.9,148.1,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, INGHAM",TOTAL,065
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,IONIA,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,067,CROPS,80,YIELD,2.8,147.6,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, IONIA",TOTAL,067
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,JACKSON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,075,CROPS,80,YIELD,3.4,139.1,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, JACKSON",TOTAL,075
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,ST JOSEPH,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,149,CROPS,80,YIELD,4.6,137,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",TOTAL,149
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,SHIAWASSEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,155,CROPS,80,YIELD,1.8,155.3,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTH CENTRAL,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",TOTAL,155
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,GENESEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,049,CROPS,90,YIELD,5.1,157.4,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHEAST, GENESEE",TOTAL,049
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,LAPEER,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,087,CROPS,90,YIELD,3.9,163.8,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LAPEER",TOTAL,087
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,LENAWEE,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,091,CROPS,90,YIELD,3.0,158.4,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LENAWEE",TOTAL,091
CORN,UNITED STATES,9000,ALL CLASSES,MI,00,2024-02-23 15:00:00.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,00000000,2020,,LIVINGSTON,COUNTY,FIELD CROPS,00,ALL PRODUCTION PRACTICES,093,CROPS,90,YIELD,2.3,158.4,,YEAR,NOT SPECIFIED,BU / ACRE,SOUTHEAST,,,26,,GRAIN,SURVEY,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LIVINGSTON",TOTAL,093
