region_desc,congr_district_code,asd_desc,unit_desc,domaincat_desc,reference_period_desc,domain_desc,county_code,location_desc,state_fips_code,state_name,source_desc,zip_5,util_practice_desc,state_ansi,watershed_desc,year,watershed_code,freq_desc,short_desc,begin_code,load_time,state_alpha,class_desc,country_code,country_name,commodity_desc,Value,week_ending,asd_code,statisticcat_desc,CV (%),sector_desc,county_ansi,prodn_practice_desc,end_code,group_desc,agg_level_desc,county_name
,,NORTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,165,"MICHIGAN, NORTHWEST, WEXFORD",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,100.6,,20,YIELD,2.0,CROPS,165,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,WEXFORD
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,001,"MICHIGAN, NORTHEAST, ALCONA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,132.7,,30,YIELD,8.6,CROPS,001,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ALCONA
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,007,"MICHIGAN, NORTHEAST, ALPENA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,122,,30,YIELD,7.8,CROPS,007,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ALPENA
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,069,"MICHIGAN, NORTHEAST, IOSCO",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,128.5,,30,YIELD,7.2,CROPS,069,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,IOSCO
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,129,"MICHIGAN, NORTHEAST, OGEMAW",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,146.2,,30,YIELD,2.7,CROPS,129,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,OGEMAW
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,137,"MICHIGAN, NORTHEAST, OTSEGO",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,115.3,,30,YIELD,5.1,CROPS,137,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,OTSEGO
,,NORTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,141,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,119.8,,30,YIELD,2.1,CROPS,141,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,PRESQUE ISLE
,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,105,"MICHIGAN, WEST CENTRAL, MASON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,150.6,,40,YIELD,4.4,CROPS,105,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MASON
,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,121,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,138,,40,YIELD,7.9,CROPS,121,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MUSKEGON
,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,123,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,142.2,,40,YIELD,3.5,CROPS,123,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,NEWAYGO
,,WEST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,127,"MICHIGAN, WEST CENTRAL, OCEANA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,130,,40,YIELD,9.6,CROPS,127,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,OCEANA
,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,051,"MICHIGAN, CENTRAL, GLADWIN",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,136.3,,50,YIELD,10.0,CROPS,051,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,GLADWIN
,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,073,"MICHIGAN, CENTRAL, ISABELLA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,133.1,,50,YIELD,6.5,CROPS,073,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ISABELLA
,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,107,"MICHIGAN, CENTRAL, MECOSTA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,118.9,,50,YIELD,5.6,CROPS,107,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MECOSTA
,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,111,"MICHIGAN, CENTRAL, MIDLAND",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,151.9,,50,YIELD,2.8,CROPS,111,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MIDLAND
,,CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,117,"MICHIGAN, CENTRAL, MONTCALM",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,159.4,,50,YIELD,6.0,CROPS,117,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,MONTCALM
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,011,"MICHIGAN, EAST CENTRAL, ARENAC",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,137.9,,60,YIELD,3.7,CROPS,011,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ARENAC
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,017,"MICHIGAN, EAST CENTRAL, BAY",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,160.2,,60,YIELD,3.1,CROPS,017,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,BAY
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,063,"MICHIGAN, EAST CENTRAL, HURON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,185.6,,60,YIELD,1.8,CROPS,063,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,HURON
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,145,"MICHIGAN, EAST CENTRAL, SAGINAW",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,162.1,,60,YIELD,3.3,CROPS,145,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,SAGINAW
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,151,"MICHIGAN, EAST CENTRAL, SANILAC",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,179.9,,60,YIELD,1.5,CROPS,151,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,SANILAC
,,EAST CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,157,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,168.3,,60,YIELD,3.3,CROPS,157,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,TUSCOLA
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,005,"MICHIGAN, SOUTHWEST, ALLEGAN",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,148.7,,70,YIELD,5.3,CROPS,005,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ALLEGAN
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,021,"MICHIGAN, SOUTHWEST, BERRIEN",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,162.3,,70,YIELD,4.7,CROPS,021,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,BERRIEN
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,027,"MICHIGAN, SOUTHWEST, CASS",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,147.5,,70,YIELD,4.1,CROPS,027,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,CASS
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,077,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,141.7,,70,YIELD,3.0,CROPS,077,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,KALAMAZOO
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,081,"MICHIGAN, SOUTHWEST, KENT",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,158.8,,70,YIELD,2.4,CROPS,081,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,KENT
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,139,"MICHIGAN, SOUTHWEST, OTTAWA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,147,,70,YIELD,5.2,CROPS,139,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,OTTAWA
,,SOUTHWEST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,159,"MICHIGAN, SOUTHWEST, VAN BUREN",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,150.5,,70,YIELD,2.6,CROPS,159,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,VAN BUREN
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,015,"MICHIGAN, SOUTH CENTRAL, BARRY",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,153,,80,YIELD,2.5,CROPS,015,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,BARRY
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,023,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,159.9,,80,YIELD,3.4,CROPS,023,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,BRANCH
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,025,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,140,,80,YIELD,3.1,CROPS,025,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,CALHOUN
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,037,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,146,,80,YIELD,2.8,CROPS,037,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,CLINTON
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,045,"MICHIGAN, SOUTH CENTRAL, EATON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,147.3,,80,YIELD,2.9,CROPS,045,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,EATON
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,059,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,156.4,,80,YIELD,2.8,CROPS,059,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,HILLSDALE
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,065,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,148.1,,80,YIELD,1.9,CROPS,065,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,INGHAM
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,067,"MICHIGAN, SOUTH CENTRAL, IONIA",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,147.6,,80,YIELD,2.8,CROPS,067,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,IONIA
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,075,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,139.1,,80,YIELD,3.4,CROPS,075,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,JACKSON
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,149,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,137,,80,YIELD,4.6,CROPS,149,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,ST JOSEPH
,,SOUTH CENTRAL,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,155,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,155.3,,80,YIELD,1.8,CROPS,155,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,SHIAWASSEE
,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,049,"MICHIGAN, SOUTHEAST, GENESEE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,157.4,,90,YIELD,5.1,CROPS,049,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,GENESEE
,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,087,"MICHIGAN, SOUTHEAST, LAPEER",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,163.8,,90,YIELD,3.9,CROPS,087,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,LAPEER
,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,091,"MICHIGAN, SOUTHEAST, LENAWEE",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,158.4,,90,YIELD,3.0,CROPS,091,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,LENAWEE
,,SOUTHEAST,BU / ACRE,NOT SPECIFIED,YEAR,TOTAL,093,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,MICHIGAN,SURVEY,,GRAIN,26,,2020,00000000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,2024-02-23 15:00:00.000,MI,ALL CLASSES,9000,UNITED STATES,CORN,158.4,,90,YIELD,2.3,CROPS,093,ALL PRODUCTION PRACTICES,00,FIELD CROPS,COUNTY,LIVINGSTON
