reference_period_desc,agg_level_desc,unit_desc,week_ending,congr_district_code,commodity_desc,freq_desc,domaincat_desc,location_desc,region_desc,prodn_practice_desc,begin_code,short_desc,zip_5,asd_code,sector_desc,watershed_code,state_ansi,util_practice_desc,group_desc,Value,county_name,statisticcat_desc,state_fips_code,CV (%),state_name,asd_desc,county_ansi,source_desc,county_code,state_alpha,watershed_desc,country_name,country_code,year,class_desc,end_code,domain_desc,load_time
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHEAST, ALPENA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,30,CROPS,00000000,26,GRAIN,FIELD CROPS,163.6,ALPENA,YIELD,26,4.3,MICHIGAN,NORTHEAST,007,SURVEY,007,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHEAST, IOSCO",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,30,CROPS,00000000,26,GRAIN,FIELD CROPS,161.6,IOSCO,YIELD,26,10.1,MICHIGAN,NORTHEAST,069,SURVEY,069,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHEAST, OGEMAW",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,30,CROPS,00000000,26,GRAIN,FIELD CROPS,171.8,OGEMAW,YIELD,26,6.0,MICHIGAN,NORTHEAST,129,SURVEY,129,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHEAST, OTSEGO",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,30,CROPS,00000000,26,GRAIN,FIELD CROPS,141.7,OTSEGO,YIELD,26,8.7,MICHIGAN,NORTHEAST,137,SURVEY,137,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, NORTHEAST, PRESQUE ISLE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,30,CROPS,00000000,26,GRAIN,FIELD CROPS,148.5,PRESQUE ISLE,YIELD,26,5.6,MICHIGAN,NORTHEAST,141,SURVEY,141,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, LAKE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,40,CROPS,00000000,26,GRAIN,FIELD CROPS,157.9,LAKE,YIELD,26,6.0,MICHIGAN,WEST CENTRAL,085,SURVEY,085,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, MASON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,40,CROPS,00000000,26,GRAIN,FIELD CROPS,164,MASON,YIELD,26,4.0,MICHIGAN,WEST CENTRAL,105,SURVEY,105,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, MUSKEGON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,40,CROPS,00000000,26,GRAIN,FIELD CROPS,158,MUSKEGON,YIELD,26,3.8,MICHIGAN,WEST CENTRAL,121,SURVEY,121,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, NEWAYGO",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,40,CROPS,00000000,26,GRAIN,FIELD CROPS,172.9,NEWAYGO,YIELD,26,4.1,MICHIGAN,WEST CENTRAL,123,SURVEY,123,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, WEST CENTRAL, OCEANA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,40,CROPS,00000000,26,GRAIN,FIELD CROPS,154,OCEANA,YIELD,26,9.1,MICHIGAN,WEST CENTRAL,127,SURVEY,127,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, CENTRAL, GRATIOT",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,50,CROPS,00000000,26,GRAIN,FIELD CROPS,172,GRATIOT,YIELD,26,3.0,MICHIGAN,CENTRAL,057,SURVEY,057,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, CENTRAL, ISABELLA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,50,CROPS,00000000,26,GRAIN,FIELD CROPS,167.4,ISABELLA,YIELD,26,3.3,MICHIGAN,CENTRAL,073,SURVEY,073,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, CENTRAL, MECOSTA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,50,CROPS,00000000,26,GRAIN,FIELD CROPS,153,MECOSTA,YIELD,26,2.6,MICHIGAN,CENTRAL,107,SURVEY,107,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, CENTRAL, MIDLAND",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,50,CROPS,00000000,26,GRAIN,FIELD CROPS,182,MIDLAND,YIELD,26,2.3,MICHIGAN,CENTRAL,111,SURVEY,111,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, CENTRAL, MONTCALM",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,50,CROPS,00000000,26,GRAIN,FIELD CROPS,177.8,MONTCALM,YIELD,26,1.6,MICHIGAN,CENTRAL,117,SURVEY,117,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, ARENAC",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,187.8,ARENAC,YIELD,26,5.5,MICHIGAN,EAST CENTRAL,011,SURVEY,011,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, BAY",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,187.8,BAY,YIELD,26,3.6,MICHIGAN,EAST CENTRAL,017,SURVEY,017,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, HURON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,213,HURON,YIELD,26,2.0,MICHIGAN,EAST CENTRAL,063,SURVEY,063,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, SAGINAW",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,177.9,SAGINAW,YIELD,26,4.1,MICHIGAN,EAST CENTRAL,145,SURVEY,145,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, SANILAC",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,212,SANILAC,YIELD,26,1.7,MICHIGAN,EAST CENTRAL,151,SURVEY,151,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, EAST CENTRAL, TUSCOLA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,60,CROPS,00000000,26,GRAIN,FIELD CROPS,205.3,TUSCOLA,YIELD,26,3.9,MICHIGAN,EAST CENTRAL,157,SURVEY,157,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, ALLEGAN",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,172,ALLEGAN,YIELD,26,5.6,MICHIGAN,SOUTHWEST,005,SURVEY,005,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, BERRIEN",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,170.9,BERRIEN,YIELD,26,4.8,MICHIGAN,SOUTHWEST,021,SURVEY,021,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, CASS",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,167,CASS,YIELD,26,4.5,MICHIGAN,SOUTHWEST,027,SURVEY,027,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, KALAMAZOO",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,150,KALAMAZOO,YIELD,26,4.0,MICHIGAN,SOUTHWEST,077,SURVEY,077,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, KENT",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,174.3,KENT,YIELD,26,5.4,MICHIGAN,SOUTHWEST,081,SURVEY,081,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, OTTAWA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,172.9,OTTAWA,YIELD,26,3.9,MICHIGAN,SOUTHWEST,139,SURVEY,139,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHWEST, VAN BUREN",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,70,CROPS,00000000,26,GRAIN,FIELD CROPS,159,VAN BUREN,YIELD,26,4.7,MICHIGAN,SOUTHWEST,159,SURVEY,159,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, BARRY",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,178.8,BARRY,YIELD,26,4.8,MICHIGAN,SOUTH CENTRAL,015,SURVEY,015,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, CALHOUN",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,159.2,CALHOUN,YIELD,26,4.5,MICHIGAN,SOUTH CENTRAL,025,SURVEY,025,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, CLINTON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,171.7,CLINTON,YIELD,26,6.5,MICHIGAN,SOUTH CENTRAL,037,SURVEY,037,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, EATON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,172.2,EATON,YIELD,26,3.3,MICHIGAN,SOUTH CENTRAL,045,SURVEY,045,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,179.1,HILLSDALE,YIELD,26,2.9,MICHIGAN,SOUTH CENTRAL,059,SURVEY,059,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, INGHAM",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,174.4,INGHAM,YIELD,26,4.2,MICHIGAN,SOUTH CENTRAL,065,SURVEY,065,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, IONIA",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,174,IONIA,YIELD,26,2.5,MICHIGAN,SOUTH CENTRAL,067,SURVEY,067,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, JACKSON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,167.4,JACKSON,YIELD,26,3.4,MICHIGAN,SOUTH CENTRAL,075,SURVEY,075,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,80,CROPS,00000000,26,GRAIN,FIELD CROPS,162.3,SHIAWASSEE,YIELD,26,3.9,MICHIGAN,SOUTH CENTRAL,155,SURVEY,155,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, GENESEE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,160,GENESEE,YIELD,26,4.1,MICHIGAN,SOUTHEAST,049,SURVEY,049,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, LAPEER",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,176.1,LAPEER,YIELD,26,4.1,MICHIGAN,SOUTHEAST,087,SURVEY,087,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, LENAWEE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,184.1,LENAWEE,YIELD,26,2.2,MICHIGAN,SOUTHEAST,091,SURVEY,091,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, LIVINGSTON",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,165.7,LIVINGSTON,YIELD,26,4.0,MICHIGAN,SOUTHEAST,093,SURVEY,093,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, MACOMB",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,161.7,MACOMB,YIELD,26,3.1,MICHIGAN,SOUTHEAST,099,SURVEY,099,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, MONROE",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,193.8,MONROE,YIELD,26,2.0,MICHIGAN,SOUTHEAST,115,SURVEY,115,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
YEAR,COUNTY,BU / ACRE,,,CORN,ANNUAL,NOT SPECIFIED,"MICHIGAN, SOUTHEAST, OAKLAND",,ALL PRODUCTION PRACTICES,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,90,CROPS,00000000,26,GRAIN,FIELD CROPS,165.6,OAKLAND,YIELD,26,4.5,MICHIGAN,SOUTHEAST,125,SURVEY,125,MI,,UNITED STATES,9000,2021,ALL CLASSES,00,TOTAL,2024-02-23 15:00:00.000
