week_ending,Value,agg_level_desc,county_name,group_desc,county_ansi,prodn_practice_desc,end_code,CV (%),asd_code,statisticcat_desc,sector_desc,load_time,begin_code,year,watershed_code,watershed_desc,freq_desc,short_desc,country_name,commodity_desc,country_code,state_alpha,class_desc,state_name,state_fips_code,location_desc,domain_desc,county_code,state_ansi,zip_5,util_practice_desc,source_desc,asd_desc,region_desc,congr_district_code,reference_period_desc,domaincat_desc,unit_desc
,110.3,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,131,COUNTY,ALPENA,FIELD CROPS,007,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, ALPENA",TOTAL,007,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,117.1,COUNTY,IOSCO,FIELD CROPS,069,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, IOSCO",TOTAL,069,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,115,COUNTY,MONTMORENCY,FIELD CROPS,119,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, MONTMORENCY",TOTAL,119,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,151.7,COUNTY,OGEMAW,FIELD CROPS,129,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, OGEMAW",TOTAL,129,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,127.3,COUNTY,OTSEGO,FIELD CROPS,137,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, OTSEGO",TOTAL,137,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,126.8,COUNTY,PRESQUE ISLE,FIELD CROPS,141,ALL PRODUCTION PRACTICES,00,,30,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, NORTHEAST, PRESQUE ISLE",TOTAL,141,26,,GRAIN,SURVEY,NORTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,137.1,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,40,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,WEST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,153.6,COUNTY,MASON,FIELD CROPS,105,ALL PRODUCTION PRACTICES,00,,40,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, MASON",TOTAL,105,26,,GRAIN,SURVEY,WEST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,137,COUNTY,NEWAYGO,FIELD CROPS,123,ALL PRODUCTION PRACTICES,00,,40,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, NEWAYGO",TOTAL,123,26,,GRAIN,SURVEY,WEST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,142.6,COUNTY,OCEANA,FIELD CROPS,127,ALL PRODUCTION PRACTICES,00,,40,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, WEST CENTRAL, OCEANA",TOTAL,127,26,,GRAIN,SURVEY,WEST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,143.2,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,50,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,139.7,COUNTY,ISABELLA,FIELD CROPS,073,ALL PRODUCTION PRACTICES,00,,50,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, CENTRAL, ISABELLA",TOTAL,073,26,,GRAIN,SURVEY,CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,135.4,COUNTY,MECOSTA,FIELD CROPS,107,ALL PRODUCTION PRACTICES,00,,50,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, CENTRAL, MECOSTA",TOTAL,107,26,,GRAIN,SURVEY,CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,143.6,COUNTY,MONTCALM,FIELD CROPS,117,ALL PRODUCTION PRACTICES,00,,50,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, CENTRAL, MONTCALM",TOTAL,117,26,,GRAIN,SURVEY,CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,133.3,COUNTY,ARENAC,FIELD CROPS,011,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, ARENAC",TOTAL,011,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,144.7,COUNTY,BAY,FIELD CROPS,017,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, BAY",TOTAL,017,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,172.9,COUNTY,HURON,FIELD CROPS,063,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, HURON",TOTAL,063,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,154.1,COUNTY,SAGINAW,FIELD CROPS,145,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SAGINAW",TOTAL,145,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,160.1,COUNTY,SANILAC,FIELD CROPS,151,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, SANILAC",TOTAL,151,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,162.1,COUNTY,TUSCOLA,FIELD CROPS,157,ALL PRODUCTION PRACTICES,00,,60,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, EAST CENTRAL, TUSCOLA",TOTAL,157,26,,GRAIN,SURVEY,EAST CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,140.4,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,70,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,SOUTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,134,COUNTY,ALLEGAN,FIELD CROPS,005,ALL PRODUCTION PRACTICES,00,,70,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHWEST, ALLEGAN",TOTAL,005,26,,GRAIN,SURVEY,SOUTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,143.3,COUNTY,CASS,FIELD CROPS,027,ALL PRODUCTION PRACTICES,00,,70,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHWEST, CASS",TOTAL,027,26,,GRAIN,SURVEY,SOUTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,138.4,COUNTY,KALAMAZOO,FIELD CROPS,077,ALL PRODUCTION PRACTICES,00,,70,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHWEST, KALAMAZOO",TOTAL,077,26,,GRAIN,SURVEY,SOUTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,150.5,COUNTY,KENT,FIELD CROPS,081,ALL PRODUCTION PRACTICES,00,,70,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHWEST, KENT",TOTAL,081,26,,GRAIN,SURVEY,SOUTHWEST,,,YEAR,NOT SPECIFIED,BU / ACRE
,121.3,COUNTY,OTHER (COMBINED) COUNTIES,FIELD CROPS,,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",TOTAL,998,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,132.1,COUNTY,BARRY,FIELD CROPS,015,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, BARRY",TOTAL,015,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,157.9,COUNTY,BRANCH,FIELD CROPS,023,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, BRANCH",TOTAL,023,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,134.9,COUNTY,CALHOUN,FIELD CROPS,025,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, CALHOUN",TOTAL,025,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,139,COUNTY,EATON,FIELD CROPS,045,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, EATON",TOTAL,045,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,161,COUNTY,HILLSDALE,FIELD CROPS,059,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",TOTAL,059,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,148.3,COUNTY,INGHAM,FIELD CROPS,065,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, INGHAM",TOTAL,065,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,161.7,COUNTY,IONIA,FIELD CROPS,067,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, IONIA",TOTAL,067,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,155.9,COUNTY,JACKSON,FIELD CROPS,075,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, JACKSON",TOTAL,075,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,145.3,COUNTY,SHIAWASSEE,FIELD CROPS,155,ALL PRODUCTION PRACTICES,00,,80,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",TOTAL,155,26,,GRAIN,SURVEY,SOUTH CENTRAL,,,YEAR,NOT SPECIFIED,BU / ACRE
,138.7,COUNTY,GENESEE,FIELD CROPS,049,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, GENESEE",TOTAL,049,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,146.8,COUNTY,LAPEER,FIELD CROPS,087,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LAPEER",TOTAL,087,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,172.3,COUNTY,LENAWEE,FIELD CROPS,091,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LENAWEE",TOTAL,091,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,148,COUNTY,LIVINGSTON,FIELD CROPS,093,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, LIVINGSTON",TOTAL,093,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,160.2,COUNTY,MACOMB,FIELD CROPS,099,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, MACOMB",TOTAL,099,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,178.7,COUNTY,MONROE,FIELD CROPS,115,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, MONROE",TOTAL,115,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,133.3,COUNTY,OAKLAND,FIELD CROPS,125,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, OAKLAND",TOTAL,125,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
,146.3,COUNTY,ST CLAIR,FIELD CROPS,147,ALL PRODUCTION PRACTICES,00,,90,YIELD,CROPS,2024-02-23 15:00:00.000,00,2019,00000000,,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",UNITED STATES,CORN,9000,MI,ALL CLASSES,MICHIGAN,26,"MICHIGAN, SOUTHEAST, ST CLAIR",TOTAL,147,26,,GRAIN,SURVEY,SOUTHEAST,,,YEAR,NOT SPECIFIED,BU / ACRE
